Nome: BOM DESPACHO
Codigo Estacao: 83533
Latitude: -19.71944443
Longitude: -45.36749999
Altitude: 695
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2019-01-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;100,6;32,2;24,3;18,8;74,9;
2010-02-28;38,4;null;null;18,2;71,3;
2010-03-31;180;null;null;18,4;78,6;
2010-04-30;21,4;null;null;15,1;73,4;
2010-05-31;54,2;null;null;11,1;76,7;
2010-06-30;4;null;null;6,6;73,5;
2010-07-31;,4;null;null;9,4;70,1;
2010-08-31;0;30,3;16,4;6,4;59,4;
2010-09-30;75,8;31,7;20,1;11,1;59,8;
2010-10-31;132,4;30,9;22,6;16,3;71,4;
2010-11-30;280,5;29,8;22,8;18,2;77,8;
2010-12-31;327,4;31,7;24,3;19,1;76,6;
2011-01-31;128,2;31,3;23,9;18,9;74,6;
2011-02-28;124,5;34;24,7;17,9;67,1;
2011-03-31;399,7;29,4;23,1;18,8;82;
2011-04-30;122,6;30,3;21,4;15,1;76,5;
2011-05-31;0;28,6;18,4;11,6;75,6;
2011-06-30;16,6;27,4;16,4;8,9;74,3;
2011-07-31;0;28,5;16,4;7,9;71,7;
2011-08-31;0;31,9;18,9;9,6;61,5;
2011-09-30;,8;32,5;20,2;10,6;53,6;
2011-10-31;182;30;22,2;16,6;71,2;
2011-11-30;100,6;29,5;21,7;16,1;73,3;
2011-12-31;448,6;29,6;23;19,1;81,3;
2012-01-31;151,2;30;23,1;18,6;77,5;
2012-02-29;58,6;31,8;23,4;17,4;70,2;
2012-03-31;117;31,2;23,3;17,6;73,2;
2012-04-30;43,2;30,5;22,4;16,4;74,4;
2012-05-31;39,9;27,3;18,4;12;76,8;
2012-06-30;100,5;28,2;18,5;12,2;77,1;
2012-07-31;1,6;28,6;16,6;8;70,2;
2012-08-31;0;28,5;17,8;8,8;62,5;
2012-09-30;17;31,9;20,5;11,8;58,6;
2012-10-31;56,8;33,6;22,8;14,1;58,1;
2012-11-30;236,1;30,3;23,2;18,3;74,8;
2012-12-31;71;33,4;25,1;19,2;70,5;
2013-01-31;259;30,3;23,9;19,5;74,8;
2013-02-28;3,8;null;null;null;null;
2013-03-31;141,2;30,7;23,9;19,3;76,9;
2013-04-30;67,8;28,7;20,9;15,4;77,2;
2013-05-31;82,8;28,8;19;11,9;74,6;
2013-06-30;34;28,3;18,6;11,6;76,6;
2013-07-31;0;28,4;17;9,2;70,4;
2013-08-31;1,4;29,9;17,8;9,3;63,4;
2013-09-30;35,2;30,9;20,5;12,2;65,3;
2013-10-31;132,3;29,9;21,3;15,2;71,9;
2013-11-30;237,2;30,3;22,8;17,3;73,7;
2013-12-31;221,7;30,9;24,2;19,6;79,3;
2014-01-31;76,7;33,2;24;16,2;68,2;
2014-02-28;4,2;33,2;23,9;16,3;63,4;
2014-03-31;118,7;30,9;23,2;17,3;75,1;
2014-04-30;93,1;30,3;22,1;16,5;77;
2014-05-31;8,8;29,2;18,5;10,6;72,1;
2014-06-30;1;28,8;17,9;10,3;72;
2014-07-31;58,8;27,8;17;9,2;70,3;
2014-08-31;0;30,1;18,1;8,9;61,9;
2014-09-30;9,4;32,4;21,8;12,4;54,5;
2014-10-31;66,3;32,9;23,3;14,9;54,5;
2014-11-30;253,9;30,6;23,9;18,4;70,6;
2014-12-31;147,8;30,4;24,2;19;74,5;
2015-01-31;69,4;34,3;25,6;18,6;64,7;
2015-02-28;175;30,6;24,1;19;75,2;
2015-03-31;233,6;29,9;23,5;19,2;80,2;
2015-04-30;37;30,1;22,5;17;77,1;
2015-05-31;49,3;27,2;19,4;13,7;78,4;
2015-06-30;9,7;27,5;17,8;10,9;74,8;
2015-07-31;0;28,8;18,5;11,3;70,5;
2015-08-31;0;30,5;19;9,8;61,4;
2015-09-30;95,4;32,4;22,3;14,7;65,7;
2015-10-31;47,6;34,8;25,3;17;56,6;
2015-11-30;164;33,1;25,9;20,3;68,9;
2015-12-31;203,7;32,1;24,6;19,8;75,1;
2016-01-31;337,2;29,8;24,1;20,2;81;
2016-02-29;89,3;33,3;25,4;19,5;71,6;
2016-03-31;61,9;31,2;24,2;19,3;76,4;
2016-04-30;34,2;32;22,9;15,8;69,5;
2016-05-31;2;29,9;20,3;13,1;72,6;
2016-06-30;51,6;27,2;17,4;11;76,1;
2016-07-31;0;29,7;17,4;8,7;67,1;
2016-08-31;3;30,9;19,4;10,3;59,4;
2016-09-30;20,6;33,4;22,9;14,3;55,8;
2016-10-31;110,3;32,3;23,9;17,8;65,3;
2016-11-30;245,1;29,9;23,3;18,9;74,9;
2016-12-31;274,4;30,9;24,1;18,7;73,3;
2017-01-31;72;32,9;25,5;19,7;68,7;
2017-02-28;102,2;31,3;24;18,5;72,5;
2017-03-31;69;32,1;23,6;17,1;69,9;
2017-04-30;30,2;31,5;23,1;16,9;70,9;
2017-05-31;68,2;28,5;20,2;13,8;76,1;
2017-06-30;20,4;28;17,9;10,5;72,9;
2017-07-31;0;26,3;15,9;7,5;66,8;
2017-08-31;0;31;18,9;9,5;60,3;
2017-09-30;null;null;null;null;null;
2017-10-31;null;null;null;null;null;
2017-11-30;null;null;null;null;null;
2017-12-31;null;null;null;null;null;
2018-01-31;23,4;null;null;null;null;
2018-02-28;270,1;30,1;23,7;18,8;81,3;
2018-03-31;74,1;31,8;24;17,8;79,2;
2018-04-30;7,4;29,7;21,4;14,2;77,9;
2018-05-31;3,6;28,9;18,4;10,3;73,1;
2018-06-30;3,6;29;18,5;10,9;73,7;
2018-07-31;0;29,3;16,8;8,2;68,4;
2018-08-31;52;29;18,6;11,2;69,9;
2018-09-30;43,9;31,7;21,8;13,2;63,4;
2018-10-31;127,1;31,7;24,2;18,1;72,8;
2018-11-30;319;28,8;22,6;17,2;79,4;
2018-12-31;100,8;31,5;24,3;18,5;76,1;
2019-01-31;68,8;33,5;25,3;18,6;67,7;

