Nome: CURVELO
Codigo Estacao: 83536
Latitude: -18.74749999
Longitude: -44.45472222
Altitude: 668.26
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2022-04-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;242,8;33,1;25,6;20;68,1;
2010-02-28;26,5;34,4;26,7;19,9;60,8;
2010-03-31;262,6;32;25;19;74,5;
2010-04-30;16;30,9;22,4;16,1;67,4;
2010-05-31;41,8;30,2;null;null;68,8;
2010-06-30;13;28,2;null;null;64,6;
2010-07-31;0;29,3;null;null;57,4;
2010-08-31;0;30;20,2;11,5;50,2;
2010-09-30;8;32,5;23,4;15,7;50,7;
2010-10-31;151,9;32,4;24,4;19;66,1;
2010-11-30;246,7;29,8;23,7;19,6;77,3;
2010-12-31;274,8;31,7;25,1;20,3;73,2;
2011-01-31;109;30,9;24,4;19,5;69,3;
2011-02-28;56,4;null;null;19,9;57,5;
2011-03-31;196,8;null;null;19,8;77,4;
2011-04-30;31,6;null;null;17,6;70,4;
2011-05-31;0;null;null;14,3;65,6;
2011-06-30;1;null;null;12,8;65,8;
2011-07-31;0;null;null;12,1;59,8;
2011-08-31;0;null;null;13,4;47,3;
2011-09-30;0;null;null;14,5;45,2;
2011-10-31;175,4;null;null;18,4;72,4;
2011-11-30;217,4;null;null;17,7;71,4;
2011-12-31;354,6;27,9;23,2;19,8;80;
2012-01-31;241;30,1;24,1;19,2;71,9;
2012-02-29;60,8;32,9;25,4;19,4;61,6;
2012-03-31;71,3;31,3;24,5;19;65,9;
2012-04-30;31;31,6;23,9;18,1;68,3;
2012-05-31;39;28,1;20,8;15;70,1;
2012-06-30;2;29,6;21,2;14,7;67,2;
2012-07-31;0;29,5;20;12,1;56,5;
2012-08-31;0;28,6;20,7;13,3;53,6;
2012-09-30;2,2;32,4;23,9;15,8;46,4;
2012-10-31;11,4;34,1;26;18,7;47,6;
2012-11-30;268,6;30,3;24,6;20,2;73;
2012-12-31;240,2;33,5;26,6;20,8;67,6;
2013-01-31;255,2;30,6;24,9;20,6;74,4;
2013-02-28;174,2;33;25,8;19,7;66,6;
2013-03-31;203;31,6;25;20,6;77;
2013-04-30;71,2;29,4;22,7;17,7;75,7;
2013-05-31;41,6;29,6;21,4;15;70,4;
2013-06-30;6,4;29,3;21,2;14,8;70,1;
2013-07-31;0;29,5;20,5;13,2;60,7;
2013-08-31;1,2;30,5;21,5;13,4;50,8;
2013-09-30;75,6;31,3;23,6;16,5;55,6;
