Nome: DIAMANTINA
Codigo Estacao: 83538
Latitude: -18.2386111
Longitude: -43.61694443
Altitude: 1318.05
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2020-02-29
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;75,8;27,4;21,5;17,4;72;
2010-02-28;36,8;28,1;21,8;17,2;68,6;
2010-03-31;152,9;26,5;21;17,5;80,1;
2010-04-30;39,3;24,5;19,1;15,5;77,6;
2010-05-31;63,7;23,9;18,1;14,3;80,1;
2010-06-30;11,9;21,6;15,3;11,1;74,1;
2010-07-31;1,8;21,8;15,9;11,7;73,6;
2010-08-31;0;23,4;16,4;10,9;61,2;
2010-09-30;4,3;25,3;18,3;13,1;60,6;
2010-10-31;98,4;26,2;19,9;15,9;75,5;
2010-11-30;209,2;24,2;19,4;16,1;84,8;
2010-12-31;294,8;26,7;21;17,1;78,1;
2011-01-31;148,6;26;20,5;16,8;76,8;
2011-02-28;87,6;27,6;21,3;16,9;70,3;
2011-03-31;277,9;25,4;20,1;16,8;83,8;
2011-04-30;54,4;24,4;19,1;15,7;80,9;
2011-05-31;4,4;22,9;17;12,9;77,2;
2011-06-30;,3;22,2;16,3;12,2;75,7;
2011-07-31;0;22,4;16,1;11,4;69,9;
2011-08-31;,5;25,4;18,5;13,1;59;
2011-09-30;,1;25,2;18,1;12,5;55,6;
2011-10-31;178,8;23,1;18,4;14,6;80,8;
2011-11-30;342,5;22,9;17,9;14,4;82,3;
2011-12-31;307,5;23,7;19,1;16,1;85,8;
2012-01-31;346,9;24,5;19,4;16,1;79,4;
2012-02-29;57,9;25,8;20;15,9;72;
2012-03-31;127,9;25,3;19,9;16;76,2;
2012-04-30;41,7;25,7;19,8;15,9;77,7;
2012-05-31;66,3;21,8;16,9;13,5;80,2;
2012-06-30;19,8;22,7;17,3;13,5;77,8;
2012-07-31;2,7;22,3;16,3;11,9;null;
2012-08-31;12,9;20,9;15,4;11;75,5;
2012-09-30;17,4;25,6;18,8;13,7;62,1;
2012-10-31;53,5;26,7;19,9;14,9;63,4;
2012-11-30;361,8;23,8;19,4;16,5;86,3;
2012-12-31;112,1;28;22;17,5;77,4;
2013-01-31;351,2;25,5;20,4;16,9;79,3;
2013-02-28;13,7;27,5;21;16,5;70,9;
2013-03-31;231,2;26,9;21,1;17,1;79,1;
2013-04-30;151,4;null;null;14,4;81,7;
2013-05-31;20,1;null;null;13,8;78,6;
2013-06-30;22,7;null;null;13,3;82,3;
2013-07-31;2,1;null;null;12,2;70,3;
2013-08-31;2,4;null;null;11,8;65,9;
2013-09-30;38,9;null;null;13,8;67,9;
2013-10-31;74,4;null;null;14,4;75,3;
2013-11-30;190,9;null;null;15,7;72,2;
2013-12-31;514,1;null;null;17,3;null;
2014-01-31;52,8;null;null;16,2;67,5;
2014-02-28;33;null;null;15,9;66,4;
2014-03-31;125,7;null;null;16,4;79,7;
2014-04-30;69,9;null;null;15,7;77,8;
2014-05-31;13,8;null;null;13,7;71,4;
2014-06-30;5,5;null;null;12,6;74,8;
2014-07-31;20,3;null;null;11,7;null;
2014-08-31;14,5;23,8;17,4;12,1;74,2;
2014-09-30;7;25,8;19;13,6;73;
2014-10-31;96,9;25,8;19,6;14,9;70,5;
2014-11-30;139,7;25,2;19,8;16,1;84,2;
2014-12-31;133,2;25,8;20,4;16,4;74,8;
2015-01-31;86,3;28,5;22;16,9;60,1;
2015-02-28;282,5;26,1;20,5;16,8;74,9;
2015-03-31;252,6;26,3;20,8;17;75,7;
2015-04-30;117,2;24,3;19,3;15,9;81,1;
2015-05-31;24,7;21,9;17,1;14;81,7;
2015-06-30;1,8;22;16,5;12,9;76,9;
2015-07-31;,7;22,6;16,7;12,6;72,1;
2015-08-31;26,9;23,5;17,2;12,8;66,5;
2015-09-30;26,9;28;21,4;16,2;54,8;
2015-10-31;34;28,6;22,1;17,3;56,2;
2015-11-30;153,3;28,6;22,8;18,3;63,5;
2015-12-31;156,2;27,6;21,9;17,7;69,5;
2016-01-31;382,7;24,6;20,4;17,6;84,7;
2016-02-29;36,5;null;null;17,6;null;
2016-03-31;90,2;26,8;21,1;17,3;74,1;
2016-04-30;53;26,9;20,9;16,4;67,2;
2016-05-31;35,6;24,2;18,6;14,6;74,7;
2016-06-30;4,3;23,3;17,3;13,3;71,5;
2016-07-31;4,3;23,3;17,2;12,6;null;
2016-08-31;5,5;24,8;18,3;13,6;65,6;
2016-09-30;22,1;27,1;20;14,9;60,7;
2016-10-31;39,2;27;20,9;16,5;65,1;
2016-11-30;257,8;25;19,8;16,3;78,1;
2016-12-31;130,9;26,4;20,7;16,7;75,5;
2017-01-31;129,8;28,1;21,4;16,3;null;
2017-02-28;218,6;24,8;19,7;16,1;80,2;
2017-03-31;102,6;26,3;20,5;16,5;72,9;
2017-04-30;23,9;24,9;19,5;15,9;76;
2017-05-31;42,3;22,7;17,6;14,4;79,2;
2017-06-30;1,7;22,3;16,7;12,9;74,2;
2017-07-31;5,1;19,1;14,3;10,4;null;
2017-08-31;,1;24,4;17,4;11,8;62,3;
2017-09-30;2,7;null;null;12;59,2;
2017-10-31;70,1;null;null;15,7;55,9;
