Nome: ECOPORANGA
Codigo Estacao: 83546
Latitude: -18.365694
Longitude: -40.840656
Altitude: 253.95
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2015-02-27
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;33,9;34,8;null;22,3;null;
2010-02-28;49,2;33,9;null;22,5;null;
2010-03-31;258,7;32,5;null;22,1;null;
2010-04-30;121,3;30,1;null;20,7;null;
2010-05-31;142,6;28,5;null;19,2;null;
2010-06-30;12,7;26,6;null;16,1;null;
2010-07-31;76,1;26,5;null;17,5;null;
2010-08-31;4,6;27,5;null;15,7;null;
2010-09-30;45;29,3;null;18,3;null;
2010-10-31;26;29,3;null;20;null;
2010-11-30;205,4;29,3;null;20,9;null;
2010-12-31;261,2;32,1;null;21,8;null;
2011-01-31;102,8;32,3;null;21,8;null;
2011-02-28;198,9;34,1;null;22,2;null;
2011-03-31;275,3;31,4;null;21,9;null;
2011-04-30;152,7;30,1;null;21,1;null;
2011-05-31;16,5;28,4;null;18,1;null;
2011-06-30;26,6;27,4;null;17,1;null;
2011-07-31;41,5;27,4;null;16,7;null;
2011-08-31;8;29,2;null;17,1;null;
2011-09-30;11;28,3;null;16,7;null;
2011-10-31;231,4;27,9;null;19,6;null;
2011-11-30;374,1;27,9;null;19,3;null;
2011-12-31;210,6;30,2;null;20,9;null;
2012-01-31;152,8;30,8;null;21,3;null;
2012-02-29;66,5;32,1;null;21,1;null;
2012-03-31;32,8;33;null;21,5;null;
2012-04-30;61,6;31,9;null;21,3;null;
2012-05-31;34,4;28,5;null;19;null;
2012-06-30;12,2;29,3;null;18,8;null;
2012-07-31;53,7;27,8;null;17,3;null;
2012-08-31;178,8;26,6;null;17,4;null;
2012-09-30;39,4;28,8;null;18,5;null;
2012-10-31;18;31,9;null;19,5;null;
2012-11-30;593,3;29,1;null;20,4;null;
2012-12-31;24,8;34,3;null;21,2;null;
2013-01-31;158,6;32,6;null;21,2;null;
2013-02-28;35,5;33,5;null;21,5;null;
2013-03-31;173,8;32,5;null;22,4;null;
2013-04-30;94,7;29,3;null;20,1;null;
2013-05-31;27,5;29;null;18,5;null;
2013-06-30;19,8;28,6;null;18,8;null;
2013-07-31;12,4;28,2;null;17,8;null;
2013-08-31;22,6;28,8;null;17,1;null;
2013-09-30;50,7;29,1;null;18,6;null;
2013-10-31;105,3;28,4;null;18,9;null;
2013-11-30;260,2;30,6;null;19,6;null;
2013-12-31;630,6;30,7;null;21,1;null;
2014-01-31;49,3;32,4;null;21,1;null;
2014-02-28;67,9;32,5;null;20,8;null;
2014-03-31;121,1;31,8;null;21,1;null;
2014-04-30;85,6;30,8;null;20;null;
2014-05-31;8,8;29,4;null;18,2;null;
2014-06-30;82,8;27,4;null;17,5;null;
2014-07-31;102,7;26,7;null;16,9;null;
2014-08-31;46,8;28,1;null;15,7;null;
2014-09-30;9,6;30,1;null;17,6;null;
2014-10-31;215,7;30,4;null;18,5;null;
2014-11-30;132,3;30,2;null;19,4;null;
2014-12-31;115,3;31,2;null;20,1;null;
2015-01-31;20;35,2;null;null;null;
2015-02-28;null;null;null;null;null;

