Nome: SAO MATEUS
Codigo Estacao: 83550
Latitude: -18.71388888
Longitude: -39.8486111
Altitude: 25
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-23
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;7,6;34;27,9;23,3;72;
2010-02-28;31,4;34,1;28;23,8;74,8;
2010-03-31;271,8;33,2;27,5;23,6;81;
2010-04-30;146,4;30,6;25,4;21,8;81,8;
2010-05-31;110,9;29,7;24,2;20,3;null;
2010-06-30;39,6;27,7;21,8;17,8;null;
2010-07-31;null;null;null;null;null;
2010-08-31;8,9;27,8;21,4;16,7;null;
2010-09-30;29,8;29,2;23,2;18,6;75,5;
2010-10-31;107,4;28,5;23,9;20,6;null;
2010-11-30;174,3;29,4;24,8;21,4;84;
2010-12-31;105;32,2;26,4;22,4;79,5;
2011-01-31;84,8;32,1;26,6;22,7;79,1;
2011-02-28;87,4;33,4;27;22,7;77;
2011-03-31;214;31,6;26,4;23;83,1;
2011-04-30;271,2;30,9;25,6;22,1;84,3;
2011-05-31;41,8;29,3;23,2;19,1;78;
2011-06-30;29,5;28,3;22,2;18,3;80,4;
2011-07-31;120,7;28;21,7;17,3;null;
2011-08-31;18,8;28,6;22,4;18;79,2;
2011-09-30;33,8;28,2;21,9;17,4;72,7;
2011-10-31;213,3;28,2;23,7;20,5;82;
2011-11-30;193,8;28,2;23,6;20,2;81,3;
2011-12-31;127,6;30,2;25,4;22,1;81,9;
2012-01-31;122,5;31,2;26;22,6;80,8;
2012-02-29;103;32,1;26,1;22;76,1;
2012-03-31;36,8;32,4;26,3;21,9;76,3;
2012-04-30;48,5;32;26;22;77,8;
2012-05-31;55,5;28,6;23,3;19,7;81,7;
2012-06-30;36,4;29,9;23,6;19,7;null;
2012-07-31;114,9;28,1;22,2;18;81,8;
2012-08-31;252,7;27;22;18,5;80,2;
2012-09-30;42,1;28,2;22,9;19,1;76,9;
2012-10-31;51,7;29,9;24,3;19,8;75,4;
