Nome: CORUMBA
Codigo Estacao: 83552
Latitude: -19.00461
Longitude: -57.672338
Altitude: 131.07
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2014-06-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;209,5;33;27,5;23,2;78,7;
2010-02-28;109,2;33,9;28,3;24,5;80,3;
2010-03-31;91,3;35,1;28,8;24,1;72,4;
2010-04-30;8,9;32,3;26,2;21,6;null;
2010-05-31;77,4;28,2;21,8;16,7;72,3;
2010-06-30;2,7;30,3;23,3;18,1;68,5;
2010-07-31;7,4;28,1;21,4;16;61,8;
2010-08-31;0;null;null;null;null;
2010-09-30;34,1;null;null;null;54,5;
2010-10-31;73,7;34,1;null;null;62,7;
2010-11-30;97,6;33,7;null;null;64,9;
2010-12-31;50,8;36,6;null;null;62,8;
2011-01-31;249,8;33,9;null;null;78,9;
2011-02-28;345,4;31,8;null;null;84,6;
2011-03-31;242,1;31,7;null;null;83,9;
2011-04-30;80,9;32,2;null;null;77,4;
2011-05-31;1,8;28,5;null;null;70,8;
2011-06-30;4,1;27,8;null;null;null;
2011-07-31;11,6;28,9;null;null;null;
2011-08-31;19,5;30,9;null;null;59,1;
2011-09-30;22;34;null;null;61;
2011-10-31;136,4;34,4;null;null;66,2;
2011-11-30;44,8;36,9;null;null;57,3;
2011-12-31;93;36,8;null;null;64;
2012-01-31;107,9;34,7;null;null;71,8;
2012-02-29;93,6;34,1;null;null;74,9;
2012-03-31;110,8;33,9;null;null;73,5;
2012-04-30;182,1;33,2;null;null;null;
2012-05-31;77,1;30,6;null;null;null;
2012-06-30;48,5;29,4;null;null;null;
2012-07-31;,6;28,7;null;null;null;
2012-08-31;0;33,8;null;null;null;
2012-09-30;21;36,9;null;null;null;
2012-10-31;19,8;37,2;null;null;59;
2012-11-30;224,7;34,6;null;null;72,6;
2012-12-31;155,4;35,3;null;null;71,4;
2013-01-31;204,7;35,3;null;null;70,2;
2013-02-28;74,1;34,3;null;null;78,1;
2013-03-31;179;33,3;null;null;null;
2013-04-30;90,1;32,4;null;null;null;
2013-05-31;55,2;30,1;null;null;76,8;
2013-06-30;73,2;28,5;null;null;81,7;
2013-07-31;9,8;28,6;null;null;65,5;
2013-08-31;2,6;29,9;null;null;51;
2013-09-30;37,1;33,6;null;null;55,5;
2013-10-31;51,3;34,8;null;null;64,5;
2013-11-30;115,4;35,8;null;null;65;
2013-12-31;273,5;35,4;null;null;72,3;
2014-01-31;156,3;33,8;null;null;75,7;
2014-02-28;126,1;32,9;null;null;78,8;
2014-03-31;331,6;33;null;null;76,2;
2014-04-30;36,9;33,4;null;null;null;
2014-05-31;239,8;27,9;null;null;null;
2014-06-30;null;28,1;null;null;null;

