Nome: BOA ESPERANCA
Codigo Estacao: 83557
Latitude: -18.53722221
Longitude: -40.27222221
Altitude: 100
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2023-09-28
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;18,8;35,6;27,3;21,2;62,8;
2010-02-28;30,7;34,3;26,8;20,3;65;
2010-03-31;238,2;33;26,5;20,6;67,4;
2010-04-30;173,7;30,3;24,4;19,3;70,7;
2010-05-31;52,5;29,4;23,4;18,9;71,1;
2010-06-30;16,3;27,5;21,3;16,2;70,2;
2010-07-31;76,1;26,9;21;16,2;74,4;
2010-08-31;1,6;27,8;20,9;15,7;70,5;
2010-09-30;38,9;30,4;23,5;17,6;67,4;
2010-10-31;50,2;29,6;23,9;18,7;67,9;
2010-11-30;297,6;29,6;23,9;18,2;71,8;
2010-12-31;182,3;31,8;25,3;18,6;67,7;
2011-01-31;101,4;32,5;25,6;20;67,5;
2011-02-28;102,7;32,9;25,7;20,1;66,3;
2011-03-31;195,2;31,5;25,3;19,8;69,6;
2011-04-30;253,6;29,6;23,9;18,5;71,5;
2011-05-31;29,9;28,1;22,1;16,9;70;
2011-06-30;43,9;27,6;21,5;15,8;69,7;
2011-07-31;85,2;27,7;20,9;15,8;71,6;
2011-08-31;25;28,3;21,5;16,6;74,3;
2011-09-30;22,3;28,1;20,9;15,8;70,9;
2011-10-31;160,1;28,1;22,7;18,2;75;
2011-11-30;296,8;28,9;23,1;18,1;73,2;
2011-12-31;155,7;30,5;24,8;20,3;70,5;
2012-01-31;140;31,2;25,3;20,5;73,2;
2012-02-29;62;32,7;25,2;20,6;73,4;
2012-03-31;42,9;33,2;25,7;20,4;70;
2012-04-30;41,5;32,4;25,5;20,5;70;
2012-05-31;89,9;28,6;22,6;18,1;76;
2012-06-30;18,3;28,1;22,4;17,7;73,3;
2012-07-31;64,9;27;20,9;16,1;77,8;
2012-08-31;232,6;26,4;20,7;16,4;79,8;
2012-09-30;43,5;28,1;22,2;17,3;72,9;
2012-10-31;40,4;30,7;23,7;18,5;71,4;
2012-11-30;340,5;29,5;24,4;20,1;75,4;
2012-12-31;7,6;34,7;26,6;21,4;67,6;
2013-01-31;213,3;32,9;26,2;21,3;71,1;
2013-02-28;3,5;33,7;26,5;21,2;70,4;
2013-03-31;47;34,4;26,7;21,7;69,4;
2013-04-30;80,6;29,8;23,5;19,2;79,4;
2013-05-31;57,6;29,6;22,6;16,5;76,2;
2013-06-30;20,1;29,1;22;16,8;78,3;
2013-07-31;21,5;28,6;22,4;16,8;75,6;
2013-08-31;68;29;22,4;16,3;72,2;
2013-09-30;92;29,6;23;17,6;73,6;
2013-10-31;147,1;28,5;22,4;18,4;77;
2013-11-30;166,8;30,8;24,8;20,1;72,9;
2013-12-31;505,6;31,5;25,6;21,3;74,5;
2014-01-31;63,5;32,2;25,5;21;72,2;
2014-02-28;179,1;32,2;25,1;20,6;74,6;
2014-03-31;130,8;31,2;24,8;20,8;75,9;
2014-04-30;50,3;31;24,4;20,2;76,2;
2014-05-31;6,5;29,9;22,6;17,2;75,9;
