Nome: PARANAIBA
Codigo Estacao: 83565
Latitude: -19.66361111
Longitude: -51.19138888
Altitude: 429.62
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;335,2;30,8;25,2;21,3;81,5;
2010-02-28;213,4;32,1;26,5;22,4;74,2;
2010-03-31;290,8;32;26,3;21,5;71,7;
2010-04-30;93,8;30,6;24,6;19,5;66,2;
2010-05-31;20,4;28,4;21;15,2;null;
2010-06-30;4,2;29,2;21,1;14,4;58,2;
2010-07-31;,2;30,2;22,5;15,9;50,2;
2010-08-31;0;31,5;22,9;15,1;40,8;
2010-09-30;39,2;32,7;25,8;20;49,3;
2010-10-31;99,6;32,3;25,4;20,9;61,6;
2010-11-30;90,7;31,9;25,8;20,8;66,2;
2010-12-31;177,1;31,9;26,1;22,1;null;
2011-01-31;318,8;31,8;26,1;22,1;76,3;
2011-02-28;243,7;30,9;25,4;21,5;78,8;
2011-03-31;595;29,3;24,6;21,5;84,5;
2011-04-30;62,4;30,6;24,8;19,9;71;
2011-05-31;37,6;28,4;21,7;16,2;66,4;
2011-06-30;37,9;27,5;20,1;13,9;64,5;
2011-07-31;,4;30,3;22,3;15,7;null;
2011-08-31;12,4;32;23,5;15,9;49,1;
2011-09-30;3,2;33,9;26;19,1;42;
2011-10-31;104,4;32;25,6;20,6;65;
2011-11-30;56,7;32,3;25,8;19,6;57,8;
2011-12-31;78,8;33,4;26,7;20,8;null;
2012-01-31;277,6;30,3;25;21,1;77,1;
2012-02-29;64,8;32,6;26,7;21,8;66,2;
2012-03-31;64,8;32,1;26,2;21,5;67,9;
2012-04-30;56,2;31,2;25,5;20,7;71,2;
2012-05-31;50;27,3;21,4;16,2;null;
2012-06-30;149,4;27,1;21,2;15,9;74,5;
2012-07-31;1,8;28,3;20,5;13,2;null;
2012-08-31;0;30,5;23,2;16;46,8;
2012-09-30;86,4;33,7;26;19,5;47,8;
2012-10-31;53;35,1;27,9;21,9;53,7;
2012-11-30;184,8;32,6;26,7;21,9;67;
2012-12-31;171,4;33,4;27,1;22,2;69,1;
2013-01-31;218,5;31;25,8;21,2;76,9;
2013-02-28;211,8;30,9;25,6;21,7;75,9;
2013-03-31;194,5;30,9;25,6;21,6;77;
2013-04-30;122,8;29,2;23,4;19;74,7;
2013-05-31;5;30,1;23,1;17,1;64,2;
2013-06-30;83;29,3;22,9;18,1;null;
2013-07-31;22,8;27,4;20,2;14,3;null;
2013-08-31;,4;30,2;21,8;14,1;45,3;
2013-09-30;20,4;32,4;24,7;18,4;51,2;
2013-10-31;131,6;31,9;25,8;20,5;61,8;
2013-11-30;56,2;32,6;26,4;21,4;67,6;
2013-12-31;129,9;33,2;27,2;21,7;68,3;
2014-01-31;132,2;32,9;26,6;21,5;67,6;
2014-02-28;241,8;32,5;26,5;21,9;66,2;
2014-03-31;161,4;30,9;25,5;20,8;75,4;
2014-04-30;73,4;31,1;25,4;20,7;72;
2014-05-31;24,8;28,4;22;16,4;67,9;
2014-06-30;7,8;28,8;22;16,1;63,7;
2014-07-31;100;28,1;21;14,9;null;
2014-08-31;0;31,7;24;16,8;47;
2014-09-30;82,6;33;25,9;19,7;55,8;
2014-10-31;86,5;34,4;27,1;20,2;null;
2014-11-30;210,3;31,2;25,3;20,2;73,1;
2014-12-31;183,4;31,7;25,6;20,3;76,2;
2015-01-31;108,4;34,5;28,1;22,4;63,5;
2015-02-28;333,4;31,9;26;21,3;74,9;
2015-03-31;228,4;30,9;24,9;20,3;78,1;
2015-04-30;69,2;31,2;25,4;19,9;72,1;
2015-05-31;148,4;27,9;22,2;16,8;76,2;
2015-06-30;38,2;28;21,8;16,6;70,4;
2015-07-31;39;28,2;21,9;16,3;68,3;
2015-08-31;23,6;31,8;23,6;15,4;48,5;
2015-09-30;56;33,4;25,8;18,5;57,4;
2015-10-31;60,8;34,5;27,2;20,1;60,9;
2015-11-30;173,6;32,9;26,2;19,6;71,6;
2015-12-31;170,4;32,3;null;null;74;
2016-01-31;318,8;31,5;null;null;77,1;
2016-02-29;112,4;33;null;null;72,4;
2016-03-31;87,8;32,7;null;null;null;
2016-04-30;76;33,4;null;null;56,7;
2016-05-31;139,2;28,8;null;null;72,4;
2016-06-30;56,6;26,6;null;null;69,9;
2016-07-31;1,2;30,1;null;null;null;
2016-08-31;47,4;30,5;null;null;54,9;
2016-09-30;69,8;30,7;null;null;53,9;
2016-10-31;50,6;32,9;null;null;61,6;
2016-11-30;94,8;32;null;null;66,3;
2016-12-31;226;32,6;null;null;73,2;
2017-01-31;419,6;30,4;null;null;79,8;
2017-02-28;76,6;32,6;null;null;71,7;
2017-03-31;135,2;32;null;null;75;
2017-04-30;60,4;30,5;null;null;null;
2017-05-31;67;30,1;null;null;75,4;
2017-06-30;,4;28,4;null;null;67,3;
2017-07-31;0;28;null;null;null;
2017-08-31;22,8;31;null;null;56,6;
2017-09-30;5,5;34,7;null;null;41,5;
2017-10-31;96,3;34,3;null;null;60,1;
2017-11-30;162,8;31,7;null;null;72,7;
2017-12-31;280,2;31,8;null;null;78,2;
2018-01-31;277,4;31,3;null;null;76,5;
2018-02-28;118,4;31,5;null;null;74,8;
2018-03-31;104,2;33,2;null;null;71,8;
2018-04-30;68,2;31;null;null;68,7;
2018-05-31;10,4;30;null;null;62,9;
2018-06-30;,2;30,2;null;null;62,2;
2018-07-31;,4;30,8;null;null;null;
2018-08-31;17;30,2;null;null;58,6;
2018-09-30;110,2;32,6;null;null;59,9;
2018-10-31;169,2;33,1;null;null;null;
2018-11-30;241;30,8;null;null;79,9;
2018-12-31;82,1;34,1;null;null;65,8;
