Nome: POMPEU
Codigo Estacao: 83570
Latitude: -19.228937
Longitude: -45.001336
Altitude: 692.21
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2015-12-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;94,4;32,6;25,4;19,9;65,5;
2010-02-28;33,9;33,6;26,3;19,8;59;
2010-03-31;185,8;31,6;24,9;19,8;71,5;
2010-04-30;19,2;30,6;23,2;16,6;62,7;
2010-05-31;30,1;29,3;21,1;14,5;63,6;
2010-06-30;10,8;27,2;18,3;10,6;61,5;
2010-07-31;0;28,6;20,7;13,4;52,3;
2010-08-31;0;30,3;21,1;12,2;40,2;
2010-09-30;27,1;32,1;23,8;15,9;43,5;
2010-10-31;88,8;32,1;24,5;18,4;61,5;
2010-11-30;189,9;29,6;23,5;19,2;73,9;
2010-12-31;328,3;31,6;25,2;20,3;70,6;
2011-01-31;161,9;31,2;25,2;19,9;66,4;
2011-02-28;79;34,1;26,5;19,8;55,4;
2011-03-31;437;29,9;23,9;19,6;77,2;
2011-04-30;80,2;30,4;23,3;17,4;68;
2011-05-31;6,1;28,8;20,8;14;63,9;
2011-06-30;12,4;27,9;19,3;12,2;61,6;
2011-07-31;0;28,7;19,8;11,8;54,6;
2011-08-31;0;32,4;22,9;14,3;42;
2011-09-30;0;33,6;23,8;15;38,8;
2011-10-31;175,7;30,5;23,4;18,1;66,4;
2011-11-30;173,1;null;null;17,5;64,2;
2011-12-31;338,8;null;null;18,9;78,6;
2012-01-31;235,2;null;null;18,9;72;
2012-02-29;96,7;null;null;18,7;59,2;
2012-03-31;81,5;null;null;18,5;65,5;
2012-04-30;38,7;null;null;17,5;66;
2012-05-31;6,2;null;null;14;66,6;
2012-06-30;19,7;null;null;14,7;64,1;
2012-07-31;0;28,4;19,9;11,9;53,6;
2012-08-31;0;28,2;20,9;13,6;47,8;
2012-09-30;35;32;23,8;16,2;43,9;
2012-10-31;8,8;33,4;25,9;18,7;43,6;
2012-11-30;201,7;30,3;24,4;19,4;67,9;
2012-12-31;97;32,9;26,2;20,3;62,4;
2013-01-31;309,3;29,6;24,1;19,7;74,9;
2013-02-28;40,7;32,5;25,7;19,3;61,8;
2013-03-31;216,7;30,3;24,4;19,9;73,6;
2013-04-30;179,5;28,2;22,1;17;72,7;
2013-05-31;39,4;27,9;20,9;14,7;66,7;
2013-06-30;6,6;27,7;20,6;14,5;69,1;
2013-07-31;,6;28,2;20;12,7;57,5;
2013-08-31;,8;29,8;21,5;13,5;48,4;
2013-09-30;42,6;30,5;22,9;15,9;57,1;
2013-10-31;55,3;30,1;23,8;17,9;60,3;
2013-11-30;120,9;30,9;24,5;18,9;65,7;
2013-12-31;263,3;30,5;24,6;20,2;74,6;
2014-01-31;45,4;32,6;25,5;18,9;58,8;
2014-02-28;1,1;33;26,3;19,6;51,1;
2014-03-31;94,9;31,1;24,8;19,5;64,6;
2014-04-30;38,4;29,8;23,3;17,9;68,4;
2014-05-31;2;28,9;21;14;60,4;
2014-06-30;0;28,8;20,8;13,8;56,3;
2014-07-31;63,5;27,3;19,7;13;58,8;
2014-08-31;0;30;21,5;13,2;45,8;
2014-09-30;12,4;32,5;24,6;16,8;40,7;
2014-10-31;38,6;33,3;25,3;18,3;45,1;
2014-11-30;240,2;31,3;25;19,4;60,6;
2014-12-31;136,8;30,8;24,8;19,7;67,8;
2015-01-31;115,2;34,1;26,8;20;52,2;
2015-02-28;165,9;30,7;24,5;19,6;70;
2015-03-31;131,8;30,2;24,2;19,4;73,3;
2015-04-30;66,2;29,6;23,5;18,1;69,8;
2015-05-31;57,3;27,1;20,8;15,4;70,1;
2015-06-30;14,4;27,1;19,7;13,4;65,7;
2015-07-31;0;28,8;21,1;14,1;55,8;
2015-08-31;0;30,4;22,4;14,9;46,1;
2015-09-30;59,4;32,9;25,2;18;48,9;
2015-10-31;74,8;35,3;27,5;20;43,4;
2015-11-30;46,4;33,5;26,8;21;58,8;
2015-12-31;142,7;32,5;25,4;20;66,1;

