Nome: FRUTAL
Codigo Estacao: 83574
Latitude: -20.034803
Longitude: -48.930435
Altitude: 547.09
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2013-09-08
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;297,6;31,7;25,5;21,8;77,9;
2010-02-28;252,5;33,6;26,7;22;68,8;
2010-03-31;146,8;33,1;26,5;22,1;69,8;
2010-04-30;65,8;31,2;24,3;19,1;62,4;
2010-05-31;10,9;29,8;21,8;15,9;59;
2010-06-30;13,9;30;21,2;14,4;53,3;
2010-07-31;,3;31,3;23,2;16,9;46,8;
2010-08-31;0;32,6;23,3;15,7;36,6;
2010-09-30;58,4;33,9;25,9;19,6;46,2;
2010-10-31;108,4;32,6;24,9;19,1;59,9;
2010-11-30;115,9;32,6;26;20,8;63,9;
2010-12-31;145,8;33,1;26,8;22;70;
2011-01-31;205,8;null;null;22;74,5;
2011-02-28;143,5;null;null;21,7;71,2;
2011-03-31;550;null;null;21,4;83,7;
2011-04-30;104,3;null;null;20,2;65;
2011-05-31;11;null;null;16,5;62,4;
2011-06-30;30,3;null;null;14,1;59,5;
2011-07-31;0;null;null;15,8;62,4;
2011-08-31;16,2;null;null;17,3;47,6;
2011-09-30;7,3;null;null;18,4;38,6;
2011-10-31;225,9;null;null;20,3;64,5;
2011-11-30;203,3;null;null;19,2;60,6;
2011-12-31;332,5;null;null;21,3;70,1;
2012-01-31;361,3;null;null;20,6;76,4;
2012-02-29;174,6;null;null;21,6;69;
2012-03-31;91,6;32,9;26,1;21;63,7;
2012-04-30;158,2;32;25,2;20,1;68,2;
2012-05-31;60,5;28,1;21,5;16,6;67,4;
2012-06-30;103,5;28,6;22,1;17,5;69;
2012-07-31;1,8;29,8;21,4;15,2;53,3;
2012-08-31;0;31;23,1;16,5;44;
2012-09-30;62,4;34,8;25,9;18,6;43,2;
2012-10-31;54,2;36,2;28,2;21,6;47,1;
2012-11-30;225,9;33,2;26,4;21,2;65,1;
2012-12-31;267,9;33,6;27;22,3;68;
2013-01-31;211,9;31,3;25,4;21,5;74,7;
2013-02-28;345,1;null;null;null;null;
2013-03-31;109;null;null;null;null;
2013-04-30;103,6;null;null;null;null;
2013-05-31;0;null;null;null;null;
2013-06-30;null;null;null;null;null;
2013-07-31;null;null;null;null;null;
2013-08-31;null;null;null;null;null;
2013-09-30;null;null;null;null;null;

