Nome: UBERABA
Codigo Estacao: 83577
Latitude: -19.73722221
Longitude: -47.94972221
Altitude: 753.41
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2018-08-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;411,2;30,5;24,4;20,2;76,2;
2010-02-28;169,5;32,2;24,7;19,9;72,1;
2010-03-31;211,8;31,6;24,3;19,7;75,8;
2010-04-30;96;30,2;22,5;16,7;67,7;
2010-05-31;18,3;28,9;19,7;13,2;67,5;
2010-06-30;9,5;28,6;18,2;11,2;63,3;
2010-07-31;,7;29,6;20,4;14,3;54,7;
2010-08-31;0;31,3;21;12,8;43,4;
2010-09-30;72,1;32,7;24,1;17,6;48,7;
2010-10-31;176,4;31,2;23,6;17,5;63,3;
2010-11-30;366,9;30,1;23,3;18,5;74,6;
2010-12-31;226,3;31,3;24,7;20;75;
2011-01-31;284,7;30,4;24;20,2;78,2;
2011-02-28;188,1;31,4;24,3;19,6;73,6;
2011-03-31;629,3;29,2;23;19,8;85,5;
2011-04-30;301,2;30,4;22,8;17,6;72,9;
2011-05-31;,6;28,5;20;13,8;69,2;
2011-06-30;25,1;27,3;18;11,8;68,5;
2011-07-31;0;29,1;19,7;13,4;58,4;
2011-08-31;2,9;31,5;21,7;14,8;50,9;
2011-09-30;2;33,3;24,1;16,6;42,6;
2011-10-31;151,6;30;23,3;18,7;69,3;
2011-11-30;148,8;30,3;23,1;17,5;66,6;
2011-12-31;213,7;29,8;23,7;19,5;76,7;
2012-01-31;415,5;28,8;22,6;18,7;81,3;
2012-02-29;156;31,4;24,2;19;70,3;
2012-03-31;128,5;31,1;23,9;18,8;72;
2012-04-30;86,6;30,6;22,9;17,9;76,6;
2012-05-31;73;27,2;19,7;14,6;73,3;
2012-06-30;91;28,2;20,2;15,1;75,2;
2012-07-31;10,2;28,1;18,6;12,2;66,4;
2012-08-31;0;29;20,7;14,1;53;
2012-09-30;30,6;32,8;23,8;16,7;62,6;
2012-10-31;35,5;34,6;26,4;19,8;53,8;
2012-11-30;221,8;31,2;24,6;19,8;73,1;
2012-12-31;169,2;31,8;25,2;20,6;75,1;
2013-01-31;293,2;29,7;23,9;20;81,8;
2013-02-28;153,8;30,5;24;19,9;80,9;
2013-03-31;230,3;30,3;23,9;19,8;81,9;
2013-04-30;167,7;28,5;21,5;16,7;77,1;
2013-05-31;97,9;28,4;20,3;14,9;72,7;
2013-06-30;37,1;28,3;20,4;15,3;73,8;
2013-07-31;14,8;27,4;18,3;11,9;65,3;
2013-08-31;0;29,9;20,2;12,9;50,2;
2013-09-30;69,3;30,9;22,9;16,5;54,5;
2013-10-31;140;30,7;23,5;18,1;64;
2013-11-30;190,4;30;23,7;19,3;70,6;
2013-12-31;224,7;30,5;24,4;20,3;77,2;
2014-01-31;178;32,2;24,7;19,2;66,9;
2014-02-28;120,7;31,8;24,6;19,2;66,1;
2014-03-31;149,1;30,6;23,8;19,5;74,8;
2014-04-30;61,8;30,2;23;18,3;76,5;
2014-05-31;1,8;28,4;20;14,1;69,3;
2014-06-30;,6;28,8;19,8;13,7;65,1;
2014-07-31;62,1;27,5;19,1;13,4;64,5;
2014-08-31;1,5;31,1;21,5;13,8;49,8;
2014-09-30;24,4;33,1;24,4;17,7;51,7;
2014-10-31;107,3;33,8;25,6;19;50,4;
2014-11-30;209,9;30,8;24,1;19,7;74,1;
2014-12-31;309,3;30,2;24;19,8;75,6;
2015-01-31;91,4;33,6;26;20,1;63,7;
2015-02-28;349,8;30,8;23,8;19,2;76,6;
2015-03-31;302,4;29,2;23;19,3;82,8;
2015-04-30;89,8;30,2;23;18,5;77,6;
2015-05-31;89,4;27,3;20,6;16,2;77;
2015-06-30;36,3;27,7;19,8;14,7;72,1;
2015-07-31;6,4;28,4;20,1;14,3;68,5;
2015-08-31;0;31,1;21,3;13,9;54,6;
2015-09-30;100;32,5;24,1;17,5;60,4;
2015-10-31;72,7;35,4;27;20,5;55,9;
2015-11-30;212,9;32;25;20;73,7;
2015-12-31;276,2;31,4;24,3;20,2;76,9;
2016-01-31;315,2;29,7;24,3;21,1;82,2;
2016-02-29;131,5;31,1;25;19,9;76,8;
2016-03-31;292,9;29,9;24,6;20,3;78;
