Nome: ARAXA
Codigo Estacao: 83579
Latitude: -19.60555555
Longitude: -46.94972221
Altitude: 1018.28
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;178,1;29;23,4;19,6;74,9;
2010-02-28;165,2;30,1;23,8;19,5;70,2;
2010-03-31;210,2;29,4;22,8;18,8;76,6;
2010-04-30;79,2;27,9;21,5;17,2;68,9;
2010-05-31;42;26,9;19,7;14,7;65,6;
2010-06-30;11,1;25,5;18,1;13,1;64;
2010-07-31;,9;26,5;19,3;14,7;57,1;
2010-08-31;0;28,3;20,2;14,1;41,2;
2010-09-30;113,3;29,9;22,4;16,9;50,5;
2010-10-31;180,9;29,2;22,5;18,4;68,2;
2010-11-30;315;27,5;21,6;17,9;77,1;
2010-12-31;201,1;29,4;23,4;19,5;76,3;
2011-01-31;267,4;28,6;22,7;19,2;76,7;
2011-02-28;169,5;30,1;23,6;19,5;69,4;
2011-03-31;345,1;26,9;21,8;18,7;83,7;
2011-04-30;100,3;27,9;21,6;17,5;71;
2011-05-31;0;26,5;19,9;15,3;65,2;
2011-06-30;18;25,1;18,1;13,3;62,7;
2011-07-31;0;26,5;19,5;14,5;54,9;
2011-08-31;1,4;29,7;21,7;15,8;46;
2011-09-30;13,4;30,3;22,7;16,3;42,8;
2011-10-31;176;27,1;21,2;17,4;71,6;
2011-11-30;121,5;27,8;21,4;17,1;68,9;
2011-12-31;333;28,4;21,9;18,4;80,7;
2012-01-31;494,6;27,6;21,4;17,9;81,3;
2012-02-29;105,8;30,6;23,6;18,9;65,6;
2012-03-31;128,4;30;22,7;18,5;71,6;
2012-04-30;107;29,6;22,5;17,9;74,4;
2012-05-31;51,7;24,2;18,5;14,3;70,5;
2012-06-30;83,6;25,6;19,5;15,4;70,1;
2012-07-31;3,9;25,8;18,9;14,4;56,3;
2012-08-31;0;26,1;19,2;14,2;53;
2012-09-30;35,9;30,4;22,7;17,1;49,5;
2012-10-31;91,3;31,4;24,2;18,8;54,9;
2012-11-30;124,1;28,7;22,7;18,7;74;
2012-12-31;159,7;30,4;24;19,4;72,7;
2013-01-31;304,1;27,6;22,4;19,1;78,5;
2013-02-28;125,6;29,5;23,3;19,2;74,1;
2013-03-31;284,7;27,8;22,2;18,8;80,6;
2013-04-30;76,4;26,6;20,5;16,8;74,2;
2013-05-31;87,2;26,5;20,1;15,6;67,5;
2013-06-30;11,4;25,7;19,8;15,9;69,6;
2013-07-31;0;26;18,7;13,8;58,7;
2013-08-31;14,8;27,5;19,9;14,5;48,7;
2013-09-30;29;28,7;21,5;16,2;55,5;
2013-10-31;178,1;27,8;21,6;17,2;66,1;
2013-11-30;204,2;27,6;22,2;18,3;72,3;
2013-12-31;181,3;28,6;22,7;19;78,6;
2014-01-31;80,9;30,3;23,7;19,1;63,2;
2014-02-28;53,2;30,6;23,9;19,3;58,1;
2014-03-31;233,6;28,5;22,4;18,6;73,9;
2014-04-30;201,7;28;21,6;17,7;74,9;
2014-05-31;18,1;26,2;19,7;14,9;63,4;
2014-06-30;3,8;25,8;19,3;14,8;62,5;
2014-07-31;86,6;24,6;18,3;14,1;62,4;
2014-08-31;0;28,3;20,9;15,4;48,7;
2014-09-30;9,3;30,7;23;17,5;48,8;
2014-10-31;101,5;31;23,4;18;52,5;
2014-11-30;337,8;28,4;22,6;18,7;73,3;
2014-12-31;206;27,9;22,4;18,9;75,2;
2015-01-31;54,8;31,7;24,8;19,9;60,3;
