Nome: BAMBUI
Codigo Estacao: 83582
Latitude: -20.0311111
Longitude: -46.00888888
Altitude: 684.43
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2018-04-04
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;226;31,1;23,8;18,1;79,8;
2010-02-28;118,4;31,7;24,1;18,4;74,1;
2010-03-31;273,3;30,4;23;17,8;83,6;
2010-04-30;124;28,8;20,6;14,3;80;
2010-05-31;36,7;27,5;18;11,6;80,8;
2010-06-30;2;25,7;14,8;8;79,3;
2010-07-31;4,5;26,8;17,1;11,4;76,7;
2010-08-31;0;28,9;17;10;66;
2010-09-30;101,5;30,3;20,7;14,5;66,3;
2010-10-31;160,8;29,7;22,3;18;77,9;
2010-11-30;174,1;29,1;22,7;19,9;82,3;
2010-12-31;233,5;30,8;24;19,7;82,7;
2011-01-31;327,4;30,2;23,5;18,8;80,5;
2011-02-28;132,6;31,9;24;17,9;74,6;
2011-03-31;275,2;28,4;22,6;18,5;86,3;
2011-04-30;197,8;29;21,2;16,1;83;
2011-05-31;12;27,2;18,4;12;81,4;
2011-06-30;17,8;26,1;15,8;8,7;80,8;
2011-07-31;0;27,4;16,4;8,4;76,1;
2011-08-31;0;30,7;18,6;9,6;66,6;
2011-09-30;9,6;31,6;20;10,4;58,5;
2011-10-31;161,6;28,7;21,6;16,2;75,5;
2011-11-30;70,6;29;21,7;16,4;75,4;
2011-12-31;403,4;28,7;22,6;18,7;84,2;
2012-01-31;460,4;28,1;22,3;18,4;85,2;
2012-02-29;43,8;30,8;23,2;17,5;75,4;
2012-03-31;107,4;30,2;22,3;16,6;81,1;
2012-04-30;45,5;29,3;21,7;16,3;82,4;
2012-05-31;95,9;25,6;17,8;12;82;
2012-06-30;79,9;26,4;18,1;12,3;84,8;
2012-07-31;3;26,6;15,9;8,1;79,5;
2012-08-31;0;27,2;17,3;9;68,4;
2012-09-30;14,9;31,1;20,3;12,1;64,7;
2012-10-31;67,6;32,4;22,8;14,5;65,6;
2012-11-30;260,5;29,6;22,8;18,1;81,1;
2012-12-31;94,1;32,1;24,3;19,1;78,4;
2013-01-31;332,8;29,6;23,2;19;81,3;
2013-02-28;34;31,4;23,6;17,6;77,4;
2013-03-31;252,6;30;22,9;16,9;84,8;
2013-04-30;123,8;27,8;20,3;14,7;84,1;
2013-05-31;94,2;27,7;18,6;11,7;82;
2013-06-30;17,6;26,9;18,3;12,1;84,3;
2013-07-31;5,3;27,1;16,6;9,3;78,4;
2013-08-31;5,8;28,7;17,6;10,3;69,8;
2013-09-30;84,5;29,6;20,6;15,3;71,9;
2013-10-31;147,4;28,7;21,7;18,1;78,9;
2013-11-30;228;29,3;23;19,9;80,9;
2013-12-31;291,4;30,7;24,3;21,7;83,4;
2014-01-31;71,1;32,1;24,4;19,6;75;
2014-02-28;14,6;32,3;24,2;18,8;68;
2014-03-31;80,7;30,1;22,4;15,1;80,1;
2014-04-30;57,6;29,6;21,4;14,6;82,5;
2014-05-31;32,9;28,1;18,2;11;80,6;
2014-06-30;1,9;27,5;17,4;9,9;80,1;
2014-07-31;78;26,1;16,5;9,8;79,8;
2014-08-31;0;29,5;17,8;9,2;71,6;
