Nome: SETE LAGOAS
Codigo Estacao: 83586
Latitude: -19.48454
Longitude: -44.173798
Altitude: 753.68
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2016-07-20
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;153,8;31,6;24,3;19,2;69,2;
2010-02-28;118,2;32,4;24,8;19,2;66,2;
2010-03-31;190,9;30,4;23,7;19,3;76,4;
2010-04-30;55,3;29;21,8;16,8;71;
2010-05-31;46,2;28,1;19,9;14,4;71,5;
2010-06-30;6,3;26,1;17,2;10,9;68,9;
2010-07-31;0;27,1;19,1;13;62;
2010-08-31;0;28,8;19,1;11,7;51,8;
2010-09-30;33,5;30,5;22;15,4;53;
2010-10-31;106,5;30,6;23,1;18;66,2;
2010-11-30;265;28,2;22,4;18,7;77,9;
2010-12-31;358,3;30,2;24,1;19,7;74,5;
2011-01-31;163,6;30,2;23,8;19,3;72;
2011-02-28;69,4;32,5;24,8;19,3;62,7;
2011-03-31;354,6;29,3;23,1;19,3;78,2;
2011-04-30;15,3;29,3;22,5;17,8;70,7;
2011-05-31;,9;28,1;null;null;65,8;
2011-06-30;5,4;27,3;null;null;66,6;
2011-07-31;0;27,9;null;null;59,5;
2011-08-31;0;31;21,2;13,5;49,7;
2011-09-30;0;31,1;21,9;14,4;46,5;
2011-10-31;119,3;28,3;22,1;17,5;68;
2011-11-30;264,9;27,8;21,6;16,8;69,6;
2011-12-31;452,9;27,8;22,4;18,9;80,9;
2012-01-31;383,4;29;22,8;18;73,4;
2012-02-29;31,8;30,6;23,4;18;66,8;
2012-03-31;203,4;29,9;22,9;17,6;70,3;
2012-04-30;55,3;29,7;22,5;16,9;71,4;
2012-05-31;33,7;26,3;19,2;13,7;73,5;
2012-06-30;14,4;28;19,7;13,9;70,8;
2012-07-31;0;28;18,6;11,1;59,5;
2012-08-31;,7;27,1;18,9;12,1;57,2;
2012-09-30;7,8;31,5;22,3;14,8;49,5;
2012-10-31;29,1;32,4;24,2;17,2;50,2;
2012-11-30;211,1;29,1;23;18,4;73,9;
2012-12-31;96,2;32,3;25;19,2;66,4;
2013-01-31;159,5;29,6;23,5;18,8;74,6;
2013-02-28;54,4;31,4;24,1;17,7;65,5;
2013-03-31;119,1;29,9;23,6;18,8;75,3;
2013-04-30;71,2;28,2;21,4;15,8;73,5;
2013-05-31;57;27,9;20;13,6;69,6;
2013-06-30;7,5;28;19,9;13,5;70,4;
2013-07-31;0;28,6;19,4;12,2;61,1;
2013-08-31;0;29,4;20,2;12,3;53,2;
2013-09-30;30,5;30,1;21,9;15;56,7;
2013-10-31;57,8;29,4;22,1;15,8;64,1;
2013-11-30;122,9;29,8;23,1;17,5;66,6;
2013-12-31;475,5;29,3;23,2;18,3;80,2;
2014-01-31;59,4;31,5;23,8;16,8;63,7;
2014-02-28;,4;32;null;null;59;
2014-03-31;74;30,3;null;null;68,8;
2014-04-30;73,5;30;22,3;16,7;70,9;
2014-05-31;,4;29,1;20,4;13,3;63;
2014-06-30;,6;28,2;19,7;12,9;61,2;
2014-07-31;51;26,6;18,7;12,2;62,7;
2014-08-31;,2;29,5;20;11,9;52,4;
2014-09-30;5,2;31,8;22,7;15;47,9;
2014-10-31;51,7;31,7;23,5;16,2;53,5;
2014-11-30;130,6;30,5;23,6;17,7;66,4;
2014-12-31;104,2;30,3;23,6;17,5;67,3;
2015-01-31;221,8;33,1;24,9;17,9;61,3;
2015-02-28;362,5;30,1;23,4;17,7;72,8;
2015-03-31;244,7;30,5;23,5;17,9;73,9;
2015-04-30;53,6;29,7;22,4;16,7;71,6;
2015-05-31;31,6;27,1;19,8;14,2;72,4;
2015-06-30;7,3;27;19;12,4;67,8;
2015-07-31;2,8;28,1;19,5;12,3;62,4;
2015-08-31;0;29,7;20,5;12,5;53,6;
2015-09-30;33,1;33,3;24,3;16,7;51,5;
2015-10-31;125,5;34,9;26,2;18,3;48;
2015-11-30;117,7;32,3;25,1;19;64,8;
2015-12-31;215,8;31,6;24,1;18,1;69,9;
2016-01-31;364,5;null;null;19,4;null;
2016-02-29;55,6;null;null;18,9;null;
2016-03-31;109,4;null;null;18,5;null;
2016-04-30;40,6;null;null;16,6;null;
2016-05-31;2,4;null;null;13,7;null;
2016-06-30;5,2;null;null;12,2;null;
2016-07-31;0;null;null;10,4;null;

