Nome: BELO HORIZONTE
Codigo Estacao: 83587
Latitude: -19.93444444
Longitude: -43.95222222
Altitude: 915.47
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;291,5;29,8;24,5;20,3;62,3;
2010-02-28;71;30,4;25,1;20,9;57,5;
2010-03-31;247,9;28,8;24;20,4;68;
2010-04-30;85,1;27,4;22,4;18,6;61,9;
2010-05-31;26,8;25,9;20,8;16,6;61,9;
2010-06-30;,8;24,1;18,4;13,9;59,1;
2010-07-31;0;24,9;19,8;15,8;57,7;
2010-08-31;0;26,7;20,1;14,6;45,8;
2010-09-30;71;27,8;21,5;16,7;52,6;
2010-10-31;216,6;28,4;22,4;17,9;64,7;
2010-11-30;396,6;26,6;22;18,3;72,6;
2010-12-31;293,2;29,2;24,1;20;70;
2011-01-31;317,9;28,5;23,6;19,6;67,6;
2011-02-28;66,6;30,7;25,1;20,5;55,8;
2011-03-31;334,5;27,5;22,9;19,5;71,8;
2011-04-30;98,7;27,5;22,6;19;65,3;
2011-05-31;5;25,7;20,5;16,8;61,9;
2011-06-30;14,6;24,9;19,2;15,2;61;
2011-07-31;0;25,5;19,6;14,9;55,6;
2011-08-31;0;28,5;22;16,9;48,7;
2011-09-30;1,4;28;21,5;16,5;47,9;
2011-10-31;178,8;26,5;21,4;17,4;67,4;
2011-11-30;288,7;26,2;21;17,1;68,1;
2011-12-31;720;26,4;21,7;18,2;77,6;
2012-01-31;407,5;27,3;22,5;18,7;69,6;
2012-02-29;34,3;28,9;23,8;19,9;58,1;
2012-03-31;196,4;28,2;23,2;19,4;64,6;
2012-04-30;111,3;27,7;22,8;19,1;65,7;
2012-05-31;61,1;24,3;19,6;16,2;67,8;
2012-06-30;17;25,7;20,6;16,9;64,7;
2012-07-31;0;25,3;19,9;15,3;54,3;
2012-08-31;0;24,5;19,3;15,2;55,5;
2012-09-30;22,8;28,9;22,4;17,4;49,3;
2012-10-31;32,1;29,7;23,9;19;50,9;
2012-11-30;310;27,6;22,7;18,7;69,6;
2012-12-31;143;30,5;25,2;21,2;60,4;
