Nome: C. DO MATO DENTRO
Codigo Estacao: 83589
Latitude: -19.02027777
Longitude: -43.43388888
Altitude: 663.02
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;150,6;31,8;24,4;18,9;72,6;
2010-02-28;60,3;32,2;24,5;18,8;71,3;
2010-03-31;317,9;31,2;24;19,9;81,1;
2010-04-30;61,6;28,6;21,2;16,6;80,6;
2010-05-31;55,5;27,3;19,8;15,5;82,7;
2010-06-30;12,7;24,6;16;10,8;81,6;
2010-07-31;5,4;25,6;17,6;11,8;78;
2010-08-31;0;27,3;16,8;8;67,2;
2010-09-30;1,5;28,9;20,3;12,6;63,6;
2010-10-31;92;28,9;22,2;17,6;75,6;
2010-11-30;276,2;28,2;22,6;18,6;81,4;
2010-12-31;413,7;30,7;24;19,3;78,2;
2011-01-31;151,3;30,6;24;19,1;74,5;
2011-02-28;55,8;32,2;24,5;18,4;66,2;
2011-03-31;495;29,5;23;19,2;82,3;
2011-04-30;77,4;28,3;21,9;17,9;79,9;
2011-05-31;9;26,1;18,5;13,8;78,8;
2011-06-30;2,3;25,2;17,1;11,9;78,3;
2011-07-31;,9;25,6;16,5;10,4;75,8;
2011-08-31;0;28,8;18,8;10,7;64,3;
2011-09-30;,9;28,5;19,7;11,2;57,6;
2011-10-31;218,9;26,5;21;16,7;77,7;
2011-11-30;423,9;26,7;21,1;17;76,2;
2011-12-31;435,2;27,9;22,7;19,3;81,7;
2012-01-31;343,2;28,7;22,9;18,7;76,5;
2012-02-29;61,4;30,4;23,4;18,3;69,1;
2012-03-31;95;29,3;22,5;17,8;75,8;
2012-04-30;28;29,6;22,3;17,7;77,8;
2012-05-31;72,8;25,5;19,2;15,5;81,7;
2012-06-30;9,8;26,4;18,9;14,3;81,9;
