Nome: JOAO MONLEVADE
Codigo Estacao: 83591
Latitude: -19.82388888
Longitude: -43.14416666
Altitude: 859.84
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2019-05-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;65,4;30;null;null;null;
2010-02-28;35;30,8;null;null;null;
2010-03-31;238,8;29,1;null;null;null;
2010-04-30;184,8;26,7;null;null;null;
2010-05-31;62,2;24,8;null;null;null;
2010-06-30;3,4;22,8;null;null;null;
2010-07-31;4;23,3;null;null;null;
2010-08-31;0;25,1;null;null;null;
2010-09-30;8,6;25,7;null;null;null;
2010-10-31;143,6;26,6;null;null;null;
2010-11-30;263,2;25,8;null;null;null;
2010-12-31;364;27,9;null;null;null;
2011-01-31;160,2;28,1;null;null;null;
2011-02-28;41,6;30;null;null;null;
2011-03-31;316,2;27;null;null;null;
2011-04-30;49,4;26,4;null;null;null;
2011-05-31;5,3;24,3;null;null;null;
2011-06-30;13,7;23,1;null;null;null;
2011-07-31;1,6;23,1;null;null;null;
2011-08-31;1;27,2;null;null;null;
2011-09-30;12,8;25,7;null;null;null;
2011-10-31;191;24,9;null;null;null;
2011-11-30;381,6;23,9;null;null;null;
2011-12-31;616;25,9;null;null;null;
2012-01-31;341,6;26,6;null;null;null;
2012-02-29;12,6;28,2;null;null;null;
2012-03-31;166,2;27,3;null;null;null;
2012-04-30;12,9;27,2;null;null;null;
2012-05-31;52,4;23,8;null;null;null;
2012-06-30;6,1;24,5;null;null;null;
2012-07-31;1,8;25;null;null;null;
2012-08-31;18,2;23,3;null;null;null;
2012-09-30;7,2;27,9;null;null;null;
2012-10-31;39,8;28,3;null;null;null;
2012-11-30;360;25,9;null;null;null;
2012-12-31;76,9;30,2;null;null;null;
2013-01-31;242,6;26,6;null;null;null;
2013-02-28;64,4;28,6;null;null;null;
2013-03-31;134,4;27,1;null;null;null;
2013-04-30;74,3;24,5;null;null;null;
2013-05-31;58,1;24,4;null;null;null;
2013-06-30;28;24;null;null;null;
2013-07-31;0;24,4;null;null;null;
2013-08-31;2,6;24,8;null;null;null;
2013-09-30;52,7;26,3;null;null;null;
2013-10-31;113,4;25,5;null;null;null;
2013-11-30;170,7;26,3;null;null;null;
2013-12-31;547,7;26,9;null;null;null;
2014-01-31;128,2;29,6;null;null;null;
2014-02-28;80,8;29,3;null;null;null;
2014-03-31;95;27,3;null;null;null;
2014-04-30;97,2;26,6;null;null;null;
2014-05-31;,8;24,9;null;15,1;null;
2014-06-30;5;24,2;null;14,5;null;
2014-07-31;26,2;22,9;null;14,3;null;
2014-08-31;24,6;25,6;null;13,9;null;
2014-09-30;,8;27,5;null;15,5;null;
2014-10-31;98,2;27,8;null;16,6;null;
2014-11-30;260,8;27,3;null;18,1;null;
2014-12-31;219;27,7;null;18,6;null;
2015-01-31;6,6;30,9;null;19,5;null;
2015-02-28;189;28,5;null;19,2;null;
2015-03-31;134;28,3;null;19,3;null;
2015-04-30;163,2;26,6;null;17,9;null;
2015-05-31;85,4;23,4;null;15,6;null;
2015-06-30;15,2;23;null;14,5;null;
2015-07-31;14,8;24,1;null;14,6;null;
2015-08-31;12,2;24,9;null;15;null;
2015-09-30;28,2;28,7;null;17,6;null;
2015-10-31;null;30,5;null;19;null;
2015-11-30;190,2;31,2;null;20,3;null;
2015-12-31;178;29,9;null;19,5;null;
2016-01-31;421,9;27,1;null;19,5;null;
2016-02-29;45;31,2;null;20;null;
2016-03-31;89;29,1;null;19,5;null;
2016-04-30;80,3;29,6;null;19;null;
2016-05-31;4,2;25,7;null;16,2;null;
2016-06-30;33,4;24;null;14;null;
2016-07-31;,7;26,1;null;14,9;null;
2016-08-31;,6;26,7;null;14,9;null;
2016-09-30;93,2;27,9;null;16,4;null;
2016-10-31;63,2;27,3;null;17,7;null;
2016-11-30;295,6;27,3;null;18,4;null;
2016-12-31;263,6;28,4;null;18,1;null;
2017-01-31;184,4;29,5;null;19,2;null;
2017-02-28;60,6;27,3;null;18,1;null;
2017-03-31;246,4;28,7;null;18,1;null;
2017-04-30;75,9;27;null;17,6;null;
2017-05-31;40,3;23,7;null;15,5;null;
2017-06-30;5;25,6;null;14,9;null;
2017-07-31;1,8;21,4;null;12,1;null;
2017-08-31;0;24,7;null;13,5;null;
2017-09-30;null;null;null;null;null;
2017-10-31;74,6;28,3;null;17,1;null;
2017-11-30;212,4;25,7;null;17;null;
2017-12-31;248;27,6;null;18,9;null;
2018-01-31;161,8;29,8;null;19,6;null;
2018-02-28;459,2;27,2;null;19,1;null;
2018-03-31;283,4;29,1;null;19,6;null;
2018-04-30;105,4;26;null;17,2;null;
2018-05-31;null;null;null;null;null;
2018-06-30;5,6;24,2;null;14,8;null;
2018-07-31;1;25,2;null;13,8;null;
2018-08-31;38,4;24,3;null;14,7;null;
2018-09-30;43,2;26,7;null;15,8;null;
2018-10-31;74,3;27,4;null;16,7;null;
2018-11-30;190,4;25,5;null;17,6;null;
2018-12-31;305,4;28,6;null;18,6;null;
2019-01-31;68,8;30,4;null;19,5;null;
2019-02-28;222,6;29,8;null;19,5;null;
2019-03-31;248,4;28,7;null;18,9;null;
2019-04-30;89;28,3;null;18,6;null;
2019-05-31;39,2;26,3;null;16,9;null;

