Nome: CARATINGA
Codigo Estacao: 83592
Latitude: -19.73583333
Longitude: -42.13722221
Altitude: 609.56
Situacao: Temporariamente Fechada
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;85,1;31,8;25;20,1;70,1;
2010-02-28;50;32,2;25,6;20,3;66,7;
2010-03-31;249,4;30,6;24,4;19,7;79,5;
2010-04-30;63;28,3;21,9;16,9;79,2;
2010-05-31;31,9;26,6;19,6;14,6;83,4;
2010-06-30;1,6;24,9;16,8;10,9;78,7;
2010-07-31;2,3;26,1;18,6;13,2;76;
2010-08-31;5,1;27,1;18,3;11,3;66,4;
2010-09-30;6,6;28,7;21;15,2;64,1;
2010-10-31;99,2;27,4;21,9;17,7;75,3;
2010-11-30;183,9;27,5;22,7;19,2;80,3;
2010-12-31;483,8;29,8;23,7;19,2;80,3;
2011-01-31;149;30,2;24,2;19,5;75;
2011-02-28;28,2;31,7;24,6;19,5;70,7;
2011-03-31;260,4;28,7;23,1;19,3;83,9;
2011-04-30;63,5;28,5;22,3;17,9;81,5;
2011-05-31;7,4;26,3;19;13,8;82,6;
2011-06-30;10,2;25,3;17,8;12,4;82,4;
2011-07-31;,9;25,7;17,3;11,2;79,2;
2011-08-31;,3;28,8;19,9;13,4;69,6;
2011-09-30;9,5;27,5;20,1;14;64;
2011-10-31;114,3;26,3;21,4;17,6;76,9;
2011-11-30;257,3;25,9;21,1;17,2;78;
2011-12-31;332,9;27,5;22,6;19,1;82,5;
2012-01-31;207,7;28,6;22,9;19,1;79,2;
2012-02-29;15,9;31,2;24,1;19,1;68,6;
2012-03-31;113,1;29,8;23,4;18,9;75,1;
2012-04-30;45,4;28,8;22,4;18;79,9;
2012-05-31;74,8;25,9;19,7;14,9;81,2;
2012-06-30;4,7;26,4;19,4;14,2;82,8;
2012-07-31;1,5;26,9;18,5;12,5;74,7;
2012-08-31;11,9;26,4;19,5;14,2;69,5;
2012-09-30;14,3;28,7;21,4;15,6;62,8;
2012-10-31;22,4;30,5;23,7;18,2;60,9;
2012-11-30;387,4;27,8;22,7;19;79;
2012-12-31;45,5;31,7;25,2;20,3;73,8;
2013-01-31;245,9;29,9;24,1;20,1;76,9;
2013-02-28;173,2;30,5;23,6;19,1;78,4;
2013-03-31;175;29,3;23,7;19,9;82,5;
2013-04-30;53,4;26,9;21,2;17,1;82,8;
2013-05-31;70,9;26,4;19,5;14,7;83,3;
2013-06-30;22,3;25,6;19;14,3;85,9;
2013-07-31;18,7;25,5;18,9;14,2;79;
2013-08-31;5,4;26,6;19,2;13,6;72;
2013-09-30;45,9;27,7;21,1;16;72,5;
2013-10-31;80,2;26,7;21,4;17,2;75,5;
2013-11-30;167,2;28,3;22,7;18,6;74,7;
2013-12-31;469,9;28,9;23,8;19,9;81,6;
2014-01-31;45,3;31,1;24,4;19,3;71;
2014-02-28;39,3;31,3;24,6;19,3;68;
2014-03-31;132,2;29,2;23,5;19,4;77,9;
2014-04-30;87,8;28,5;22,2;17,7;80,9;
2014-05-31;51,9;26,9;19,7;14,5;79,9;
2014-06-30;,5;26;18,6;13,4;82;
2014-07-31;18,6;24,8;18,4;13,5;78,1;
2014-08-31;1,8;27,2;19,1;12,6;68,3;
2014-09-30;6,5;29,1;21,7;15,8;60,5;
2014-10-31;118,3;29,5;22,6;17,1;63,2;
2014-11-30;127;28,4;23,1;19;73,9;
2014-12-31;125,1;29,8;23,7;19;74,1;
2015-01-31;3,4;33,3;25,5;19,9;63,1;
2015-02-28;206;30,2;24,3;20;73,1;
2015-03-31;61,1;30,5;24,3;19,7;76,1;
2015-04-30;56,8;28,4;22,4;18;79,5;
2015-05-31;88;25,2;19,6;15,6;84,3;
2015-06-30;2,5;25,5;18,9;14;81;
2015-07-31;,2;26,1;18,8;13,7;79,1;
2015-08-31;,9;27,2;19,8;14,3;70,6;
2015-09-30;24,9;31;23,4;17,7;65,3;
2015-10-31;68;31,9;24,8;19,1;61;
2015-11-30;126,5;32;25,5;20,7;70;
2015-12-31;141,3;31,3;24,8;20,4;75,2;
2016-01-31;260,4;29,2;23,8;20,1;81,8;
2016-02-29;10,1;32,5;25,1;20;74;
2016-03-31;149,4;31,1;24,4;20,1;78,3;
2016-04-30;49,2;31,1;23,7;18,5;73,4;
2016-05-31;7,7;27,5;20,5;15,6;80,9;
2016-06-30;17,6;25,4;18,8;13,9;79,3;
2016-07-31;0;27;19,2;13,4;72;
2016-08-31;,1;28,4;20,7;14,7;64;
2016-09-30;69,7;29;22,3;17,2;65,1;
2016-10-31;33,2;28,7;23,1;18,7;69,3;
2016-11-30;257;28,3;22,9;18,8;75,8;
2016-12-31;165,9;29,8;23,8;19,4;77,5;
2017-01-31;96,1;31,1;24,6;19,7;71;
2017-02-28;123,3;29,8;23,9;19,7;78,2;
2017-03-31;94;30,1;23,5;18,6;77,1;
2017-04-30;67,1;28,1;22;17,7;78,6;
2017-05-31;20,6;26,1;20;15,8;80,8;
2017-06-30;17,9;26,4;19,1;13,5;79,4;
2017-07-31;5,3;24,2;17,3;11,7;74,8;
2017-08-31;1,2;26,2;18,5;12,4;67,9;
2017-09-30;,3;28,2;21;15,8;61,2;
2017-10-31;52,8;30,8;23,5;18,4;63,3;
2017-11-30;212,8;27,8;22,5;18,5;77,3;
2017-12-31;252,7;29,2;23,8;19,8;77,3;
2018-01-31;142,9;31,3;24,7;19,8;71,2;
2018-02-28;239,8;29,3;23,7;19,9;79,5;
2018-03-31;223,4;30,6;24;19,9;80,7;
2018-04-30;135,1;27,7;21,6;17,4;82,8;
2018-05-31;35,2;26,3;19,6;14,6;83,3;
2018-06-30;1,1;25,6;19,1;14,5;83,6;
2018-07-31;1,1;26,2;18,4;12,6;77,4;
2018-08-31;8,3;26,2;19,8;15,2;74,7;
2018-09-30;35,3;28,3;21,5;16,7;71,4;
2018-10-31;68,6;29,6;23,5;19,3;72;
2018-11-30;85,4;28,2;23;18,9;75;
2018-12-31;233,6;29,3;23,6;19,2;77,8;
2019-01-31;39,1;31,9;25,1;19,9;69,7;
2019-02-28;196;31,4;24,9;20,4;78,4;
2019-03-31;33,7;30,7;24,5;20,2;77,3;
2019-04-30;102,3;29,9;23,6;19,5;81,2;
2019-05-31;60,4;27,9;21,5;17;84,9;
2019-06-30;,4;26,8;19,9;14,5;85,1;
2019-07-31;,2;26,7;18,1;11,8;74,4;
2019-08-31;1,7;27,4;19,7;14,2;69,9;
2019-09-30;21,5;29,1;22,2;16,8;65,1;
2019-10-31;65,7;30,6;23,9;19;62,6;
2019-11-30;184,9;29,5;23,9;19,9;73;
2019-12-31;196,3;29,5;23,8;19,9;76,8;
2020-01-31;374,6;30,5;24,7;20,6;80;
2020-02-29;172,3;30,1;24,2;20,2;81,9;
2020-03-31;204,9;28,4;22,7;18,8;84,3;
2020-04-30;107,7;27,9;22;17,9;82,8;
2020-05-31;null;null;null;null;null;
