Nome: AIMORES
Codigo Estacao: 83595
Latitude: -19.494872
Longitude: -41.077647
Altitude: 79.93
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2014-07-15
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;26,4;36,7;29,3;24;67,6;
2010-02-28;25,8;36,9;29,4;24,1;66,7;
2010-03-31;72,2;35,5;28,5;24;73,4;
2010-04-30;89,5;33;26;21,3;75,4;
2010-05-31;65,5;30,9;23,8;19,1;78,8;
2010-06-30;2,2;29,1;21;15,6;74,3;
2010-07-31;27,2;29,5;22,5;17,6;75,3;
2010-08-31;1,8;30,7;22,2;15,8;66,6;
2010-09-30;15,4;32,2;24,6;18,7;65,3;
2010-10-31;92,3;31,2;25,3;21,1;71,6;
2010-11-30;324,8;31,4;25,7;21,9;80,5;
2010-12-31;300;33,5;27,1;22,9;75,9;
2011-01-31;90,8;34,7;27,9;22,9;72;
2011-02-28;62,6;35,9;28,5;23,4;67,6;
2011-03-31;168,6;32,6;26,5;22,7;81;
2011-04-30;128,2;31,8;25,5;21,7;81,6;
2011-05-31;,6;30,6;22,6;17,2;77,7;
2011-06-30;16,2;29,3;21,7;16,6;76,8;
2011-07-31;11,8;29,3;21,2;15,6;73,5;
2011-08-31;,3;31,6;23,3;17;67,1;
2011-09-30;7,6;31;23,1;17,4;63,9;
2011-10-31;124,3;30,5;24,5;20,4;74,2;
2011-11-30;176,7;29,9;24,2;20,4;75,9;
2011-12-31;160,8;31,2;25,8;22;79,2;
2012-01-31;182;32,9;26,7;22,6;75,5;
2012-02-29;16;34,3;27,4;22,1;68,3;
2012-03-31;8;35,3;27,7;22,5;68,1;
2012-04-30;46;33,9;26,5;22;73,7;
2012-05-31;37,2;30,2;23,3;18,6;76,5;
2012-06-30;1,8;31;23,5;18,4;74,1;
2012-07-31;2,2;30,6;22,4;17;70,9;
2012-08-31;61,4;29,7;22,5;17,7;72,3;
2012-09-30;34,3;31,7;24,5;19,2;65,9;
2012-10-31;13,4;33,6;26,2;20,8;64,1;
2012-11-30;330;31,4;25,5;21,7;77,3;
2012-12-31;45;35,8;28,8;23,4;65,6;
2013-01-31;null;null;null;null;null;
2013-02-28;117,2;35,1;28,1;23,1;67,6;
2013-03-31;133,6;33,8;27,2;23,2;75,6;
2013-04-30;59,2;31;24,8;20,5;75,6;
2013-05-31;39,2;30;23,3;18,7;80,1;
2013-06-30;27,6;29,7;22,6;17,7;86;
2013-07-31;2,4;29,8;22,3;17,5;80,2;
2013-08-31;7,2;30,9;22,8;17;75;
2013-09-30;30,8;31,5;24;18,9;77,3;
2013-10-31;122,6;30,8;24,4;20;79,3;
2013-11-30;171,2;31,8;25,8;21,1;77,6;
2013-12-31;822,4;31,7;26,5;22,8;84,4;
2014-01-31;null;null;null;null;null;
2014-02-28;52,2;35,2;27,9;22,8;75,9;
2014-03-31;45,2;34;27,3;22,9;79,8;
2014-04-30;20;33,5;26,6;22;79,8;
2014-05-31;26,6;31,3;23,8;18,5;82,7;
2014-06-30;5,2;30,1;22,4;17,3;79,6;
2014-07-31;21;null;null;null;null;

