Nome: MARILANDIA (COLATINA)
Codigo Estacao: 83596
Latitude: -19.40722222
Longitude: -40.53972221
Altitude: 93.37
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2016-05-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;13,6;35,5;28,3;22,5;61,9;
2010-02-28;27;34,9;28,2;23,1;66,1;
2010-03-31;140,2;33,5;27,5;23,5;75;
2010-04-30;166,4;30,7;24,7;20,7;78,1;
2010-05-31;46,8;28,9;22,7;18,6;80,2;
2010-06-30;7,4;27;19,7;14,9;77;
2010-07-31;92;26,8;21;17,2;80,8;
2010-08-31;6,8;28;20,6;14,6;68,8;
2010-09-30;15;30,2;23,3;18,1;64,6;
2010-10-31;79,4;29,9;24,3;20,7;70,5;
2010-11-30;203;30,2;25,1;21,6;77,4;
2010-12-31;219;33,2;27;22,7;70,2;
2011-01-31;85;32,9;26,9;22,3;71,9;
2011-02-28;55;34,5;27,5;22,3;67,6;
2011-03-31;262,6;31,5;26,1;22,8;78,9;
2011-04-30;183,2;29,7;24,8;21,7;82,2;
2011-05-31;2;28,6;21,7;17;77,3;
2011-06-30;26,4;27,6;20,9;16,6;77,4;
2011-07-31;55;27,2;20,2;15,4;77;
2011-08-31;5;30,4;22,4;17,1;70,9;
2011-09-30;16,4;29,2;21,9;16,4;65,4;
2011-10-31;172,8;28,9;23,6;19,9;75,1;
2011-11-30;187,6;28,9;23,5;19,8;75,4;
2011-12-31;134;30,7;25,4;21,9;77,3;
2012-01-31;163,2;31,8;26;21,8;74,9;
2012-02-29;38,6;33,1;26,3;21,2;70,3;
2012-03-31;11,8;33,6;26,5;21,4;69,6;
2012-04-30;12,6;32,3;25,4;21;76,7;
2012-05-31;30,8;28,4;22,3;18,4;78,1;
2012-06-30;48,8;29,2;22,5;18,5;78,9;
2012-07-31;0;28,7;21,5;16,7;null;
2012-08-31;104,2;27,3;21,2;17,5;80,4;
2012-09-30;21,4;29,5;23;18,3;70,1;
2012-10-31;8,8;32,2;25;19,8;66,9;
2012-11-30;134,4;29,8;24,9;21,4;78,6;
2012-12-31;34,6;35,7;28,2;22,7;65,5;
2013-01-31;86,6;34;27,4;22,9;68,5;
2013-02-28;35,4;34,6;27,5;22,3;65,4;
2013-03-31;129,8;33,1;26,8;22,6;73,6;
2013-04-30;13,6;29,5;24;20,3;78,3;
2013-05-31;41,2;28,9;22,5;18,2;77,2;
2013-06-30;136,6;28,3;22;17,9;81,1;
2013-07-31;11,2;28,4;21,7;17,6;76,7;
2013-08-31;32,5;28,6;21,8;16,3;71,5;
2013-09-30;24,2;29,8;23,2;18,3;71,7;
2013-10-31;138,2;29,3;23,6;19,1;72,4;
2013-11-30;195,4;31,3;25,3;21;72,5;
2013-12-31;642,2;31,6;26,1;22,5;80,4;
2014-01-31;124,8;33;26,7;21,7;70,3;
2014-02-28;90,6;33;26,4;21,2;72,7;
2014-03-31;87,6;31,9;null;21,9;null;
2014-04-30;67,8;31,8;24,8;19,9;74,7;
2014-05-31;5,8;30;23;17,9;74;
2014-06-30;33,4;27,9;21,5;17,2;81,7;
2014-07-31;64,2;26,7;21;17,2;80,3;
2014-08-31;98,4;28,7;20,8;15,5;72,8;
2014-09-30;24,8;31,1;23,2;17,5;67,3;
2014-10-31;null;null;null;null;null;
2014-11-30;null;null;null;null;null;
2014-12-31;null;null;null;null;null;
2015-01-31;22,6;35,9;28,1;21,5;60,3;
2015-02-28;73,8;34,5;27,5;22;68,2;
2015-03-31;113;34,4;27,1;21,9;70,4;
2015-04-30;8,2;31,4;25,1;20,3;73,3;
2015-05-31;39,8;28,9;22,7;18,4;79;
2015-06-30;37,2;28,6;22,2;18;78;
2015-07-31;26,8;28,5;21,6;17,1;78,9;
2015-08-31;10;29;null;17,4;null;
2015-09-30;0;33,9;26,3;21,2;62,9;
2015-10-31;35,4;34,6;26,6;21,7;64,1;
2015-11-30;93,1;35,5;null;23,5;null;
2015-12-31;null;37,4;null;23,9;null;
2016-01-31;97,3;33,8;null;23,5;null;
2016-02-29;7,2;36,5;null;null;null;
2016-03-31;null;null;null;null;null;
2016-04-30;19,2;34;26,9;21,2;68,6;
2016-05-31;36,4;31,2;null;19,1;null;

