Nome: VOTUPORANGA
Codigo Estacao: 83623
Latitude: -20.43972221
Longitude: -49.9836111
Altitude: 510.41
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;337,8;null;null;21,2;75;
2010-02-28;86,1;35,4;27,4;22;69,9;
2010-03-31;59,4;null;null;21,4;71,3;
2010-04-30;35,6;null;null;18,6;64,3;
2010-05-31;13,4;null;null;15,5;60,6;
2010-06-30;17,2;null;null;14,5;null;
2010-07-31;1,7;null;null;17;null;
2010-08-31;0;null;null;15,7;null;
2010-09-30;94,2;null;null;null;null;
2010-10-31;134,9;null;null;null;null;
2010-11-30;65,9;null;null;null;null;
2010-12-31;91,7;null;null;null;null;
2011-01-31;302,2;null;null;null;null;
2011-02-28;329,4;null;null;null;null;
2011-03-31;430,7;null;null;null;null;
2011-04-30;56,1;null;null;null;null;
2011-05-31;7,5;null;null;null;null;
2011-06-30;35,2;null;null;null;null;
2011-07-31;0;null;null;null;null;
2011-08-31;17,8;null;null;null;null;
2011-09-30;8,2;null;null;null;null;
2011-10-31;81,6;null;null;null;null;
2011-11-30;88,3;null;null;null;null;
2011-12-31;126,4;null;null;null;null;
2012-01-31;402,5;null;null;null;null;
2012-02-29;69,8;null;null;null;null;
2012-03-31;46,1;null;null;null;null;
2012-04-30;110,4;null;null;null;null;
2012-05-31;85,3;null;null;null;null;
2012-06-30;180,2;null;null;null;null;
2012-07-31;12,2;null;null;null;null;
2012-08-31;0;null;null;null;null;
2012-09-30;91,1;null;null;null;null;
2012-10-31;21,6;null;null;null;null;
2012-11-30;156,5;null;null;null;null;
2012-12-31;289;null;null;null;null;
2013-01-31;229,6;null;null;null;null;
2013-02-28;168,1;null;null;null;null;
2013-03-31;153,3;null;null;null;null;
2013-04-30;34,6;null;null;null;null;
2013-05-31;52,5;null;null;null;null;
2013-06-30;71,4;null;null;null;null;
2013-07-31;41,8;null;null;null;null;
2013-08-31;0;null;null;null;null;
2013-09-30;71,6;null;null;null;null;
2013-10-31;65,8;null;null;null;null;
2013-11-30;125,5;null;null;null;null;
2013-12-31;171,2;null;null;null;null;
2014-01-31;58,4;null;null;null;null;
2014-02-28;154,4;null;null;null;null;
2014-03-31;284,2;null;null;null;null;
2014-04-30;20,2;null;null;null;null;
2014-05-31;23,2;null;null;null;null;
2014-06-30;3;null;null;null;null;
2014-07-31;51,6;null;null;null;null;
2014-08-31;0;null;null;null;null;
2014-09-30;104,6;null;null;null;null;
2014-10-31;29,7;null;null;null;null;
2014-11-30;293,6;null;null;null;null;
2014-12-31;177,4;32,1;25,6;19,1;83,3;
2015-01-31;181,5;34,6;27,1;20,1;null;
2015-02-28;179,1;32,2;25,3;19,1;87,2;
2015-03-31;182,9;31,2;24,4;18,4;89,1;
2015-04-30;24,2;31,7;24,4;17,8;84,9;
2015-05-31;75,1;28,4;21,7;15,5;85,2;
2015-06-30;10,9;28,5;21,6;14,9;79;
2015-07-31;51,5;28,7;21,6;14,8;80,9;
2015-08-31;6,1;32,7;23,8;15,6;59,9;
2015-09-30;120,9;33,3;25,5;17,5;61,2;
2015-10-31;143,6;35,1;26,6;18,5;62,8;
2015-11-30;276,4;33;25,7;18,8;74,7;
2015-12-31;201,2;32,5;25,7;19,2;75,5;
2016-01-31;425,7;31,6;25,2;19,2;null;
2016-02-29;184,4;33,3;26,3;19,2;null;
2016-03-31;206,7;32,3;25,5;18,8;null;
2016-04-30;61,2;33,4;25,9;17,6;null;
2016-05-31;88;28,5;20,8;13,1;null;
2016-06-30;77;27,2;19,8;12,2;73,1;
2016-07-31;0;30,4;21,1;11,8;59,2;
2016-08-31;41,6;31;22;12,3;58,7;
2016-09-30;13,9;32,5;22,7;12,7;56;
2016-10-31;93,3;33,4;24,8;15,9;66;
2016-11-30;117,9;32,5;25;17,1;null;
2016-12-31;228,2;32,5;25,4;17,4;75,7;
2017-01-31;325,7;31,3;24,5;17,3;null;
2017-02-28;82,9;33,7;26,3;18,1;68,4;
2017-03-31;96;32,7;25,1;17;72,4;
2017-04-30;82,2;30,5;23,3;15;null;
2017-05-31;108,6;30,2;22,9;14,6;73,2;
2017-06-30;4,6;28,9;20,8;11,9;65,4;
2017-07-31;0;28,4;19,9;10,4;56,6;
2017-08-31;25,1;31,2;22,4;12,9;57,8;
2017-09-30;1;35,6;26,3;15,9;42,9;
2017-10-31;124,7;34,7;25,9;16;59,7;
2017-11-30;213;32,3;24,5;15,7;70,3;
2017-12-31;287,8;32,2;25,1;17,1;72,9;
2018-01-31;214,6;32,4;25,2;17,1;null;
2018-02-28;158;32,1;24,3;15,7;77,5;
2018-03-31;61,4;33,7;26,2;17,7;72,8;
2018-04-30;39,4;31,6;24,5;16,8;66,2;
2018-05-31;15;30,6;22,5;14,5;62;
2018-06-30;1;30,1;22,2;13,5;63,1;
2018-07-31;2;31;22,4;13,3;52,9;
2018-08-31;17;30,4;21,4;12,6;76,1;
2018-09-30;66,6;32,7;24;15,2;73,9;
2018-10-31;120,3;33,1;25,7;17,6;76,8;
2018-11-30;179,4;31,1;24,5;17;null;
2018-12-31;99,4;33,6;26,1;17,9;81,7;
2019-01-31;133,4;35,4;27,4;18,9;null;
2019-02-28;195,6;32,9;25,2;17,1;85,3;
2019-03-31;117,9;32,2;24,7;16,7;83,3;
2019-04-30;91,6;31,9;24,5;16,4;79,4;
2019-05-31;46,8;31,5;23;15,2;null;
2019-06-30;4,8;30,7;22,3;13,8;null;
2019-07-31;13,2;30,4;21,5;14,7;null;
2019-08-31;49;32,3;23,7;16,5;null;
2019-09-30;50,8;35,1;26,8;18,6;null;
2019-10-31;69,6;35,5;27,1;18,6;null;
2019-11-30;null;null;null;null;null;
2019-12-31;106,6;31,8;25,3;18,3;null;
2020-01-31;255,7;32,9;25,8;18,8;null;
2020-02-29;215,2;31;24,6;18;null;
2020-03-31;69;33;25,2;17,1;null;
2020-04-30;38,4;31,7;23,8;15,5;null;
2020-05-31;21,2;29;21,4;13,6;null;
2020-06-30;3,2;30,2;22,7;15,9;null;
2020-07-31;0;30,8;22,6;15,3;null;
2020-08-31;5;31,8;23,5;16,1;null;
2020-09-30;1,1;36,8;28,2;19,6;null;
2020-10-31;58,9;35,5;27,3;19,2;null;
2020-11-30;63,8;34,2;26,1;17,8;null;
2020-12-31;166,9;33,1;25,3;18,1;null;
2021-01-31;152,4;32,5;25,6;18,7;null;
2021-02-28;45,5;33;25,5;18;null;
2021-03-31;107,7;32,6;25,7;18,7;null;
2021-04-30;14,4;31,8;23,3;15,4;null;
2021-05-31;1,4;31;22,9;15,4;null;
2021-06-30;4,3;29;21,1;14,4;null;
2021-07-31;null;30,1;21,6;16,6;null;

