Nome: FRANCA
Codigo Estacao: 83630
Latitude: -20.58444444
Longitude: -47.38249999
Altitude: 1003.55
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;426,5;28;22,8;19,6;79,2;
2010-02-28;186,3;28,8;23,3;19,7;73,1;
2010-03-31;195,3;28,5;23,1;19,6;74,9;
2010-04-30;36,1;26,7;21,2;17,1;69,9;
2010-05-31;33,7;25,3;19,2;15,2;65,6;
2010-06-30;9;25,1;18,3;13,6;60,6;
2010-07-31;2,8;null;null;15,5;54,8;
2010-08-31;0;null;null;15,3;43,3;
2010-09-30;101;null;null;17,3;53,1;
2010-10-31;148,2;null;null;17,3;67;
2010-11-30;217,7;null;null;18,2;73,9;
2010-12-31;272,3;28,7;23,3;19,4;76,5;
2011-01-31;270,5;27,7;22,8;19,6;80,2;
2011-02-28;150,5;28,6;23,2;19,4;75,3;
2011-03-31;351;26,2;21,5;18,8;86,1;
2011-04-30;130,6;26,8;21,5;17,7;72,6;
2011-05-31;1,9;24,9;18,9;15;68,8;
2011-06-30;35,3;23,9;17,4;12,9;67,4;
2011-07-31;,8;25,6;19,6;15,1;56,5;
2011-08-31;25,6;28,1;21,3;16,3;51;
2011-09-30;14,4;29,7;22,5;16,8;45,7;
2011-10-31;167,5;27,1;21,4;17,4;71,3;
2011-11-30;164,2;27;21,4;16,7;68,1;
2011-12-31;315,7;27,3;22;18,1;77,7;
2012-01-31;346,5;26,1;21;17,7;81,8;
2012-02-29;146,5;28,8;23,1;19;69,1;
2012-03-31;206,2;28,1;22,4;18,4;72,8;
2012-04-30;52;27,2;21,8;18;74,8;
2012-05-31;30,9;23,8;18,3;14,4;72,3;
2012-06-30;96,2;24,4;19,3;16;73,5;
2012-07-31;37,1;25;18,9;14,8;58,3;
2012-08-31;0;25,8;19,5;14,5;52,1;
2012-09-30;85,9;29,4;22,6;17,6;50;
2012-10-31;83,4;31;24,7;19,6;53,9;
2012-11-30;184,5;28,6;22,8;18,6;72;
2012-12-31;269,7;29,1;23,6;19,7;75,1;
2013-01-31;257,4;27,9;22,5;19;78,1;
2013-02-28;284,7;28,4;22,8;19;77,8;
2013-03-31;257,4;27,2;22,2;18,8;80,7;
2013-04-30;108,2;25,7;20,5;16,8;73,8;
2013-05-31;125,4;25,7;19,9;16,2;68,3;
2013-06-30;81,5;25;19,7;16,2;71,9;
