Nome: SAO S.DO PARAISO
Codigo Estacao: 83631
Latitude: -20.91
Longitude: -47.11416666
Altitude: 820
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2014-03-11
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;371,4;29,7;23,1;18,7;74,9;
2010-02-28;257,4;31,1;24,1;19,2;71,8;
2010-03-31;105,2;null;null;null;null;
2010-04-30;44;null;null;null;null;
2010-05-31;16,4;27;19,2;11,8;72,4;
2010-06-30;7,4;27;17,7;9,6;68,4;
2010-07-31;5;27,7;19,6;12,1;62,4;
2010-08-31;0;29,2;18,9;10,3;54,2;
2010-09-30;70,2;30,3;21,8;14,8;56,2;
2010-10-31;163,2;29,9;22;15,7;63,7;
2010-11-30;371,6;28,9;22,2;17,3;74,7;
2010-12-31;333,1;30,5;23,8;19;76,6;
2011-01-31;356,9;29,5;23,3;18,9;78;
2011-02-28;209,8;30,9;null;null;null;
2011-03-31;268,2;26,4;null;null;null;
2011-04-30;null;null;null;null;null;
2011-05-31;4;27,3;18,8;11,7;69,1;
2011-06-30;26;25,8;16,6;9,9;69,9;
2011-07-31;,6;27,3;17,9;10,5;64,5;
2011-08-31;14;29,6;20,2;11,8;52,7;
2011-09-30;8,8;31,4;22,1;13,6;35,2;
2011-10-31;158,6;29;22;16,1;47,6;
2011-11-30;248,3;29,2;22,4;16,2;60,7;
2011-12-31;288,8;28,8;22,4;17,9;73,4;
2012-01-31;338;27,3;21,8;17,7;76,5;
2012-02-29;null;null;null;null;null;
2012-03-31;null;null;null;null;null;
2012-04-30;null;null;null;null;null;
2012-05-31;null;null;null;null;null;
2012-06-30;null;null;null;null;null;
2012-07-31;null;null;null;null;null;
2012-08-31;0;26,6;null;null;null;
2012-09-30;83;31,3;null;null;null;
2012-10-31;null;null;null;null;null;
2012-11-30;null;null;null;null;null;
2012-12-31;null;null;null;null;null;
2013-01-31;null;null;null;null;null;
2013-02-28;null;null;null;null;null;
2013-03-31;null;null;null;null;null;
2013-04-30;null;null;null;null;null;
2013-05-31;null;null;null;null;null;
2013-06-30;null;null;null;null;null;
2013-07-31;null;null;null;null;null;
2013-08-31;null;null;null;null;null;
2013-09-30;null;null;null;null;null;
2013-10-31;null;null;null;null;null;
2013-11-30;null;null;null;null;null;
2013-12-31;null;null;null;null;null;
2014-01-31;null;null;null;null;null;
2014-02-28;null;null;null;null;null;
2014-03-31;null;null;null;null;null;

