Nome: IBIRITE
Codigo Estacao: 83632
Latitude: -20.01666666
Longitude: -44.08472221
Altitude: 822.08
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-11-29
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;118,5;31,9;24,6;19;79,6;
2010-02-28;87,9;31,7;24,1;18,8;71,1;
2010-03-31;256,3;30,1;23,4;19,2;77,1;
2010-04-30;54,4;28,5;21,2;15,3;73,7;
2010-05-31;22;27,2;18,7;12,3;75,7;
2010-06-30;1;25;16,4;9,7;72;
2010-07-31;0;26,4;18,6;11,1;66,7;
2010-08-31;0;27,8;18,9;10,8;58,4;
2010-09-30;38,4;29,1;21,1;15,2;60,5;
2010-10-31;161,2;29,4;21,8;16,4;69;
2010-11-30;356,5;29,4;22,5;18;76,2;
2010-12-31;335,1;31,1;23,8;18,9;74,7;
2011-01-31;457,7;30,9;23,1;18;72,2;
2011-02-28;43,2;33;24,1;18,6;64,2;
2011-03-31;365,8;29,2;22,3;17,8;76,3;
2011-04-30;47,2;30,2;21,6;15,8;72,1;
2011-05-31;1,1;27,2;18,7;12,4;74,6;
2011-06-30;14,6;26,6;17,5;10,8;74,8;
2011-07-31;0;26,5;17,5;10,4;71,1;
2011-08-31;0;29,9;19,9;12,3;61,4;
2011-09-30;2,1;30,6;21,1;13,9;56,7;
2011-10-31;189,5;29,3;21,3;15,2;73,8;
2011-11-30;434,9;29,5;20,8;13,1;74;
2011-12-31;685,1;29,4;21,9;15,4;81,7;
2012-01-31;474,3;29,9;23,5;18,2;75;
2012-02-29;82,7;31,6;23,9;18,4;71,7;
2012-03-31;203,3;29,9;22,8;17,6;76,6;
2012-04-30;69,3;29,9;22,4;16,6;76,2;
2012-05-31;76,9;26,4;18,9;13,4;77;
2012-06-30;29,8;26,8;18,9;14,2;78;
2012-07-31;0;27;17,6;11;71,3;
2012-08-31;0;26,4;17,9;11,4;68,4;
2012-09-30;69,3;30,5;21,9;14,5;60,4;
2012-10-31;68,6;31,1;23,7;17,9;63;
2012-11-30;314,6;29,3;22,4;17,6;81,3;
2012-12-31;62,7;32,3;24,9;19,8;73,1;
2013-01-31;316,3;30,3;23,6;19,3;79,6;
2013-02-28;101,7;null;null;19,1;69,7;
2013-03-31;189,1;null;null;19,6;78,2;
2013-04-30;132,8;null;null;15;76,8;
2013-05-31;71,4;null;null;12,8;77;
2013-06-30;31;null;null;13;77,3;
2013-07-31;0;null;null;12,6;70,5;
2013-08-31;0;null;null;13,8;62,3;
2013-09-30;null;null;null;null;null;
2013-10-31;116,2;null;null;16,7;69,5;
2013-11-30;70,9;null;null;18,4;69,4;
2013-12-31;597,8;null;null;19,4;79,6;
2014-01-31;128,5;null;null;18,8;63,7;
2014-02-28;14;null;null;19,6;59,6;
2014-03-31;null;null;null;null;null;
2014-04-30;67,4;null;null;16,5;77;
2014-05-31;8,6;null;null;12,8;69,9;
2014-06-30;2,2;null;null;12,3;68,8;
2014-07-31;45,4;null;null;11,1;73,3;
2014-08-31;1,6;null;null;10,3;60,8;
2014-09-30;5,6;null;null;18,6;51,7;
2014-10-31;96,2;null;null;17,9;54,6;
2014-11-30;254,7;null;null;18,3;74,6;
2014-12-31;null;null;null;null;null;
2015-01-31;null;null;null;null;null;
2015-02-28;151,9;31,2;null;19,3;null;
2015-03-31;196,5;30,5;null;18,9;null;
2015-04-30;null;null;null;null;null;
2015-05-31;71,8;26,8;null;14,3;null;
2015-06-30;null;null;null;null;null;
2015-07-31;null;null;null;null;null;
2015-08-31;1;null;null;13,6;null;
2015-09-30;null;null;null;null;null;
2015-10-31;83,4;null;null;19,6;null;
2015-11-30;null;null;null;20,9;null;
2015-12-31;117,4;null;null;19,3;null;
2016-01-31;null;null;null;null;null;
2016-02-29;174,6;null;null;null;null;
2016-03-31;123,1;null;null;null;null;
2016-04-30;22,9;null;null;null;null;
2016-05-31;4,6;null;null;null;null;
2016-06-30;74,5;null;null;null;null;
2016-07-31;0;null;null;null;null;
2016-08-31;1,8;null;null;null;null;
2016-09-30;78,2;null;null;null;null;
2016-10-31;33,8;null;null;null;null;
2016-11-30;209,2;null;null;null;null;
2016-12-31;null;null;null;null;null;
2017-01-31;216,8;null;null;null;null;
2017-02-28;163,7;null;null;null;null;
2017-03-31;104,8;null;null;null;null;
2017-04-30;25,2;null;null;null;null;
2017-05-31;34,2;null;null;null;null;
2017-06-30;39,3;null;null;null;null;
2017-07-31;null;null;null;null;null;
2017-08-31;0;null;null;null;null;
2017-09-30;30;null;null;null;null;
2017-10-31;97;null;null;null;null;
2017-11-30;115,2;null;null;null;null;
2017-12-31;null;null;null;null;null;
2018-01-31;103,7;null;null;null;null;
2018-02-28;140,2;null;null;null;null;
2018-03-31;169,6;null;null;null;null;
2018-04-30;16,9;null;null;null;null;
2018-05-31;11,6;null;null;null;null;
2018-06-30;0;null;null;null;null;
2018-07-31;0;null;null;null;null;
2018-08-31;39,2;null;null;null;null;
2018-09-30;55;null;null;null;null;
2018-10-31;180,8;null;null;null;null;
2018-11-30;223,9;null;null;null;null;
2018-12-31;220,4;null;null;null;null;
2019-01-31;47,4;null;null;null;null;
2019-02-28;161,8;null;null;null;null;
2019-03-31;107,8;null;null;null;null;
2019-04-30;108,7;null;null;null;null;
2019-05-31;null;null;null;null;null;
2019-06-30;null;null;null;null;null;
2019-07-31;0;null;null;null;null;
2019-08-31;0;null;null;null;null;
2019-09-30;null;null;null;null;null;
2019-10-31;80,2;null;null;null;null;
2019-11-30;264,8;null;null;null;null;
2019-12-31;null;null;null;null;null;
2020-01-31;644,4;null;null;null;null;
2020-02-29;318,9;null;null;null;null;
2020-03-31;175,1;null;null;null;null;
2020-04-30;78,7;null;null;null;null;
2020-05-31;null;null;null;null;null;
2020-06-30;,6;null;null;null;null;
2020-07-31;6,9;null;null;null;null;
2020-08-31;null;null;null;null;null;
2020-09-30;11,4;null;null;null;null;
2020-10-31;null;null;null;null;null;
2020-11-30;null;null;null;null;null;
2020-12-31;214,7;null;null;null;null;
2021-01-31;null;null;null;null;null;
2021-02-28;null;null;null;null;null;
2021-03-31;null;null;null;null;null;
2021-04-30;16,8;null;null;null;null;
2021-05-31;null;null;null;null;null;
2021-06-30;25,3;null;null;null;null;
2021-07-31;0;null;null;null;null;
2021-08-31;8,6;null;null;null;null;
2021-09-30;28,9;null;null;null;null;
2021-10-31;229,1;null;null;null;null;
2021-11-30;270,2;null;null;null;null;

