Nome: DIVINOPOLIS
Codigo Estacao: 83635
Latitude: -20.17333332
Longitude: -44.87472221
Altitude: 787.42
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-09-02
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;152,8;31,4;24,5;19,2;70,5;
2010-02-28;80,9;32,4;25,3;19,3;62,3;
2010-03-31;235,5;30,7;24;19,1;72,8;
2010-04-30;11,3;29,3;21,8;15,7;67,4;
2010-05-31;39,4;27,2;18,8;12,5;72,7;
2010-06-30;0;26;16,6;8,9;66,8;
2010-07-31;,5;27,3;18,6;10,9;60,4;
2010-08-31;0;29;18,9;9,3;47,5;
2010-09-30;64,8;30,3;21,7;14,1;53,2;
2010-10-31;156,6;30;23;17,3;65,1;
2010-11-30;304,7;28,4;22,6;18,4;75,6;
2010-12-31;212,3;30,9;24,4;19,7;73,2;
2011-01-31;271,3;30,2;24,2;19,4;71,6;
2011-02-28;116,3;33,2;25,3;18,9;60,6;
2011-03-31;367;29,3;23,1;19;79,7;
2011-04-30;144,4;29,6;22,2;16,4;72;
2011-05-31;7,6;27,5;19,1;12,8;71,7;
2011-06-30;21,6;26,2;17,2;10,2;69,3;
2011-07-31;0;27,2;17,9;10,1;61;
2011-08-31;,6;30,6;21;12,2;48,6;
2011-09-30;1,1;30,8;21,5;12,8;44,6;
2011-10-31;170,5;28,4;22,2;17,3;67,4;
2011-11-30;140,4;28,4;21,9;16,7;67,8;
2011-12-31;451,2;28,4;22,6;18,9;78,9;
2012-01-31;401,5;28,9;23;18,6;74,3;
2012-02-29;38;31,2;24,3;18;61,8;
2012-03-31;148,6;30,4;23,4;18,1;68,8;
2012-04-30;66,5;29,7;22,5;16,8;70,8;
2012-05-31;17,5;25,9;18,4;12,6;72,9;
2012-06-30;106,8;null;null;13,2;76,6;
2012-07-31;1,2;26,6;17,6;10;62,7;
2012-08-31;0;26,7;18,7;10,8;54,8;
2012-09-30;12,3;30,4;22;13,9;49,3;
2012-10-31;14,6;32,2;24,4;17;50,5;
2012-11-30;163,5;29,5;23,4;18,7;70,4;
2012-12-31;137,4;32,3;25,1;20;68;
2013-01-31;362,3;29,6;23,6;19,3;74,7;
2013-02-28;84,1;31,9;24,8;18,7;64,3;
2013-03-31;143;30;23,6;19,2;75,2;
2013-04-30;86,9;27,7;21;15,7;73,8;
2013-05-31;85,6;27,1;19,4;13,3;71,1;
2013-06-30;21,5;26,8;18,9;12,8;74,8;
2013-07-31;11,6;26,9;18,2;11,1;63,1;
2013-08-31;0;28,4;19,3;11,2;53,3;
2013-09-30;48,1;29,4;21,7;14,1;55,8;
2013-10-31;182,2;28,1;21,8;16,2;65;
2013-11-30;127,5;29,2;23,1;17,7;66,9;
2013-12-31;215,8;29,8;23,9;19,8;75,2;
2014-01-31;166,2;32,6;24,9;18;57,9;
2014-02-28;66;32,3;25;17,7;55,5;
2014-03-31;40,9;30,5;24;18,4;64,9;
2014-04-30;88,5;29,1;22,1;16,9;71,4;
2014-05-31;32,6;27,5;19,3;12,6;66,4;
2014-06-30;10,3;27;18,6;12;67,2;
2014-07-31;52,8;25,7;17,8;11,2;64,3;
2014-08-31;0;28,9;19,5;10,9;52,3;
2014-09-30;12;30,9;22,8;14,7;46;
2014-10-31;83;31,4;23,7;16,6;49,4;
2014-11-30;174,4;29,9;23,9;19;63,9;
2014-12-31;198,7;null;null;19;67,6;
2015-01-31;86,6;null;null;18,9;57,8;
2015-02-28;235,8;30,3;23,6;19,1;74,6;
2015-03-31;334,1;29,4;23,3;18,7;77,1;
2015-04-30;30;28,9;22,2;17;73,5;
2015-05-31;57,3;26,2;19,4;14,1;75,6;
2015-06-30;32,8;26,2;18,2;12,1;72,8;
2015-07-31;12,2;27,6;19,2;12,3;64,3;
2015-08-31;1,6;29;20,1;11,7;54,2;
2015-09-30;99,9;30,8;23,1;16,2;58,6;
2015-10-31;67,3;33,5;25,7;18,2;50,5;
2015-11-30;134,5;31,8;25;20;68,4;
2015-12-31;241,7;31,2;24,3;19,7;71,7;
2016-01-31;405,8;29,2;23,8;19,8;78,4;
2016-02-29;187,4;32,4;25,1;19,5;67,7;
2016-03-31;280,9;30,7;24,1;19,4;72,3;
