Nome: OLIVEIRA
Codigo Estacao: 83637
Latitude: -20.699773
Longitude: -44.819903
Altitude: 991.23
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2017-10-18
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;null;null;null;null;null;
2010-02-28;5,2;null;null;null;null;
2010-03-31;156;28,8;22,7;18,4;72,9;
2010-04-30;37,4;28;21,1;16,1;67,4;
2010-05-31;45,6;25,9;18,6;13,6;68,8;
2010-06-30;5,4;24,6;16,3;10,5;64,7;
2010-07-31;1,8;25,7;17,9;12,5;61,8;
2010-08-31;0;27,8;18,3;11,2;49,2;
2010-09-30;43,9;null;null;null;null;
2010-10-31;193,8;27,5;20,6;16,4;65,6;
2010-11-30;256,8;26,4;21;17,7;69,3;
2010-12-31;384,9;28,5;22,7;18,9;65,7;
2011-01-31;219,9;27,7;22,1;18,8;68,8;
2011-02-28;158,1;30,2;23,9;18,9;57,6;
2011-03-31;50,6;28,9;22,2;18,5;62,5;
2011-04-30;49,6;28;21,2;16,5;66,7;
2011-05-31;1,7;25,5;18,7;13,6;65,9;
2011-06-30;24;24,5;16,8;11,1;70,8;
2011-07-31;0;25,8;17,5;11,2;59,7;
2011-08-31;9,9;29;20,4;13,5;52,9;
2011-09-30;0;28,8;20;13,6;51,8;
2011-10-31;111,3;26,6;20;16,5;66,2;
2011-11-30;189,7;25,8;19,6;15,8;68,5;
2011-12-31;373,8;26,2;20,7;17,7;74;
2012-01-31;419,7;26,4;20,9;17,5;73,5;
2012-02-29;12,5;null;null;null;null;
2012-03-31;142;28,3;21,5;17,4;68,2;
2012-04-30;52,4;27,6;20,8;16,4;70,1;
2012-05-31;46,1;24,2;17,6;13,1;66,9;
2012-06-30;35,3;25,1;17,9;13,7;69,1;
2012-07-31;3;25,1;17,1;11,1;59,9;
2012-08-31;0;25,3;17,9;11,9;56,5;
2012-09-30;35,1;28,6;20,1;14,2;53,7;
2012-10-31;36;29,7;22,1;16,6;55,8;
2012-11-30;148,6;26,7;21,2;17,6;71,4;
2012-12-31;125;29,1;22,7;18,9;67,2;
2013-01-31;243,5;27,2;21,5;18,4;73,7;
2013-02-28;54,7;null;null;null;null;
2013-03-31;174,1;27,6;21,8;18,4;73,2;
2013-04-30;78,8;25,8;19,5;15,5;71,9;
2013-05-31;50,8;25,5;18,4;13,4;70,1;
2013-06-30;23,9;25,1;18,4;13,5;72,4;
2013-07-31;15,4;25,6;17,7;11,5;64,3;
2013-08-31;0;26,7;18,6;11,8;56,3;
2013-09-30;75,9;27,3;20,3;14,2;59,4;
2013-10-31;131,3;25,8;20;15,6;67,9;
2013-11-30;105,6;26,9;21,4;17,1;69,3;
2013-12-31;216;27,6;22,5;18,6;73,2;
2014-01-31;77,3;29,9;23,6;17,7;60,4;
2014-02-28;129,9;29,7;23,4;17,9;57,7;
2014-03-31;33,3;28,6;22,7;18,2;64,6;
2014-04-30;99;28,7;22,2;17,5;72,5;
2014-05-31;20,4;25,5;18,6;12,9;66,8;
2014-06-30;8,8;25,6;18,1;12,4;67;
2014-07-31;46,5;24,1;17,5;12,2;65,2;
2014-08-31;0;27,5;18,8;11,7;53,9;
2014-09-30;16,2;28,7;21,2;14,8;51,7;
2014-10-31;93,3;29,2;22,3;15,8;49,2;
2014-11-30;280,2;27,8;22;17,6;68,2;
2014-12-31;184,4;28,4;22,7;18;69,6;
2015-01-31;130;30,5;24,1;18,6;59,9;
2015-02-28;166,1;null;null;null;null;
2015-03-31;null;null;null;null;null;
2015-04-30;57,5;27,3;21,1;16,6;72,2;
2015-05-31;49,3;24,4;18,7;14,3;73,4;
2015-06-30;18,9;24,8;17,8;12,6;70,1;
2015-07-31;1,8;25,7;18,6;12,9;64,8;
2015-08-31;12,8;27,8;19,4;12,6;56,4;
2015-09-30;93,1;28,3;21,7;16,1;61,2;
2015-10-31;8;29,8;23,4;17,6;56,8;
2015-11-30;167,5;29;23,4;18,7;70,7;
2015-12-31;221,7;28,5;22,8;18,6;72;
2016-01-31;189,7;27,4;22,7;19;76;
2016-02-29;146,1;29,1;22,8;18,9;73,5;
2016-03-31;125,3;28,6;22,7;18,5;72,1;
2016-04-30;43,3;29,6;22,7;16,9;63,4;
2016-05-31;3,4;26;19,2;14,1;70;
2016-06-30;101,7;24,2;17;11,9;71,2;
2016-07-31;0;26,6;18,1;11,4;59,7;
2016-08-31;4;27,9;19,4;12,7;54,7;
2016-09-30;35,7;29,5;22;15,3;53;
2016-10-31;134;28,1;21,8;17;64,9;
2016-11-30;290,2;26,5;21,1;17;73,6;
2016-12-31;136;28,4;22,4;17,2;70,7;
2017-01-31;155,4;29,4;23,5;18,6;66,8;
2017-02-28;79,5;null;null;null;null;
2017-03-31;null;null;null;null;null;
2017-04-30;null;null;null;null;null;
2017-05-31;null;null;null;null;null;
2017-06-30;null;null;null;null;null;
2017-07-31;null;null;null;null;null;
2017-08-31;null;null;null;null;null;
2017-09-30;null;null;null;null;null;
2017-10-31;null;null;null;null;null;

