Nome: CAPARAO
Codigo Estacao: 83639
Latitude: -20.526119
Longitude: -41.90913
Altitude: 836.25
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;78,2;30,5;22,8;18,2;74,8;
2010-02-28;56;31;23,2;18,2;73,6;
2010-03-31;251,1;29;22,5;18,6;79,8;
2010-04-30;58,3;26,7;20,1;15,5;78,8;
2010-05-31;93,7;25;18;13,1;82,6;
2010-06-30;2,2;23,5;14,7;8,6;81,2;
2010-07-31;11,6;23,8;16,3;10,8;80,6;
2010-08-31;14,4;24,9;15,4;8,5;74,5;
2010-09-30;25,4;25,9;18,1;12,6;72,1;
2010-10-31;99,6;25,8;19,9;16,1;77,8;
2010-11-30;349,4;25,7;20,7;17,5;82,5;
2010-12-31;479,1;28,5;22,6;18,6;81,1;
2011-01-31;66,2;28,9;22,7;18,5;75,6;
2011-02-28;140,1;29,9;22,5;17,8;74,8;
2011-03-31;470,5;26,5;21,4;17,7;84;
2011-04-30;113,9;26,7;20,5;16,5;81,8;
2011-05-31;2,4;24,3;16,9;11,8;81,2;
2011-06-30;15;23,4;15,9;10,9;81,2;
2011-07-31;,6;23,8;15,2;8,9;79,3;
2011-08-31;0;26,4;17,9;12,1;72,3;
2011-09-30;,4;26,1;17,5;11,5;70,2;
2011-10-31;152,8;24,7;19,6;15,9;77,4;
2011-11-30;211,7;24,5;19,2;15,5;79,6;
2011-12-31;260,4;25,9;21,1;18;83,4;
2012-01-31;222,3;27,2;21,5;18,3;79,2;
2012-02-29;13,7;29,1;21,8;16,8;72,7;
2012-03-31;99,4;27,8;21,5;17,3;77,5;
2012-04-30;64,4;27,1;20,7;16,6;80,8;
2012-05-31;98,9;23,6;17,9;13,9;81,2;
2012-06-30;4;24,6;17,9;13,4;81,9;
2012-07-31;6;24,7;15,9;9,4;75,9;
2012-08-31;22,9;24,2;16,2;10,3;78,8;
2012-09-30;33;27,1;19,2;13,6;67,8;
2012-10-31;45,9;28,6;21,2;15,9;67,6;
2012-11-30;226,2;26,1;20,9;17,5;80;
2012-12-31;63,7;30,7;23,6;18,7;74,1;
2013-01-31;270,9;28;22,2;18,3;78,2;
2013-02-28;79,3;29,3;22,3;17,5;76,5;
2013-03-31;182,2;27,4;21,9;18,5;82,3;
2013-04-30;52,8;25,4;19,5;15,5;81,4;
2013-05-31;72,8;24,5;17,5;12,5;82,7;
2013-06-30;19,3;24,3;17,8;12,9;83,5;
2013-07-31;5,8;23,8;16,5;11,5;81,2;
2013-08-31;6,9;25,4;16,9;11,1;74,1;
2013-09-30;63,2;26,2;19;14,1;73,6;
2013-10-31;93,3;25;19,2;14,8;77,7;
2013-11-30;156,8;26,7;20,8;17,1;77,1;
2013-12-31;391,6;27,4;22,2;19,2;81,9;
2014-01-31;91,8;30,2;22,6;17,3;75;
2014-02-28;70,3;30,1;22,6;17,3;71,8;
2014-03-31;103,6;27,5;21,8;18;79;
2014-04-30;126,8;26,8;20,2;15,6;82,1;
2014-05-31;2,5;25,3;17,8;11,9;80;
2014-06-30;2,7;24,8;17;11,2;80,6;
2014-07-31;35,6;23,4;16,4;11,3;80,2;
2014-08-31;4,9;25,5;16,9;10,3;73,2;
2014-09-30;12,3;27,4;19,1;13,3;67,3;
2014-10-31;149,9;27,5;20,1;14,9;70,3;
