Nome: VICOSA
Codigo Estacao: 83642
Latitude: -20.7625
Longitude: -42.86388888
Altitude: 697.53
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2018-03-07
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;117,7;30,8;23,6;19,2;73,8;
2010-02-28;37,8;31,5;23,9;18,9;72,9;
2010-03-31;192,5;29,2;22,9;19,1;81,6;
2010-04-30;18,3;27,1;20,4;16,3;79,7;
2010-05-31;45,8;25;18,2;13,9;82,4;
2010-06-30;,9;23,5;15,3;9,9;79;
2010-07-31;0;25;17,3;12,4;77,3;
2010-08-31;,2;26,1;16,6;9,9;67,2;
2010-09-30;22,8;27,1;19,2;13,3;65,3;
2010-10-31;158,8;26,4;20,6;16,9;74,5;
2010-11-30;402,7;26,3;21,2;18,3;82,7;
2010-12-31;354,1;29,3;23,2;19,5;81,7;
2011-01-31;184,1;29,2;23,3;19,8;77,4;
2011-02-28;84,8;30,9;23,4;18,9;74,8;
2011-03-31;284,4;27,5;22,1;19;86,3;
2011-04-30;56,9;27,1;20,8;17,3;84,4;
2011-05-31;2,6;24,7;17,6;13,6;81,1;
2011-06-30;23;23,2;15,8;11,2;82;
2011-07-31;0;24,2;15,6;9,9;79,8;
2011-08-31;,2;27,1;18,5;12,7;69,9;
2011-09-30;4,8;27,1;18,5;12,6;63,7;
2011-10-31;152,9;26;20,3;16,7;76;
2011-11-30;310;25,1;19,7;16,2;79,8;
2011-12-31;330,1;26,6;21,7;19;83,5;
2012-01-31;403,4;27,1;21,8;18,6;81,7;
2012-02-29;38,1;29,7;22,5;18,2;74,3;
2012-03-31;106,7;28,4;22;18,1;78,3;
2012-04-30;46,7;27,6;20,9;17;82,5;
2012-05-31;110,2;23,6;17,6;14,2;85,2;
2012-06-30;8,4;24,3;17,8;14,1;86,3;
2012-07-31;,4;24,8;16,3;11;82,1;
2012-08-31;5,5;25,4;17,2;11,9;76,6;
2012-09-30;46,9;27,8;19,3;13,6;67,9;
2012-10-31;88,9;29,6;21,7;16;66,3;
2012-11-30;235,4;26,4;21,3;18,3;82,7;
2012-12-31;199,3;30,8;24;19,5;76,8;
2013-01-31;143,1;28,2;22,5;19;79,8;
2013-02-28;109,6;29,5;22,5;18,3;78,3;
2013-03-31;228,2;27,9;22,4;19,2;83;
2013-04-30;120,2;26,1;20;16,4;82,9;
2013-05-31;62,3;24,7;17,8;13,7;83,9;
2013-06-30;25,3;24,3;17,7;13,8;86,5;
2013-07-31;2,3;24;16,7;12,3;81,5;
2013-08-31;3,5;25,8;17,5;12;72,7;
2013-09-30;43,7;26,7;19,3;14,5;73,8;
2013-10-31;82,9;26;20,1;16,2;76,5;
2013-11-30;113,3;27,3;21,4;17,4;76,3;
2013-12-31;389,6;27,9;22,6;19,7;84,2;
2014-01-31;74,2;30,9;23,4;18,3;71,6;
2014-02-28;23,8;31;23,5;18,3;68,8;
2014-03-31;182,5;28,1;21,8;18,2;80,9;
2014-04-30;92,6;27,3;20,8;17,1;81,6;
2014-05-31;8,4;25,8;18,1;13,4;79,4;
2014-06-30;2,2;25,1;17,4;12,7;79,5;
2014-07-31;31,1;23,8;17;12,8;78,2;
2014-08-31;7,4;26,1;17,6;11,6;68,7;
2014-09-30;11,8;28,3;20,1;13,9;61,4;
2014-10-31;30,6;29,2;21,2;15,4;62,8;
2014-11-30;192,4;28,5;22,1;18;72,7;
