Nome: VITORIA
Codigo Estacao: 83648
Latitude: -20.31583333
Longitude: -40.31694443
Altitude: 36.2
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;15,6;33,6;28,8;25,6;null;
2010-02-28;57,1;33,5;28,7;25,5;null;
2010-03-31;374,7;31,3;27,5;24,6;null;
2010-04-30;138,7;29,9;25,8;22,9;null;
2010-05-31;113,4;28,4;24,4;21,3;null;
2010-06-30;68,6;26;21,8;18,6;null;
2010-07-31;94,9;26,4;22,5;19,8;null;
2010-08-31;20,7;26,4;22;18,6;null;
2010-09-30;27,8;27,5;23,4;20,4;null;
2010-10-31;47,2;27,6;23,9;21,3;null;
2010-11-30;265,4;28,5;24,7;21,9;null;
2010-12-31;null;null;null;null;null;
2011-01-31;26,8;32,1;27,5;24,4;null;
2011-02-28;76,7;32,4;27,9;24,8;null;
2011-03-31;277,4;29,8;26;23,6;null;
2011-04-30;384;29,8;25,7;23;79,9;
2011-05-31;72,3;27,9;23,5;20,5;74,4;
2011-06-30;38,4;26,5;22,3;19,5;76,5;
2011-07-31;30,5;26,9;22,3;19;75,7;
2011-08-31;13,4;28,2;23,1;20;74,9;
2011-09-30;31,2;26,9;22,5;19,6;71,3;
2011-10-31;141,6;27,3;23,5;21;82,7;
2011-11-30;247,1;26,8;23,4;20,9;81;
2011-12-31;251,8;28,7;25,2;23;null;
2012-01-31;282,9;30;25,9;23,3;80,3;
2012-02-29;73,6;31,3;26,8;23,8;76,2;
2012-03-31;58,9;31,6;26,9;23,9;73,6;
2012-04-30;30,1;30,8;26,3;23,4;74,4;
2012-05-31;267,1;26,8;22,9;20,3;81,2;
2012-06-30;92,8;27,8;23,8;21,1;79,1;
2012-07-31;42,6;27,5;22,9;19,9;null;
2012-08-31;238,4;26,6;22,4;19,3;null;
2012-09-30;37,9;27,5;23,2;20,2;74,3;
2012-10-31;56;29,2;24,8;21,6;75,1;
2012-11-30;376,1;28,3;24,6;21,9;82,8;
2012-12-31;42,7;32,3;27,8;24,8;72,2;
2013-01-31;197,8;31,4;27;24,2;null;
2013-02-28;39,2;32,2;27,6;24,6;73,6;
2013-03-31;434,5;31,6;26,9;23,9;78,1;
2013-04-30;50,9;28,7;25;22,2;76,7;
2013-05-31;76,1;28,5;24,1;21,1;76,1;
2013-06-30;84,8;28,4;23,9;20,7;79;
2013-07-31;61;26,7;22,6;19,9;77,9;
2013-08-31;83,1;27,8;22,9;19,6;74,5;
2013-09-30;33,3;27,6;23,6;20,6;74,9;
2013-10-31;68,9;28,1;24;21,1;75,9;
2013-11-30;351,1;28,7;24,9;21,9;78,6;
2013-12-31;713,9;29,8;25,7;23,2;83,3;
2014-01-31;51,1;31,7;27,3;24,3;null;
2014-02-28;41,1;32,6;27,8;24,5;71,8;
2014-03-31;90,9;31,8;27,2;24,3;null;
2014-04-30;95,5;30,4;26;23,1;74,4;
2014-05-31;5;29,1;24,4;21,3;75,6;
2014-06-30;51,2;28,1;23,7;20,7;77,9;
2014-07-31;107,3;26;22,2;19,6;80,9;
2014-08-31;83,4;27,4;22,5;19,2;76;
2014-09-30;23,7;28,5;23,9;20,9;71,2;
2014-10-31;286,6;28,2;23,8;20,6;75,5;
2014-11-30;68,7;29;25,3;22,6;74,4;
2014-12-31;86,1;31,2;26,8;23,6;71;
2015-01-31;0;33,2;28;25;null;
2015-02-28;53,9;33;28;25,2;72,2;
2015-03-31;48,9;32,6;27,7;24,7;73,7;
2015-04-30;31,8;30,6;26,2;23;74,9;
2015-05-31;199,8;27,8;23,7;20,9;80,4;
2015-06-30;109,1;27,9;23,5;20,6;79,1;
2015-07-31;12,5;27,7;23,4;20,6;78,2;
2015-08-31;40,6;28;23,3;20,2;75;
2015-09-30;27,8;30,2;25;21,9;73,5;
2015-10-31;54,6;30,3;25,7;22,8;72,2;
2015-11-30;61,2;31,9;27,4;24,5;72,3;
2015-12-31;87,8;32,7;28,1;25,2;71,8;
2016-01-31;186;31,3;27;24,4;null;
2016-02-29;12,3;34,3;28,9;25,7;69,6;
2016-03-31;90;32,8;28,1;25,1;74,9;
2016-04-30;25;32,5;27,7;24,5;72,4;
2016-05-31;12,9;29,6;24,9;21,6;null;
2016-06-30;72,7;26,7;22,5;19,9;78,3;
2016-07-31;78,9;27,5;22,8;20,1;75,7;
2016-08-31;7,1;28,2;23,5;20,3;73,9;
2016-09-30;33,1;28,6;24,2;21,2;73,8;
2016-10-31;107,8;27,9;24,2;21,7;77,5;
2016-11-30;227,1;28,6;24,9;22,4;77,6;
2016-12-31;95,5;31,1;26,7;23,8;77,3;
2017-01-31;24;32,9;28,1;25,2;null;
2017-02-28;96;32,3;27,6;24,6;74,7;
2017-03-31;38,1;31,8;27,1;24,2;72,6;
2017-04-30;64,6;29,8;25,7;22,8;76,4;
2017-05-31;180,4;27,5;23,8;20,9;null;
2017-06-30;133,6;28,2;23,7;20,9;78,1;
2017-07-31;195,8;25,3;21,1;18,4;82,3;
2017-08-31;27;25,9;21,7;18,6;74,8;
2017-09-30;81,3;26,4;22,7;19,8;77,7;
2017-10-31;84,9;29,3;25,1;22,3;75,6;
2017-11-30;128;28,3;24,6;22;78,6;
2017-12-31;209,1;30;26,1;23,4;78,5;
2018-01-31;55,1;32,2;27,6;24,7;null;
2018-02-28;201,5;30,9;26,6;23,9;80,1;
2018-03-31;174,6;32;27,6;24,6;null;
2018-04-30;371,6;29,5;25,2;22,2;81,1;
2018-05-31;200,8;27,8;23,7;20,9;80,4;
2018-06-30;148,3;27,7;23,4;20,7;79,8;
2018-07-31;9,4;28,3;23,4;20,1;75,8;
2018-08-31;92,1;26,4;22,6;20;80,7;
2018-09-30;39,7;28,2;24,1;21,4;75;
2018-10-31;179,8;28,6;24,7;22,2;78,2;
2018-11-30;297,3;29,1;25,3;22,6;80,9;
2018-12-31;169,4;30,9;26,5;23,6;77;
2019-01-31;8,2;33,3;28,4;25,4;null;
2019-02-28;141,4;34;28,7;25,2;75,5;
2019-03-31;75,3;32,7;28,2;25,3;74,9;
2019-04-30;194,2;31,7;27,3;24,4;77,8;
2019-05-31;257,9;30,1;25,9;23,1;null;
2019-06-30;29,2;28,8;24,2;21,3;78,4;
