Nome: SAO SIMAO
Codigo Estacao: 83669
Latitude: -21.46111111
Longitude: -47.57944443
Altitude: 620.02
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2024-11-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;237,7;31,2;24,5;19,5;77;
2010-02-28;58,2;32,8;25,2;19;70,3;
2010-03-31;95;31,9;24,3;18,1;73,7;
2010-04-30;45,8;29,8;22,1;14,9;68,2;
2010-05-31;22,2;27,8;19,2;11,4;66,1;
2010-06-30;32,4;27,5;17,8;9,2;62,4;
2010-07-31;21,7;29,1;20,1;11,9;55,9;
2010-08-31;0;30,5;20;9,5;44,4;
2010-09-30;107,1;31,3;22,7;14,2;54,8;
2010-10-31;84;31;22,5;14;62,2;
2010-11-30;159,1;31,2;23,2;15,7;68,4;
2010-12-31;277,5;32,3;25,1;19,2;74,2;
2011-01-31;356,4;31,2;24,3;19,1;79,5;
2011-02-28;209,8;32,3;24,6;18,4;73,9;
2011-03-31;184,9;28,7;23,1;18,3;81,1;
2011-04-30;86,6;29,8;22,3;15,3;74,2;
2011-05-31;13,7;27,8;19,2;10,9;67,1;
2011-06-30;44,3;26,5;17;8,2;68,2;
2011-07-31;0;28,8;19,2;10,2;61,1;
2011-08-31;24,2;30,4;21,1;12,2;56;
2011-09-30;6,9;32,5;22,8;12,7;46,1;
2011-10-31;159,1;30,3;23;15,9;64,8;
2011-11-30;150,2;30,5;23;15,1;63,6;
2011-12-31;175,9;31,3;23,6;16,4;73,1;
2012-01-31;398,4;29,3;22,3;16,1;79,2;
2012-02-29;63,9;32,6;24,9;17,1;68;
2012-03-31;48,8;31,8;24,1;16,4;68;
2012-04-30;54,9;31;23,1;15,1;69,3;
2012-05-31;97,5;26,4;19,2;11,2;70,4;
2012-06-30;91,9;26,2;null;null;76,8;
2012-07-31;28,2;27,5;null;null;63,5;
2012-08-31;0;29,1;null;null;49,6;
2012-09-30;34,4;32,1;null;null;51,8;
2012-10-31;68,6;34,6;null;null;53,3;
2012-11-30;140;31,7;null;null;66,1;
2012-12-31;163,6;32,6;null;null;72,2;
2013-01-31;279,2;30,9;null;null;75,6;
2013-02-28;222,1;31,8;null;null;76,5;
2013-03-31;103,7;30,4;null;null;75,1;
2013-04-30;30,7;28,6;null;null;72,9;
2013-05-31;90,3;28,1;null;null;69,4;
2013-06-30;28,3;27,2;null;null;76,5;
2013-07-31;25,3;26,7;null;null;68,4;
2013-08-31;2,4;29,4;null;null;53,9;
2013-09-30;69,6;30,7;null;null;55,7;
2013-10-31;114,4;30,3;null;null;65,1;
2013-11-30;145,5;30,5;null;null;69,3;
2013-12-31;242,7;31,9;null;null;73,1;
2014-01-31;97,5;34;null;null;64;
2014-02-28;67,1;33,8;null;null;60,1;
2014-03-31;98,8;31,8;null;null;70,3;
2014-04-30;57,3;30,7;null;null;68,3;
2014-05-31;7,8;28,3;null;null;64,9;
2014-06-30;2,2;28,8;null;null;63;
2014-07-31;40,6;27,1;null;null;62,1;
2014-08-31;,3;30,8;null;null;47,3;
2014-09-30;65,8;32,3;24,2;17,5;52,2;
2014-10-31;35,8;34;25,8;19;47,5;
2014-11-30;174;31,6;25;19,8;66,9;
2014-12-31;178,7;31,5;24,8;19,7;70,9;
2015-01-31;118,9;34,4;26,7;20,8;63,7;
2015-02-28;209,9;31,2;24,6;19,6;74,1;
2015-03-31;180,7;29,5;23,4;18,8;78,8;
2015-04-30;30,7;30,2;23,1;17,1;71,8;
2015-05-31;55,5;27;20,3;14,7;73,7;
2015-06-30;16,5;27,5;19,7;13,3;68,7;
2015-07-31;8;27,7;19,7;12,8;68,5;
2015-08-31;1,9;30,7;21,5;12,4;51,6;
2015-09-30;124,4;31,6;23,5;16,2;61,7;
2015-10-31;83,2;34,4;26,4;19,3;56,1;
2015-11-30;267,4;31,7;24,8;19;74,8;
2015-12-31;206,7;31,8;24,8;19,6;75,8;
2016-01-31;423,9;30,6;24,8;19,3;77,3;
2016-02-29;224,9;32,7;25,1;19,2;76,1;
2016-03-31;165,1;31,6;24,5;18;75,5;
2016-04-30;1,7;32,4;23,7;null;63,5;
2016-05-31;105,3;28;20,4;null;70,7;
2016-06-30;142,5;26;null;null;72,3;
2016-07-31;,5;29,1;null;null;58,7;
2016-08-31;43,2;29,6;null;null;57,9;
2016-09-30;9,9;32,3;null;null;53,2;
2016-10-31;53,2;32,7;null;null;63;
2016-11-30;127,7;31,3;null;null;71,4;
2016-12-31;145,9;32,6;null;null;73,3;
2017-01-31;296;30,7;null;null;76,8;
2017-02-28;143;32,7;null;null;68,1;
2017-03-31;135,9;32;null;null;68,9;
2017-04-30;77;30,2;null;null;71,7;
2017-05-31;69,4;28,1;null;null;73,8;
2017-06-30;13;27,2;null;null;69,7;
2017-07-31;0;26,6;18,6;10,9;56,7;
