Nome: CATANDUVA
Codigo Estacao: 83676
Latitude: -21.12222221
Longitude: -48.94694444
Altitude: 570
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;201,5;29,9;24,5;21;78,3;
2010-02-28;79,7;31,9;25,9;21,5;68,9;
2010-03-31;120,5;31,1;25,4;21;71,7;
2010-04-30;94,3;29,6;23,1;18,3;66,7;
2010-05-31;11,9;27,3;20,6;15,6;62,5;
2010-06-30;4,4;27,5;19,9;13,9;56,1;
2010-07-31;2,3;29,3;21,9;15,9;null;
2010-08-31;0;30,5;22;14,9;36,8;
2010-09-30;92,4;31,4;24,1;18;55,4;
2010-10-31;110,7;30,5;23,7;17,6;59,7;
2010-11-30;62,3;31,1;25,1;19,7;61,9;
2010-12-31;169,5;31,6;25,5;20,8;67,3;
2011-01-31;330,6;30,6;24,9;21,1;77;
2011-02-28;87,8;31,7;25,2;21;69,6;
2011-03-31;240,6;27,7;23,4;20,6;null;
2011-04-30;112;29,4;23,6;19,1;68,4;
2011-05-31;4;27,5;20,7;15,3;59,8;
2011-06-30;32,1;26,6;19,4;13,7;58,3;
2011-07-31;0;28,9;21,4;15,5;null;
2011-08-31;22,5;30,6;22,6;16;48,9;
2011-09-30;20,3;32,2;23,9;16,7;46,9;
2011-10-31;136,3;30,1;23,9;19;71,5;
2011-11-30;152,9;30;23,8;18;67,7;
2011-12-31;159,4;30,5;24,8;20,2;null;
2012-01-31;218,2;28,4;23,3;19,6;null;
2012-02-29;78,9;31,9;25,9;20,9;null;
2012-03-31;77,3;31;25,1;19,9;null;
2012-04-30;74,8;30,3;24,3;19,4;null;
2012-05-31;83,2;25,5;20,3;16;null;
2012-06-30;149,3;24,1;20,2;16,9;null;
2012-07-31;null;null;null;null;null;
2012-08-31;0;27,7;22,1;17;null;
2012-09-30;70,1;30,7;23,8;17,7;null;
2012-10-31;52,7;33,2;26,5;20,2;null;
2012-11-30;139,2;31;25,2;19,7;null;
2012-12-31;171,7;31,2;26,3;22;null;
2013-01-31;200,7;29,4;24,5;20,3;null;
2013-02-28;126;30,2;24,6;20,7;null;
2013-03-31;211,9;29,2;24,2;20,2;null;
2013-04-30;60,9;27,5;22,9;19;null;
2013-05-31;144;25,8;21,2;16,9;null;
2013-06-30;50,6;26,2;20,9;16,8;null;
2013-07-31;5,3;26,2;19,3;14;null;
2013-08-31;0;28,9;21,1;14,4;null;
2013-09-30;59,3;29,9;22,8;16,8;null;
2013-10-31;94,4;29,5;23,6;18,3;null;
2013-11-30;250,6;30,2;24,4;19,6;null;
2013-12-31;null;null;null;null;null;
2014-01-31;30,2;31,9;26,5;21,7;null;
2014-02-28;150,2;32,1;26,9;22,1;null;
2014-03-31;209,5;29,7;24,6;20,7;null;
2014-04-30;66,6;29,2;24;20,1;null;
2014-05-31;9,3;26,7;21,6;17,1;null;
2014-06-30;,2;27,8;21,5;16,5;null;
2014-07-31;18,4;26,4;20,4;15,5;null;
2014-08-31;0;30,3;23,1;16,6;null;
2014-09-30;63,9;32;24,6;18,3;null;
2014-10-31;14,3;33,8;26,2;19,7;null;
2014-11-30;193,5;31;24,9;20,3;null;
2014-12-31;null;null;null;null;null;
2015-01-31;75,8;33,2;27,2;22,4;null;
2015-02-28;114,3;30,2;25,2;21,5;null;
2015-03-31;154,5;30;24,3;20,6;null;
2015-04-30;51,5;30,1;23,9;19;null;
2015-05-31;51,4;27,5;21,6;17,9;null;
2015-06-30;27,4;27,7;21,7;null;null;
2015-07-31;67,8;27;21,4;null;null;
2015-08-31;4,4;30,9;23,3;null;null;
2015-09-30;155,6;32,1;25,5;null;null;
2015-10-31;32,1;33,7;26,9;null;null;
2015-11-30;230,6;30,9;25,4;null;null;
2015-12-31;222,1;30,7;26;null;null;
2016-01-31;332,8;30,1;25,6;null;null;
2016-02-29;146,9;31,5;26,9;null;null;
2016-03-31;134;30,5;26,4;null;null;
2016-04-30;12,6;30,8;27,2;null;null;
2016-05-31;75,8;26,6;null;null;null;
2016-06-30;92,1;24,5;null;null;null;
2016-07-31;null;null;null;null;null;
2016-08-31;22,2;28,6;null;null;null;
2016-09-30;6,6;30,4;null;null;null;
2016-10-31;57,8;31,5;null;null;null;
2016-11-30;118,9;30,7;24,7;20,3;null;
2016-12-31;176,8;30,9;25,5;21,5;null;
2017-01-31;114,1;29,2;24,3;21,5;null;
2017-02-28;122,9;31;25,9;22,2;null;
2017-03-31;83,6;30,8;25,2;21;null;
2017-04-30;146,3;29,1;23,7;19,9;null;
2017-05-31;79,7;27,5;22,4;18,7;null;
2017-06-30;2,2;25,8;20;15,8;null;
2017-07-31;0;25;19,4;14,9;null;
2017-08-31;24;28;21,7;16,6;null;
2017-09-30;6,7;32,3;25,6;19,9;null;
2017-10-31;110,2;32,4;25,7;20,5;null;
2017-11-30;151,5;31;24,5;19,7;null;
2017-12-31;null;null;null;null;null;
2018-01-31;278;30,7;25;21,3;null;
2018-02-28;92,5;30,8;25;21;null;
2018-03-31;99,9;32,2;26;21,9;null;
2018-04-30;8,2;30,2;24,1;19,2;null;
2018-05-31;14,5;28,4;21,9;16,7;null;
2018-06-30;1;28;21,9;17;null;
2018-07-31;null;null;null;null;null;
2018-08-31;28,8;27,3;20,9;15,6;null;
2018-09-30;55,7;29,6;23;17,6;null;
2018-10-31;158,4;31,4;25,3;21,1;null;
2018-11-30;170,3;29,5;24,4;20,4;null;
2018-12-31;98,4;31,6;26,3;22;null;
2019-01-31;76,5;32,9;27;22,7;null;
2019-02-28;169,8;30,1;24,7;21;null;
2019-03-31;150,5;30,2;24,7;20,6;null;
2019-04-30;104,9;29,9;24,6;20,3;null;
2019-05-31;3;30;22,9;18,3;null;
2019-06-30;9,9;28,8;21,8;16,7;null;
2019-07-31;null;null;null;null;null;
2019-08-31;11,7;30,9;22,5;16,6;null;
2019-09-30;83,4;34,1;25,9;20,3;null;
2019-10-31;58,4;34,4;26,5;20,4;null;
2019-11-30;85,9;32,4;25,5;20,9;null;
2019-12-31;189,7;30,9;25;20,9;null;
2020-01-31;277,3;32,1;25,3;21,4;null;
2020-02-29;193,8;29,8;24,3;21;null;
2020-03-31;103,1;32;25;19,8;null;
2020-04-30;35,7;30,2;23,2;17,8;null;
2020-05-31;27,5;28;20,8;15,6;null;
2020-06-30;16;29,5;22,2;17,4;null;
2020-07-31;,2;30;21,9;16;null;
2020-08-31;5,3;30,5;22,2;15,9;null;
2020-09-30;12,7;35,8;27;20;null;
