Nome: CALDAS(P. DE CALDAS)
Codigo Estacao: 83681
Latitude: -21.918139
Longitude: -46.382977
Altitude: 1077.08
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2015-09-16
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;219,6;27,1;21,7;18;82,2;
2010-02-28;151,4;27,7;21,8;17;79,2;
2010-03-31;164,3;27,3;21;16,5;78,6;
2010-04-30;57,3;25,6;18,6;12,4;75,8;
2010-05-31;26,3;23,9;15,6;8,4;76;
2010-06-30;18,6;23;13,2;5,3;75,3;
2010-07-31;13,6;23,9;14,8;7,1;74,1;
2010-08-31;0;26,1;15;5,1;59,2;
2010-09-30;70,5;26,7;18,1;10,9;65,5;
2010-10-31;120,1;26,1;19;12,8;72,2;
2010-11-30;191,4;26;20;15,2;77,3;
2010-12-31;401,1;27,5;21,9;17,7;79,9;
2011-01-31;312;26,9;21,6;18,2;82,5;
2011-02-28;83,3;28;21,8;17;76,8;
2011-03-31;182,1;25,1;20,5;17,5;83,7;
2011-04-30;129,5;25,9;19,2;13,8;80,2;
2011-05-31;30,2;23,5;15,2;8,2;77,6;
2011-06-30;25,3;22,4;12,5;4,7;76,9;
2011-07-31;0;24,3;14,8;6,9;71,2;
2011-08-31;9,9;26;16,7;8,6;65,9;
2011-09-30;25,8;27,5;17,7;8,7;57,2;
2011-10-31;173,6;25,6;19,7;14,5;70,4;
2011-11-30;54,1;25,3;19;13,4;72,2;
2011-12-31;194,8;26,1;20,7;16,5;79,1;
2012-01-31;293,1;25;20,1;16,2;80,6;
2012-02-29;107,3;27,5;21,4;16,3;74,8;
2012-03-31;132,9;26,5;20,4;15,7;79;
2012-04-30;71,1;25,6;19,3;14,5;81,2;
2012-05-31;77,2;22,2;15,3;9,1;79,5;
2012-06-30;65,8;22;15,5;10,3;82,6;
2012-07-31;34,5;22,9;13,8;6,6;75,3;
2012-08-31;0;23,5;15,1;7,1;67,9;
2012-09-30;32;27;17,9;9,6;62,8;
2012-10-31;50,1;28,5;20,9;14,1;65,8;
2012-11-30;168,7;26,4;20,6;15,9;75,2;
2012-12-31;210,9;27,7;22,1;18,1;79,7;
2013-01-31;379,9;25,9;20,8;17,1;82;
2013-02-28;225,2;27,3;21,4;17,1;79,1;
2013-03-31;318,7;25,9;20,6;17;82,5;
2013-04-30;103,4;24,3;18;12,7;79,1;
2013-05-31;93,2;23,6;16,3;10;77,8;
2013-06-30;33,9;22,4;15,5;10,3;83;
2013-07-31;40,6;22,9;14,3;6,9;75,5;
2013-08-31;6,6;24,4;15;6,6;67,3;
2013-09-30;76,5;25,5;17,6;10,4;69,7;
2013-10-31;124,5;25;18,9;13,9;74,8;
2013-11-30;231;25,4;20;15,4;77,7;
2013-12-31;173,2;27;21,4;17,2;79,6;
2014-01-31;42,5;29,4;22,3;16,2;69,1;
2014-02-28;69,9;29,2;22,3;15,6;64,9;
2014-03-31;124,7;27,1;21,1;16,5;76,2;
2014-04-30;104,9;25,9;19,1;13,5;78,6;
2014-05-31;34,2;23,8;15,8;8,8;77,6;
2014-06-30;6,3;23,7;15;7,6;78;
2014-07-31;33,6;22,2;14,3;7,2;76,2;
2014-08-31;3,6;26,1;15,9;6,7;64,2;
2014-09-30;54,6;27,2;18,6;11,3;63,6;
2014-10-31;49,7;28,7;20,2;13,5;62,6;
2014-11-30;211,9;26,6;20,9;16,2;74,7;
2014-12-31;365,6;26,8;21,2;16,4;79,4;
2015-01-31;108,1;29,7;23;17,2;73,4;
2015-02-28;167,1;27;21,2;16,7;80,2;
2015-03-31;223,2;25,8;20,4;16,5;84,4;
2015-04-30;23,1;25,7;19,2;14,3;80;
2015-05-31;77,1;22,4;16,2;11,4;83,1;
2015-06-30;44,5;22,6;15;8,7;79,4;
2015-07-31;null;null;null;null;null;
2015-08-31;null;null;null;null;null;
2015-09-30;null;null;null;null;null;

