Nome: MACHADO
Codigo Estacao: 83683
Latitude: -21.68138888
Longitude: -45.94083333
Altitude: 892.44
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;212,4;29,5;23,2;19;80,5;
2010-02-28;134,9;30,3;23,4;18,3;75,2;
2010-03-31;150,6;29,4;22,6;17,8;77,7;
2010-04-30;65,6;27,6;20,3;14,8;75,1;
2010-05-31;33,4;25,5;17,6;11,6;77,1;
2010-06-30;17,4;24,4;15,2;8,7;75,3;
2010-07-31;19,4;25,9;16,9;10,1;72,1;
2010-08-31;0;27,5;17,4;8,6;57;
2010-09-30;44;28,3;20,2;13;62,7;
2010-10-31;110,7;28,4;20,8;14,9;73,4;
2010-11-30;136,3;28;21,8;16,8;75;
2010-12-31;247,9;30,6;23,4;18,9;78,5;
2011-01-31;420,6;29,1;22,9;19,2;81,5;
2011-02-28;168,7;30,6;23,7;18,6;72;
2011-03-31;285,3;27,5;22;18,7;83;
2011-04-30;92,9;27,8;20,7;16;80,2;
2011-05-31;30;25,2;17,4;11,5;78,6;
2011-06-30;29,3;23,3;14,5;7,9;80,3;
2011-07-31;0;25,4;16,6;10;74,3;
2011-08-31;3,8;27,9;19;11,4;66,5;
2011-09-30;2,8;29,3;20,1;12;54,2;
2011-10-31;203,8;28,1;21,3;16,1;66;
2011-11-30;116,6;27,4;20,9;15,9;69,2;
2011-12-31;264,3;28,8;22,1;18;78,6;
2012-01-31;313,2;27,7;21,6;17,6;80,2;
2012-02-29;90,1;30,1;23,1;17,7;71;
2012-03-31;113;29,4;22,2;17,4;74,7;
2012-04-30;45,4;27,8;21,1;16,6;79,5;
2012-05-31;62;24,4;17;11,3;78,4;
2012-06-30;99,9;24;17,3;12,2;82,9;
2012-07-31;15,9;25,1;16;9,2;72,4;
2012-08-31;2,4;25,7;17,5;9,9;63,9;
2012-09-30;70,6;29,1;20,1;12,5;59,6;
2012-10-31;108,9;30,5;22,8;16,1;61,7;
2012-11-30;134;28,5;22,1;17,5;74,8;
2012-12-31;335,3;30,6;23,8;19,2;78,1;
2013-01-31;500;28,8;22,3;18,3;80;
2013-02-28;214,3;29,9;23,1;18,4;77,1;
2013-03-31;195,8;28,2;22,1;18,2;81,4;
2013-04-30;58,2;26,3;19,7;14,8;78,5;
2013-05-31;57,6;25,3;17,9;12,2;79,4;
2013-06-30;23,4;24,5;17,3;12,3;85,2;
2013-07-31;52,6;24,8;16,3;9,9;78,3;
2013-08-31;5,2;26,5;17,2;9,4;69,1;
2013-09-30;65;28,4;19,8;12,7;68,8;
2013-10-31;70,2;28,1;20,5;14,4;74,3;
2013-11-30;287,6;28,3;21,8;16,6;76,5;
2013-12-31;157;29,8;23,2;18,6;77,6;
2014-01-31;61,1;31,9;24,5;18,1;69,1;
2014-02-28;86;31,8;24,4;17,9;60,8;
2014-03-31;133,3;29,6;22,9;18;71,1;
2014-04-30;107,1;28,2;21;15,8;73,2;
2014-05-31;18,4;25,9;17,8;11,5;74,7;
2014-06-30;6,5;25,2;17;10,8;75,7;
2014-07-31;37,4;24,1;16,2;9,9;74,1;
2014-08-31;5,1;27,9;18;10,3;63,2;
2014-09-30;42,8;29,5;21;13,9;62,4;
2014-10-31;51,3;30,6;22,2;15,2;56,8;
2014-11-30;181,8;29,1;22,4;17,9;73,5;
2014-12-31;236,9;29,1;22,8;18;75,6;
2015-01-31;93,8;31,9;24,4;18,5;69,1;
2015-02-28;309,6;29,6;22,7;18;78,9;
2015-03-31;261,8;27,6;21,6;17,5;85,5;
2015-04-30;35,7;27,7;20,9;16,2;78;
2015-05-31;43,4;24,8;18,1;13,4;81,3;
2015-06-30;16;24,1;16,9;11,1;79,1;
