Nome: LAVRAS
Codigo Estacao: 83687
Latitude: -21.2261111
Longitude: -44.97972221
Altitude: 916.19
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;107,5;30,7;24;19;71,1;
2010-02-28;68,5;31,1;23,9;18,9;67,8;
2010-03-31;97,7;29,7;23,1;18,3;72,3;
2010-04-30;51,4;28,1;21,1;16,2;69;
2010-05-31;10,4;25,9;18,5;13,5;71,4;
2010-06-30;3,4;24;16;10,4;68,5;
2010-07-31;13,9;24,6;17,7;12,5;66,7;
2010-08-31;0;26,4;18,1;10,9;52;
2010-09-30;43,4;27,3;20,1;14;60;
2010-10-31;143,5;27,8;20,9;16;69,4;
2010-11-30;303,4;27,2;21,4;17,6;75,8;
2010-12-31;288,7;29,7;23,4;19,2;75,4;
2011-01-31;349,2;28,8;23;19;76,6;
2011-02-28;103,5;31,1;24;18,9;67,3;
2011-03-31;319,1;27,6;22;18,6;79;
2011-04-30;60,6;28,1;21,4;16,9;71,8;
2011-05-31;9,6;25,2;18,3;13,6;72,1;
2011-06-30;35,2;23,8;16,3;11,1;71,6;
2011-07-31;0;25,2;17,3;11,5;64,7;
2011-08-31;11,4;28,3;19,7;13;57,2;
2011-09-30;,6;28,6;20,2;13,5;51,6;
2011-10-31;132,4;26,9;20,9;16,4;70,6;
2011-11-30;172,8;26,6;20,4;16;71,7;
2011-12-31;441,2;27,5;21,8;18,1;80,8;
2012-01-31;529,2;27,2;21,7;17,9;79,3;
2012-02-29;80,4;29,3;23,2;18,3;69,6;
2012-03-31;133,1;28,8;22,3;17,7;72,4;
2012-04-30;38,8;27,5;21,4;17,1;75,2;
2012-05-31;41,8;23,9;17,7;13,3;74,9;
2012-06-30;94,6;24,2;17,8;13,7;79,3;
2012-07-31;16;24,6;16,8;11;67,2;
2012-08-31;,4;25,2;18;12,3;61,5;
2012-09-30;17,1;28,5;20,5;14;55,5;
2012-10-31;46,9;30,6;23;16,8;56,9;
2012-11-30;152,7;27,9;22;17,7;71,7;
2012-12-31;140,4;30,5;24,1;19,5;72,4;
2013-01-31;499,7;27,9;22,2;18,4;79,5;
2013-02-28;70;30;23,5;18,9;71,4;
2013-03-31;170,6;27,9;22,2;18,5;79,2;
2013-04-30;55,1;25,9;19,9;15,7;75,8;
2013-05-31;63,5;24,9;18,3;13,7;73,2;
2013-06-30;14,4;24,4;18;14;79;
2013-07-31;12,8;24;16,8;11,7;70,2;
2013-08-31;1,9;26,1;18,2;11,9;60,2;
2013-09-30;64,4;27,3;20,2;14,4;62,7;
2013-10-31;85,6;26,4;20,3;15,7;69,9;
2013-11-30;180,4;27,3;21,6;17,3;72,4;
2013-12-31;162,2;28,7;22,7;18,8;76,9;
2014-01-31;219,7;31,5;24,2;18,2;62,6;
2014-02-28;34,4;30,8;24;18,1;60,1;
2014-03-31;77,9;29;22,8;18;69,5;
2014-04-30;123,4;27,8;21,1;16,7;73,2;
2014-05-31;20,1;25,3;18,4;13,2;69,3;
2014-06-30;3,7;25,2;18;12,9;70,7;
2014-07-31;45,3;23,5;17,1;12,3;68,6;
2014-08-31;8,6;26,9;18,5;12,1;57,6;
2014-09-30;33,7;28,5;21;14,5;55;
2014-10-31;59,7;29,8;22,1;15,9;54,8;
2014-11-30;224,4;28,5;22,3;17,9;70,4;
2014-12-31;236,7;29,3;23;18,3;71,9;
2015-01-31;71,5;31,9;24,8;18,9;62,5;
2015-02-28;201,1;28,6;22,7;18,7;76,2;
2015-03-31;181,1;27,5;22;18,3;80,4;
2015-04-30;15,3;27,6;21,2;17;74,2;
2015-05-31;50,2;24,1;18,4;14,5;77,4;
2015-06-30;31,5;24;17,5;13,2;75,5;
2015-07-31;1,7;25,3;18,3;13,2;69,7;
2015-08-31;36,6;27,1;19,3;12,9;59,8;
2015-09-30;127,6;28,1;21,6;16,3;65,1;
2015-10-31;22,7;31,4;24;18,3;58,5;
2015-11-30;273,8;29,6;23,3;19,2;77,4;
2015-12-31;232,9;29,7;23,2;19,1;77,2;
2016-01-31;400,6;28,3;22,8;19;78,6;
2016-02-29;114,9;30,7;24;19,3;71,6;
2016-03-31;122,8;29,2;23,1;18,9;75,3;
2016-04-30;22,2;29,6;22,7;17,4;66,6;
2016-05-31;4,3;25,7;18,9;14,4;75,7;
2016-06-30;84,2;23,4;16,7;12,3;74,8;
2016-07-31;0;25,8;17,7;11,7;65,5;
2016-08-31;22,6;27,1;19,1;12,9;61,3;
2016-09-30;8,6;30,1;21,9;15,5;57;
2016-10-31;125,2;28,8;22;17,4;68,3;
2016-11-30;190,2;27,4;21,7;17,4;74,9;
2016-12-31;145;29,5;23,1;18,1;72,3;
2017-01-31;157,9;30,3;23,7;19,3;72,8;
2017-02-28;64,1;29,9;23,3;18,6;69,6;
2017-03-31;158,6;29,3;22,5;17,6;70,4;
2017-04-30;108,3;27,6;21,2;16,7;73,5;
2017-05-31;57,6;25,1;18,9;14,9;77,2;
2017-06-30;29;24,8;17,6;12,7;74,2;
2017-07-31;0;23,1;16,1;10,9;67,3;
2017-08-31;1,4;26,5;18,5;12,4;61,3;
2017-09-30;32,6;29;20,8;13,4;48,9;
2017-10-31;125,3;29,3;22,5;17,1;63,4;
2017-11-30;126,4;27,2;21,6;17,3;73,6;
2017-12-31;235,8;29;22,8;18,4;74,1;
2018-01-31;240,2;29,4;23;18,8;74,2;
2018-02-28;85,5;28,6;22,7;18,7;74,5;
2018-03-31;59,4;30,4;23,6;19;72,7;
2018-04-30;3,2;27,6;21,1;16,6;69;
2018-05-31;10,3;26,2;18,8;13,6;65,8;
2018-06-30;19,9;25,4;18,5;13,9;70,9;
2018-07-31;,2;26,2;18;11,7;61,4;
2018-08-31;66,1;25,3;18,4;13,5;67,5;
2018-09-30;52,6;28,1;20,8;15,3;64,1;
2018-10-31;201,3;27,8;22;17,9;75,3;
2018-11-30;223,5;26,6;21,5;17,8;76,7;
2018-12-31;323,2;29,9;23;18,3;72,1;
2019-01-31;143,6;30,9;24,2;19,2;null;
2019-02-28;195,7;29,5;23,4;19,1;75,8;
2019-03-31;221,6;28,9;22,6;18,6;76,4;
2019-04-30;77,3;28,3;22,2;18;74,8;
2019-05-31;24,3;26,5;20;15,6;74,6;
2019-06-30;2,6;25,1;18,1;13,1;70,5;
2019-07-31;9,2;24,7;16,7;10,6;61,9;
2019-08-31;10,4;26;18,5;12,9;61,8;
2019-09-30;71,3;30,4;22,5;16,5;56,2;
2019-10-31;82,7;30;23;17,5;63,3;
2019-11-30;187,9;28;22,4;18,4;76,4;
2019-12-31;120;28,7;22,9;18,7;75,1;
2020-01-31;null;null;null;19,4;null;
2020-02-29;null;null;null;19,1;null;
2020-03-31;null;null;null;18,2;null;
2020-04-30;null;null;null;17,5;null;
2020-05-31;null;null;null;13,7;null;
2020-06-30;2,5;25,2;18,2;13,1;73,1;
2020-07-31;0;26,2;18,5;12,9;65,6;
2020-08-31;14,1;26,2;18,4;12,2;60,9;
2020-09-30;30,4;30,6;22,6;15,8;52,1;
2020-10-31;29,6;29,9;22,9;18;64,7;
2020-11-30;null;null;null;null;null;
2020-12-31;311,7;28,4;22,9;19;77,4;
2021-01-31;245;null;null;18,9;null;
2021-02-28;220,3;28,7;22,3;18,6;77,6;
2021-03-31;95,4;29,7;23,1;18,4;71,7;
2021-04-30;8,7;27,5;20,2;14,9;65,9;
2021-05-31;10,8;26,2;18,8;13,7;70,7;
2021-06-30;19,4;24,6;17,5;12,9;74,8;
2021-07-31;0;24,2;15,8;9,5;62,4;
2021-08-31;4,3;27,7;19,2;12,8;60,6;
2021-09-30;10,9;32,1;23,2;16,6;57,4;
2021-10-31;206,3;27,6;21,2;17,4;76,5;
2021-11-30;260,4;28,5;21,9;17;71,8;
2021-12-31;284,6;28,7;22,1;17,7;73,4;
2022-01-31;274,1;29,3;23,1;19,3;null;
2022-02-28;284,2;28,8;22,4;18,8;81,2;
2022-03-31;59,5;30,9;23,7;18,4;68,8;
2022-04-30;79,7;29,4;22;17;71,6;
2022-05-31;4,6;25,5;17,7;12,4;69,8;
2022-06-30;,8;25,5;17,4;11,7;70,5;
2022-07-31;0;26,8;18,1;11,5;62,9;
2022-08-31;12,2;26,6;18,9;12,8;null;
2022-09-30;80;28,2;20,5;14,8;64,6;
2022-10-31;108,4;30;22,8;17,5;68,6;
2022-11-30;174,4;28,2;20,8;16;72,9;
2022-12-31;260,6;27,3;21,7;18;79,4;
2023-01-31;582;28,6;22,4;19;null;
2023-02-28;123,9;31,3;23,8;19;75,3;
2023-03-31;97;31,3;23,5;18,6;73;
2023-04-30;102;28,2;21,3;17,1;75,5;
2023-05-31;,8;26,4;18,6;13,5;72;
2023-06-30;8,8;25,7;17,2;11,4;72,1;
2023-07-31;6,8;26,2;18;12,7;68,4;
2023-08-31;31,4;28,2;20;14,2;64,9;
2023-09-30;38,9;31,9;22,9;16,8;62,4;
2023-10-31;167,5;31,3;23,9;19,6;null;
2023-11-30;135,9;32,7;24,4;18,8;70,5;
2023-12-31;126;32,6;24,9;19,7;73,4;
2024-01-31;null;30,5;23,9;19,1;null;
2024-02-29;267,2;30,7;23,7;19,5;80,5;
2024-03-31;176;30,9;23,9;20,2;81,5;
2024-04-30;33,2;30,5;23,1;18;73,6;
2024-05-31;29,6;29,4;21,3;15,6;71,4;
2024-06-30;0;27,5;18,7;12,7;70,8;
2024-07-31;,4;27,6;18,9;12,9;66,1;
2024-08-31;0;28,9;19,6;12,6;57;
2024-09-30;8,5;33,1;23,8;16,4;53;
2024-10-31;170,4;30,3;23;18,1;69,6;
2024-11-30;248,3;28,7;22,5;18,2;76;
2024-12-31;245;30;23,3;19;77,5;

