Nome: BARBACENA
Codigo Estacao: 83689
Latitude: -21.23972221
Longitude: -43.78138888
Altitude: 1128.08
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2018-05-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;273,6;28,9;21,8;16,9;78,7;
2010-02-28;74;29;21,9;16,9;75,7;
2010-03-31;277;27,6;20,8;16,4;83,3;
2010-04-30;66,8;25,5;18,7;14,2;81;
2010-05-31;35,7;23,7;16,7;11,5;81,3;
2010-06-30;2;21,9;14,4;9;79,3;
2010-07-31;32,2;22,8;16,2;11,5;79,5;
2010-08-31;0;24,3;16;9,5;65,7;
2010-09-30;37,6;25,6;18;12,9;70,4;
2010-10-31;205,4;25,2;18,5;14,3;80,8;
2010-11-30;338,9;24,7;19,2;15,7;85,2;
2010-12-31;342,5;27,6;21,4;17,6;84;
2011-01-31;182,7;27,1;21,5;17,5;82,1;
2011-02-28;28,1;29,5;22,3;17,4;72,7;
2011-03-31;264,1;25,8;20,2;17;88;
2011-04-30;71,7;26,1;19,4;15,5;84,2;
2011-05-31;8,7;23,3;16,1;11,6;84,3;
2011-06-30;37,2;22,5;14,7;9,6;82,7;
2011-07-31;7,2;23,9;15,6;9,4;76,8;
2011-08-31;4,6;26,5;17,8;11,5;68,8;
2011-09-30;11,5;25,9;17,5;11,2;66,9;
2011-10-31;144,2;24,7;18,6;14,5;81,9;
2011-11-30;204,4;23,6;17,9;14,1;82,6;
2011-12-31;400;25,2;19,8;16,3;89,7;
2012-01-31;325;26;19,9;16,1;85,8;
2012-02-29;51;27,7;21;16,2;80,4;
2012-03-31;198,1;26,9;20,3;15,6;84,8;
2012-04-30;42,8;25,9;19,5;15,3;87,2;
2012-05-31;105;21,8;15,8;11,7;87,6;
2012-06-30;69,3;23,4;16,8;12,6;86,6;
2012-07-31;2,3;23,2;15,6;9,4;77,3;
2012-08-31;14,3;22,4;15,2;10;80,9;
2012-09-30;26,4;26,2;17,9;11,1;69,6;
2012-10-31;81,1;27,6;20,3;14,3;69,1;
2012-11-30;161,8;25;19,2;15,8;85,2;
2012-12-31;135,3;null;null;17,7;80,3;
2013-01-31;403,5;null;null;16,9;86,9;
2013-02-28;61,9;null;null;16,8;78,2;
2013-03-31;184,4;null;null;16,8;88,2;
2013-04-30;45,2;null;null;14,1;87,7;
2013-05-31;62,7;null;null;11,8;85,2;
2013-06-30;23,8;null;null;12,1;86,6;
2013-07-31;15,3;null;null;10,2;82;
2013-08-31;3,9;null;null;10,8;71,1;
2013-09-30;75,4;null;null;12,9;76,6;
2013-10-31;149;null;null;13,8;81,7;
2013-11-30;178,1;null;null;15,2;83;
2013-12-31;306,2;null;null;17,1;88;
2014-01-31;171,5;null;null;16,2;75,5;
2014-02-28;33,4;null;null;16,6;72;
2014-03-31;130,3;null;null;16,7;81,8;
2014-04-30;126,4;null;null;15,1;86,2;
2014-05-31;21,3;null;null;11,6;82,4;
2014-06-30;13;null;null;11,4;84,1;
2014-07-31;36,4;null;null;11,1;83;
2014-08-31;61,4;null;null;10,4;74,6;
2014-09-30;14,8;null;null;13;70;
2014-10-31;50,6;null;null;13,8;70,2;
2014-11-30;337,3;null;null;15,6;82;
2014-12-31;137,6;null;null;16,7;80,2;
2015-01-31;81,2;null;null;16,6;74,4;
2015-02-28;192,9;null;null;16,9;83,8;
2015-03-31;347,5;null;null;16,7;86,4;
2015-04-30;40,1;null;null;15,2;85,8;
2015-05-31;66,6;null;null;13,1;88,5;
2015-06-30;17,8;null;null;11,4;84,9;
2015-07-31;12,3;null;null;11,5;81,4;
2015-08-31;17,9;null;null;11,4;75,3;
2015-09-30;130,6;null;null;14,4;74,7;
2015-10-31;92,2;null;null;16,3;73,5;
2015-11-30;208,5;null;null;17,8;84,4;
2015-12-31;270,4;null;null;17,3;83,1;
2016-01-31;280,7;null;null;17,3;86,3;
2016-02-29;193,4;null;null;17,2;79,2;
2016-03-31;177,4;null;null;17,6;83,7;
2016-04-30;38,2;null;null;15,5;75,6;
2016-05-31;20,6;null;null;13,6;86,8;
2016-06-30;44,8;null;null;10,8;86,5;
2016-07-31;0;null;null;10,8;75,5;
2016-08-31;17,8;null;null;11,8;71,3;
2016-09-30;80,2;null;null;13,9;73,7;
2016-10-31;53,2;null;null;15,5;83;
2016-11-30;330,9;null;null;15,8;86,5;
2016-12-31;162,2;null;null;16,6;78,6;
2017-01-31;109,7;null;null;17,6;78,5;
2017-02-28;213,4;null;null;17,2;81,9;
2017-03-31;75,2;null;null;16,1;81,3;
2017-04-30;67,8;null;null;15,1;86,8;
2017-05-31;77,4;null;null;12,4;87,1;
2017-06-30;27,8;null;null;11,7;84,3;
2017-07-31;9,8;null;null;9,9;84,2;
2017-08-31;0;null;null;10,7;78,5;
2017-09-30;7,2;null;null;12,1;64,2;
2017-10-31;105,6;null;null;15,8;70,9;
2017-11-30;145,2;null;null;15,3;82;
2017-12-31;282,9;null;null;16,9;85,3;
2018-01-31;218,6;null;null;17,1;83,4;
2018-02-28;127,3;null;null;16,7;null;
2018-03-31;188,6;null;null;17,5;null;
2018-04-30;5,6;null;null;null;null;
2018-05-31;6,2;null;null;12;null;

