Nome: JUIZ DE FORA
Codigo Estacao: 83692
Latitude: -21.76999999
Longitude: -43.36444444
Altitude: 936.9
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;272,8;29,4;23,1;17,9;74,8;
2010-02-28;76,7;29,2;23,3;19,1;72,3;
2010-03-31;366,9;27,2;21,3;18,4;83;
2010-04-30;104,1;24,7;19,6;16,2;81,4;
2010-05-31;46,4;23,2;17,8;14,6;81;
2010-06-30;0;21,2;15,6;12;77,1;
2010-07-31;19,6;22,3;17,1;13,9;78,2;
2010-08-31;,4;23,5;17,1;12,6;65,4;
2010-09-30;37,5;24,9;18,7;14,4;70,3;
2010-10-31;114,2;24,8;18,5;14,4;79,5;
2010-11-30;275,1;24,7;19,6;16,4;86,1;
2010-12-31;472,7;27,8;21,9;18,5;84,9;
2011-01-31;316,1;28;22,5;18,9;80,6;
2011-02-28;52,6;30,1;23,6;19,2;71,4;
2011-03-31;327,2;25,7;20,8;18;87,8;
2011-04-30;151,5;25,6;20,2;17;84,6;
2011-05-31;13,5;21,7;16,7;13,9;85,3;
2011-06-30;16,6;21,1;15,7;12,3;92,8;
2011-07-31;3,2;22,9;16,5;12,7;92,5;
2011-08-31;9,2;25,4;18,4;13,9;83,5;
2011-09-30;2,7;25,1;17,8;12,8;70,9;
2011-10-31;122,6;24,8;19,5;15,8;79,4;
2011-11-30;316,7;23,9;18,3;14,7;81,7;
2011-12-31;345,4;25;20,2;17;87,2;
2012-01-31;397,3;25,7;20,5;17,3;83,9;
2012-02-29;108;28,3;22,4;18,1;73,7;
2012-03-31;92,6;27,4;21,4;17,7;78,7;
2012-04-30;71;25,7;20,3;16,9;82,5;
2012-05-31;107,5;20,6;16,3;13,4;84,4;
2012-06-30;53,8;null;null;15;null;
2012-07-31;4,2;23,1;17,3;13,6;73,9;
2012-08-31;5;22,4;16,7;13,2;75,3;
2012-09-30;72,9;25,6;18,8;14;68,2;
2012-10-31;49,4;27,9;21,1;16,1;66,8;
2012-11-30;273,6;24,6;19,4;16,3;86;
2012-12-31;209,2;30;23,4;19,1;76,9;
2013-01-31;291,3;26,3;21;18;85,2;
2013-02-28;102,4;28,9;23;19,1;74,5;
2013-03-31;398,5;26,5;20,8;17,7;86,2;
2013-04-30;56,1;23,5;18,6;15,6;83;
2013-05-31;56,5;22,9;17,5;14,2;80,5;
2013-06-30;27,7;22,6;17,6;15;85,4;
2013-07-31;59,9;21,6;16,1;12,9;79,2;
2013-08-31;11,5;23,9;17,5;13,2;69;
2013-09-30;94,4;24,2;18,3;14,4;73,2;
2013-10-31;57,9;24,2;18,8;15,4;76,4;
2013-11-30;168,1;25,1;19,8;16,1;80,4;
2013-12-31;484;26,9;21,2;17,9;86;
2014-01-31;130,5;30,1;23,6;18,7;67,5;
2014-02-28;60,2;29,3;23,3;18,6;66;
2014-03-31;95;27,6;21,6;17,9;77,6;
2014-04-30;130,2;25,4;19,7;16,6;81,8;
2014-05-31;11,1;24,6;18,7;14,6;75,2;
2014-06-30;33,6;null;null;14,3;80,2;
2014-07-31;30,1;null;null;13,2;79,6;
2014-08-31;11,6;23,4;17,3;13,1;69,1;
2014-09-30;4,9;27,1;19,7;14,8;64,3;
2014-10-31;63,1;27,7;20,6;15,7;64,1;
2014-11-30;180,2;26,8;20,5;16,6;76,4;
2014-12-31;155,7;28,4;22,4;18,3;74,1;
2015-01-31;145,8;31,2;24,2;19,5;66,6;
2015-02-28;100;28,7;22,6;18,7;75,9;
2015-03-31;167,2;27,5;21,7;18,2;81,2;
2015-04-30;39,8;25,4;19,8;16,4;81;
2015-05-31;48,4;22,2;17,5;14,9;83,8;
2015-06-30;33,3;22,2;17,1;13,9;79,3;
2015-07-31;23,8;23,1;17,8;14,2;77,1;
2015-08-31;24,8;23,7;17,9;14,1;71,4;
2015-09-30;123,2;25,6;20,2;16,3;75;
2015-10-31;63,3;27,8;21,3;17;73,1;
2015-11-30;238,3;28,2;22,1;18,7;83,3;
2015-12-31;286,1;29;22,9;18,9;78,5;
2016-01-31;355,8;27;21,9;18,4;82,4;
2016-02-29;229;30,4;23,4;19,1;75,1;
2016-03-31;147,3;27,8;22,2;18,5;83,4;
2016-04-30;35,8;28,3;22,3;18,2;73,3;
2016-05-31;17,9;23,4;18,2;14,8;82,7;
2016-06-30;35,1;21,1;15,9;12,9;82,5;
2016-07-31;7,3;22,8;17;13,5;74,4;
2016-08-31;10,1;25,1;18,2;13,7;70;
2016-09-30;60,2;25,6;19,1;14,9;72,6;
2016-10-31;72,3;25;19,5;15,9;81,1;
2016-11-30;406,6;null;null;16,4;82,2;
2016-12-31;334,7;null;null;18;76,9;
2017-01-31;185,4;null;null;19,1;76,2;
2017-02-28;48,8;null;null;18,1;null;
2017-03-31;96,7;null;null;17,9;78,2;
2017-04-30;74,4;null;null;16,4;84,3;
2017-05-31;98,3;null;null;14,6;83,8;
2017-06-30;14,3;null;null;14,1;80,1;
2017-07-31;6,2;null;null;12,1;78,4;
2017-08-31;14,4;null;null;12,8;76,1;
2017-09-30;7,7;null;null;14,4;62,9;
2017-10-31;108,9;null;null;16,7;71,9;
2017-11-30;199,5;null;null;16;81,8;
2017-12-31;88,9;null;null;18,1;82,1;
2018-01-31;263,7;28,7;22,3;18,4;78,9;
2018-02-28;263,7;27,1;21,5;18,1;84,8;
2018-03-31;248,9;28,1;22,3;19,2;83,6;
2018-04-30;95,2;25,2;19,8;16,7;81,3;
2018-05-31;15,1;23,7;18;14,9;81,8;
2018-06-30;19,2;22,9;17,8;14,7;86,1;
2018-07-31;12,8;24,1;17,9;13,8;79,5;
2018-08-31;66,1;21,6;16,6;13,5;86,9;
2018-09-30;76,7;24,9;19,1;15,7;86,5;
2018-10-31;85,9;24,4;19,5;16,1;88,8;
2018-11-30;225,7;25,1;19,8;16,5;89,3;
2018-12-31;381;27,8;21,8;18;83,3;
2019-01-31;84,3;31,1;24,5;20,1;76,3;
2019-02-28;244,3;28,9;22,7;19,2;88,1;
2019-03-31;149,3;28;22,1;18,7;82,2;
2019-04-30;175;26,8;21,4;18,2;85,9;
2019-05-31;22,2;25;19,9;16,8;84;
2019-06-30;29,9;23,5;18,2;14,9;81,2;
2019-07-31;4,7;23,2;17;12,9;79;
2019-08-31;15,3;22,8;16,9;12,9;76,4;
2019-09-30;52,5;26;19,7;15,9;77,6;
2019-10-31;97,1;27;20,8;16,7;77,7;
2019-11-30;210,8;25,4;20,2;16,9;87,1;
2019-12-31;274,8;26,8;21,3;17,6;84,7;
2020-01-31;373,7;27,6;21,8;18,6;88,1;
2020-02-29;345,5;26,5;21,3;18,4;87,9;
2020-03-31;175,6;25,7;20,4;17,1;84,1;
2020-04-30;50,8;23,8;18,9;15,7;85,2;
2020-05-31;null;22,8;null;13,7;null;
2020-06-30;12,5;23,8;18,4;14,8;78,1;
2020-07-31;,6;23,4;17,7;14,1;78,3;
2020-08-31;15,1;23,7;17,4;13,3;75,2;
2020-09-30;27,9;28,8;21,8;16,7;66,4;
2020-10-31;89,9;26,1;20,4;17;80,5;
2020-11-30;null;null;null;null;null;
2020-12-31;362,8;27,3;21,9;18,5;86,8;
2021-01-31;339,7;28,3;22,5;18,5;81,4;
2021-02-28;234,7;26,3;21,2;17,9;86,3;
2021-03-31;93,6;28,1;22,2;18,6;81,6;
2021-04-30;54,7;24;18,7;15,5;84,3;
2021-05-31;7;23,7;18,2;14,9;86,7;
2021-06-30;15,2;21,6;16,5;13,3;85,1;
2021-07-31;0;21,7;15,7;11,1;76,3;
2021-08-31;45,7;22,9;17,3;13,5;81,9;
2021-09-30;48,8;26,5;20,2;15,7;76,5;
2021-10-31;267,4;22,8;18,3;15,4;89,3;
2021-11-30;265,8;24,6;19;15,9;85,3;
2021-12-31;345,6;25,5;19,8;16,7;87,7;
2022-01-31;331,3;27;22;18,5;86,3;
2022-02-28;372,4;26,6;21,2;18;91,1;
2022-03-31;57,4;28,7;22,7;18,3;81,9;
2022-04-30;40,7;25,2;20,1;16,7;83,9;
2022-05-31;11,6;22,9;17,6;13,9;76,7;
2022-06-30;,8;22,1;16,4;12,9;81,6;
2022-07-31;0;23,8;17,7;13,6;74,9;
2022-08-31;11,2;22,3;16,9;12,5;74,1;
2022-09-30;134,2;23,1;17,1;12,8;76,6;
2022-10-31;150;26;20,3;16,3;79,7;
2022-11-30;189,3;24,1;18,6;14,9;84;
2022-12-31;338,4;25,1;20,1;17,2;85,7;
2023-01-31;464,2;26,4;21,3;17,8;85,6;
2023-02-28;187,6;29;22,7;18,6;79,8;
2023-03-31;71;28,3;22,3;18;77,5;
2023-04-30;79,6;24,5;19,6;16,3;84,7;
2023-05-31;5,8;22,5;17,7;14,4;80,9;
2023-06-30;13,2;23;17,3;13,2;75;
2023-07-31;9,3;22,3;16,8;13,1;77,8;
2023-08-31;69,4;24,2;18,4;14,4;77,1;
2023-09-30;11,6;26,8;20,5;16;74,1;
2023-10-31;283,3;25,9;21;17,6;86,5;
2023-11-30;84,4;28,8;22,4;18,2;74,6;
2023-12-31;164,1;28,4;22,7;18,3;77,5;
2024-01-31;264,1;27,4;22;18,5;85,5;
2024-02-29;283,5;27,8;22,3;18,5;83,8;
2024-03-31;154,7;27,1;22;18,8;87,4;
2024-04-30;7,7;26,9;21,3;17,3;80,8;
2024-05-31;37,8;26,3;20,7;16,8;77,5;
2024-06-30;0;24,4;18,8;15,1;73,7;
2024-07-31;11,7;24;18,1;14,2;73,7;
2024-08-31;25;25,7;18,5;13,5;65,7;
2024-09-30;23,2;28,3;21,2;16,4;65,9;
2024-10-31;239,9;25,5;20;16,3;80,3;
2024-11-30;226,9;25,4;20,5;17,3;83,3;
2024-12-31;253,1;27,3;21,7;18,6;83,8;

