Nome: ITAPERUNA
Codigo Estacao: 83695
Latitude: -21.20444444
Longitude: -41.90555555
Altitude: 123.6
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;99,3;35,3;28,4;23,2;64,3;
2010-02-28;59,9;36,4;28,7;23,4;61,9;
2010-03-31;129,3;33;26,9;22,9;74,2;
2010-04-30;55,2;30,5;24,5;20,3;74,3;
2010-05-31;21,6;29,2;22,5;17,9;75,8;
2010-06-30;0;27,5;19,9;14;69;
2010-07-31;23,3;28,1;21,6;16,7;73;
2010-08-31;11,7;28,9;20,9;14,7;63,7;
2010-09-30;14,6;31,1;23,5;17,7;62,3;
2010-10-31;156,3;29,6;23,7;19,9;69,3;
2010-11-30;362,3;29,2;24,1;20,8;79,9;
2010-12-31;383,7;32,5;26,7;22,9;75,3;
2011-01-31;70,3;33,3;27,3;23;71,7;
2011-02-28;56,4;35,2;27,7;22,8;64,5;
2011-03-31;480,8;30;25,2;22,3;82,4;
2011-04-30;52;30;24,8;21,4;78;
2011-05-31;22,6;27,2;21,3;17;75,9;
2011-06-30;11,6;26,5;20,1;15,5;75,3;
2011-07-31;2,9;27,6;20,2;14,6;71,1;
2011-08-31;0;30,1;22,5;16,7;65,3;
2011-09-30;12,2;29;21,9;16,6;63,4;
2011-10-31;149,9;29,7;23,8;19,9;72,3;
2011-11-30;152,6;28,5;23,1;19,4;73,3;
2011-12-31;176,8;30;25,1;21,9;78,8;
2012-01-31;345,5;31,1;25,6;21,9;74,5;
2012-02-29;11;33,5;26,9;21,9;65,2;
2012-03-31;207,1;32,5;26,3;22;70,6;
2012-04-30;88;30,5;24,9;21,1;77,4;
2012-05-31;130,4;26,8;21,4;17,5;82;
2012-06-30;14,7;27,8;21,9;17,9;81,7;
2012-07-31;9,5;28,9;21,1;15,4;72,8;
2012-08-31;38,2;27,8;21,1;16,4;73,2;
2012-09-30;44,9;30,4;23;17,3;66,1;
2012-10-31;38;33,3;25,9;20,5;60,6;
2012-11-30;235,8;29,4;24,3;21,1;77,4;
2012-12-31;61,5;34,6;28;23,5;68,3;
2013-01-31;200,7;32,5;26,7;22,7;71,2;
2013-02-28;72,1;33,7;27,2;22,6;68,9;
2013-03-31;275;31;25,8;22,3;78,8;
2013-04-30;18,6;28,9;23,4;19,6;77,7;
2013-05-31;30,1;28,5;22;17,4;76,3;
2013-06-30;31,6;28,6;22;17,7;78,3;
2013-07-31;16,2;27,8;21,2;16,4;71,5;
2013-08-31;34,1;29,2;21,5;15,8;68,8;
2013-09-30;51,9;29,7;23,1;18,3;68,4;
2013-10-31;49,1;29,8;23,7;19,4;69;
2013-11-30;159;31;24,8;20,6;72,3;
2013-12-31;436,1;31,2;25,6;22,2;80,1;
2014-01-31;21;34,7;27,7;22,8;63,8;
2014-02-28;66,9;35;27,8;22,7;61,4;
2014-03-31;139,2;32;26,1;22,2;72,6;
2014-04-30;102,1;30,3;24,6;20,9;76;
2014-05-31;47;28,9;22,5;17,6;74,1;
2014-06-30;6,3;28,7;21,7;16,9;75,2;
2014-07-31;28,8;27;21;16,7;74,1;
2014-08-31;18,9;29,1;21,4;15,7;66,7;
2014-09-30;10,7;32,3;24,1;17,9;58,6;
2014-10-31;158,8;31,8;24,5;19;62,1;
2014-11-30;266,3;31;24,9;20,7;70,9;
2014-12-31;103,9;33,5;26,8;22,2;69,4;
2015-01-31;12,7;37,7;29,4;23,2;57,1;
2015-02-28;103,2;35,5;27,8;23;67,7;
2015-03-31;126,9;33,4;26,8;22,5;70,4;
2015-04-30;65,3;30,6;24,5;20,3;72,6;
2015-05-31;72,8;27,4;21,9;18,1;80;
2015-06-30;32,8;27,8;21,2;16,8;78,1;
2015-07-31;7,9;28,7;22;17,3;74,3;
2015-08-31;20;29,9;22,7;17,4;65;
2015-09-30;83,7;31,1;24,6;19,9;70,1;
2015-10-31;84,2;33;25,7;20,8;64,9;
2015-11-30;141,4;32,8;26,8;23,2;74,8;
2015-12-31;209,1;33,9;27,3;22,8;70,4;
2016-01-31;168,5;32,2;26,8;22,9;75,2;
2016-02-29;100,9;35,3;28;23,2;68;
2016-03-31;143,1;33,2;27,1;23;73,8;
2016-04-30;29,3;34,2;26,9;21,7;65,9;
2016-05-31;23,7;29,5;23,1;18,4;73;
2016-06-30;66;25,6;20,2;16,4;80;
2016-07-31;,3;28,3;21,4;16,7;69,8;
2016-08-31;6,3;30,9;22,7;16,9;63,6;
2016-09-30;77,9;31,5;24,2;19,4;65,2;
2016-10-31;33;30,7;24,5;20,4;69,9;
2016-11-30;174,6;31,2;25,1;20,8;72,6;
2016-12-31;174,2;32,4;26,3;22,2;75,1;
2017-01-31;107,2;35;28,1;23,2;null;
2017-02-28;140,6;33,6;26,9;22,7;null;
2017-03-31;59,1;33,3;26,5;21,9;69,8;
2017-04-30;64,6;31,4;25;20,7;71,3;
2017-05-31;64;28,4;22,6;18,2;75,1;
2017-06-30;52,7;28,5;21,9;17,4;76,4;
2017-07-31;25,5;25,7;19,7;15,4;77,9;
2017-08-31;6,6;28,4;21,3;15,8;65,5;
2017-09-30;0;31,5;23,2;17,1;61,3;
2017-10-31;15;33,8;26,1;21,2;61,9;
2017-11-30;214,2;30,7;25,1;21,1;70,7;
2017-12-31;120,3;31,8;26,3;22,6;72,2;
2018-01-31;217,3;34,2;27,5;23,2;null;
2018-02-28;119,3;32;26,4;22,6;null;
2018-03-31;236,7;32,5;26,7;23,1;77;
2018-04-30;64,6;29,9;24,4;20,7;76,9;
2018-05-31;14,3;28,4;22,4;18,1;76,3;
2018-06-30;16;29;22,4;18;74,2;
2018-07-31;43;29,2;21,6;16,1;71,6;
2018-08-31;52;27,1;21,6;17,7;75,8;
2018-09-30;60,8;29,9;23,6;19;69,8;
2018-10-31;87,7;30,4;24,7;20,8;73,4;
2018-11-30;144,5;30,5;24,9;21,2;77,5;
2018-12-31;173,9;32,5;26,4;21,9;71,8;
2019-01-31;32,7;36,8;29,1;23,5;null;
2019-02-28;154;34,5;28;23,7;null;
2019-03-31;167,4;33,1;26,7;23;73,9;
2019-04-30;76,9;32,6;26,3;22,3;75,1;
2019-05-31;49,5;30,4;24,8;21,2;78,2;
2019-06-30;3,1;29,4;null;null;null;
2019-07-31;1,1;29,2;21,2;15,7;null;
2019-08-31;30,5;28,2;21,5;16,8;null;
2019-09-30;39;31;24,1;19,4;null;
2019-10-31;39,3;33;25,6;21,1;null;
2019-11-30;238,2;30,9;25,2;21,5;null;
2019-12-31;233,6;31,6;26;22,1;null;
2020-01-31;322,9;32,3;26,7;22,9;null;
2020-02-29;352,2;32;26,3;22,8;null;
2020-03-31;null;30,6;25,3;21,7;null;
2020-04-30;39,4;29,3;23,6;19,9;null;
2020-05-31;null;null;null;null;null;
2020-06-30;2,8;28,9;21,4;16,3;null;
2020-07-31;8,6;28,8;21,5;16,5;null;
2020-08-31;24,6;29,1;21,9;16,3;null;
2020-09-30;37,3;32,8;25;19,3;null;
2020-10-31;144,4;30,8;25;20,9;null;
2020-11-30;null;null;null;null;null;
2020-12-31;187,9;33;26,4;22,3;null;
2021-01-31;98,5;34,2;27,2;22;null;
2021-02-28;142;32,4;26,3;22,2;null;
2021-03-31;56,8;34,2;26,9;21,8;null;
2021-04-30;37,6;30,6;23,8;18,7;null;
2021-05-31;null;null;null;null;null;
2021-06-30;34,2;27,8;21;16,6;null;
2021-07-31;0;27,9;20,2;14,4;null;
2021-08-31;24,8;29,2;21,8;16,9;null;
2021-09-30;49,7;31,4;24,4;19,9;null;
2021-10-31;236;27,9;23,2;20,1;null;
2021-11-30;190,3;29,4;23,8;19,7;null;
2021-12-31;351,9;30,7;25,1;21,3;null;
2022-01-31;196,2;32,8;26,8;22,4;null;
2022-02-28;436,7;31,8;26;22,4;null;
2022-03-31;null;null;null;null;null;
2022-04-30;200;32;null;null;null;
2022-05-31;31,4;29,1;null;null;null;
2022-06-30;6,9;27,9;19,7;14,6;null;
2022-07-31;0;29,7;21,9;16,3;null;
2022-08-31;1,8;28,9;22;16,5;null;
2022-09-30;47,1;29,1;22,4;17,5;null;
2022-10-31;148;31,4;25,1;21;null;
2022-11-30;255,2;28,6;23,6;19,6;null;
2022-12-31;258,5;30,3;25,2;21,8;null;
2023-01-31;253;31,8;26;22,5;null;
2023-02-28;null;null;null;null;null;
2023-03-31;23,1;34,5;27,4;22,6;null;
2023-04-30;96,8;30,8;24,9;21,2;null;
2023-05-31;26,3;28,3;22,1;17,7;null;
2023-06-30;4;29,2;21;14,8;null;
2023-07-31;35,3;28,2;21,1;15,8;null;
2023-08-31;80,1;29,6;22,9;17,7;null;
2023-09-30;26,2;31,5;24,9;19,7;null;
2023-10-31;91;31,8;25,9;21,9;null;
2023-11-30;71,7;34,7;28,4;22,6;null;
2023-12-31;220,8;34,5;27,6;22,9;null;
2024-01-31;177,4;32,6;27,1;23,2;null;
2024-02-29;137,7;33,5;27,2;23,2;null;
2024-03-31;null;null;null;null;null;
2024-04-30;24,4;31,7;25,6;21,5;null;
2024-05-31;4,4;32,3;25,5;20,3;null;
2024-06-30;,1;31;22,4;16,6;null;
2024-07-31;0;30,6;22,7;17,2;null;
2024-08-31;12,3;31;22,6;16,4;null;
2024-09-30;,1;33,9;25,6;20,1;null;
2024-10-31;62,4;32;25,5;21;null;
2024-11-30;125,2;31,6;25,6;21,4;null;
2024-12-31;341;32,6;26,8;22,8;null;

