Nome: SANTA MARIA MADALENA
Codigo Estacao: 83696
Latitude: -21.96805554
Longitude: -42.00305555
Altitude: 640
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;89,1;31,2;null;18,9;null;
2010-02-28;136,4;31,3;null;19,5;null;
2010-03-31;199,7;28,8;null;19,3;null;
2010-04-30;99,7;26,3;null;16,4;null;
2010-05-31;76,8;24,1;null;14,7;null;
2010-06-30;3,4;22,2;null;11,8;null;
2010-07-31;76,1;23,2;null;13,5;null;
2010-08-31;21,6;23,9;null;11,6;null;
2010-09-30;47,1;25,1;null;14,2;null;
2010-10-31;null;null;null;null;null;
2010-11-30;270,3;26;null;17;null;
2010-12-31;367,1;29,2;null;18,8;null;
2011-01-31;211,9;29,2;null;18,3;null;
2011-02-28;69;30,5;null;18,2;null;
2011-03-31;298,1;26,2;null;18,6;null;
2011-04-30;73,6;26,3;null;17,2;null;
2011-05-31;76,5;23,3;null;13,5;null;
2011-06-30;45,8;22;null;11,6;null;
2011-07-31;31,3;22,6;null;11,7;null;
2011-08-31;35,3;24,9;null;13,2;null;
2011-09-30;null;null;null;null;null;
2011-10-31;155;26,1;null;16,9;null;
2011-11-30;236,9;23,9;null;15,4;null;
2011-12-31;293,8;26,1;null;17,9;null;
2012-01-31;342;27;null;17,9;null;
2012-02-29;63,1;29;null;17,6;null;
2012-03-31;169,2;28;null;18;null;
2012-04-30;119;26,2;null;16,7;null;
2012-05-31;null;null;null;null;null;
2012-06-30;41,7;23,5;null;15,2;null;
2012-07-31;8,3;23,8;null;13;null;
2012-08-31;55,5;23,2;null;12,9;null;
2012-09-30;52,1;25,2;null;14,2;null;
2012-10-31;30,8;28,3;null;16,3;null;
2012-11-30;407,8;25,4;null;17,4;null;
2012-12-31;66,2;31,2;null;19,5;null;
2013-01-31;208,4;28,1;null;18,7;null;
2013-02-28;184,2;29,9;null;18,3;null;
2013-03-31;288,4;27,5;null;19,1;null;
2013-04-30;null;null;null;null;null;
2013-05-31;58,8;24,1;null;13,1;null;
2013-06-30;46,5;24,1;null;13,7;null;
2013-07-31;78,1;22,6;null;12,3;null;
2013-08-31;90,6;24,4;null;11,6;null;
2013-09-30;71,5;24,7;null;13,8;null;
2013-10-31;125,3;24,7;null;15,4;null;
2013-11-30;199,7;26;null;16,7;null;
2013-12-31;290,5;27,2;null;18,5;null;
2014-01-31;51,2;31;null;18,1;null;
2014-02-28;57,5;30,8;null;17,2;null;
2014-03-31;null;null;null;null;null;
2014-04-30;133,8;26,5;null;16,3;null;
2014-05-31;13,2;24,8;null;13,4;null;
2014-06-30;75,1;24,1;null;12,8;null;
2014-07-31;67,1;22;null;12,5;null;
2014-08-31;29,5;23,6;null;11;null;
2014-09-30;23,7;25,8;null;13,1;null;
2014-10-31;82,3;26,7;null;14,3;null;
2014-11-30;135,1;26,7;null;16,6;null;
2014-12-31;244,1;29,6;null;17,8;null;
2015-01-31;74,8;32,3;null;18,3;null;
2015-02-28;84,2;30,1;null;18,6;null;
2015-03-31;175,1;28,5;null;17,9;null;
2015-04-30;110,7;26,5;null;15,9;null;
2015-05-31;null;null;null;null;null;
2015-06-30;71;23,4;null;12,9;null;
2015-07-31;83,6;24;null;13;null;
2015-08-31;8,1;24,7;null;12,2;null;
2015-09-30;63,5;26,6;null;15,3;null;
2015-10-31;61,4;28,2;null;16,3;null;
2015-11-30;245,8;28,6;null;19,5;null;
2015-12-31;137,4;29,7;null;19,4;null;
2016-01-31;336,7;28,3;null;19;null;
2016-02-29;54,2;31,8;null;19;null;
2016-03-31;null;null;null;null;null;
2016-04-30;43,6;29,8;null;16,7;null;
2016-05-31;54,3;24,7;null;14,5;null;
2016-06-30;67,9;21,7;null;11,6;null;
2016-07-31;16,8;23,4;null;11,2;null;
2016-08-31;51,8;25,1;null;12,5;null;
2016-09-30;63,8;25,9;null;15,1;null;
2016-10-31;109,6;25,5;null;16;null;
2016-11-30;289,2;26,6;null;16,7;null;
2016-12-31;265,4;28,5;null;18;null;
2017-01-31;124,8;30,6;null;18,7;null;
2017-02-28;68,2;29,3;null;18;null;
2017-03-31;null;null;null;null;null;
2017-04-30;137,7;25,9;null;16,4;null;
2017-05-31;88,2;23,7;null;13,2;null;
2017-06-30;57;23,8;null;13,4;null;
2017-07-31;54,3;21,8;null;10,7;null;
2017-08-31;19;23,1;null;11,4;null;
2017-09-30;5,7;26,3;null;12,2;null;
2017-10-31;48,4;28,5;null;16,3;null;
2017-11-30;171,5;25,5;null;16,5;null;
2017-12-31;130,9;28;null;18,3;null;
2018-01-31;null;null;null;null;null;
2018-02-28;170,7;27,9;null;18,4;null;
2018-03-31;180,7;28,7;null;18,6;null;
2018-04-30;195;25,7;null;15,9;null;
2018-05-31;82,3;24,2;null;14;null;
2018-06-30;10,8;24,2;null;13,2;null;
2018-07-31;50,5;24,8;null;10,8;null;
2018-08-31;56,6;22,7;null;13;null;
2018-09-30;65,3;25,4;null;14,7;null;
2018-10-31;85,6;25,5;null;17,1;null;
2018-11-30;129,8;26,3;null;17,3;null;
2018-12-31;88,3;29,2;null;17,7;null;
