Nome: CAMPOS
Codigo Estacao: 83698
Latitude: -21.74249999
Longitude: -41.33277777
Altitude: 11.2
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;18,8;34,3;28,4;24,5;69,8;
2010-02-28;54,8;34,6;28,6;24,9;69,4;
2010-03-31;115,3;33,2;27,4;24;77,3;
2010-04-30;41,6;30,8;25,3;21,6;76,4;
2010-05-31;31,2;29,1;23,4;19,5;77,8;
2010-06-30;26,5;26,8;20,6;16,5;76,2;
2010-07-31;53,8;27,4;22;18,5;80,1;
2010-08-31;7,2;27,9;21,5;17,1;72,6;
2010-09-30;8,8;29;23,1;19,1;73,4;
2010-10-31;99,8;29,1;23,9;20,3;72,6;
2010-11-30;127,4;29,6;24,6;21,3;80;
2010-12-31;85,3;32,7;27,1;23,8;75,2;
2011-01-31;120,2;33;27,3;23,7;74,2;
2011-02-28;5,3;34,3;28;24,2;69,6;
2011-03-31;192,3;30,7;26;23,1;80,7;
2011-04-30;28,4;30,9;25,9;22,5;76,5;
2011-05-31;42,1;28;22,5;18,6;74,8;
2011-06-30;9;27;21,4;17,4;74,6;
2011-07-31;3,1;27,6;21,3;16,9;73,1;
2011-08-31;20,2;29,1;22,6;18,5;72,6;
2011-09-30;12,1;28;22,1;17,9;67,8;
2011-10-31;102,5;28,7;23,6;20,3;77,1;
2011-11-30;96,4;28;23,5;19,7;74,5;
2011-12-31;109,9;29,9;25,2;22,3;80;
2012-01-31;203,3;30,7;25,8;22,3;76,5;
2012-02-29;17,9;32,8;26,7;22,8;71,3;
2012-03-31;90,2;32,7;26,3;22,8;75,2;
2012-04-30;11,6;31,3;25,9;22,2;75,7;
2012-05-31;176,1;27,4;22,3;18,7;79,8;
2012-06-30;95,2;28,2;23,1;19,6;79,8;
2012-07-31;6,9;28,6;22,2;17,9;72,1;
2012-08-31;59,6;27,3;22;18,2;75,8;
2012-09-30;21,7;28,4;22,7;18,4;70,9;
2012-10-31;6,1;31,4;25,3;21,1;68,8;
2012-11-30;159;28,9;24,5;21,5;78,4;
2012-12-31;14;34,6;28,1;24,3;69,9;
2013-01-31;136,5;32;26,6;23,3;73,7;
2013-02-28;49,9;33,1;27,4;23,7;72,7;
2013-03-31;215;31,8;26,4;23,3;77,4;
2013-04-30;50;29,3;24,5;21;76,4;
2013-05-31;46,1;28,5;23,1;19,3;78,1;
2013-06-30;9,6;28,5;23;19,3;80,2;
2013-07-31;100,3;27,1;21,6;17,9;79,1;
2013-08-31;75,3;28,2;22,1;17,7;75,8;
2013-09-30;53,3;28,1;23;19,3;75,9;
2013-10-31;20,9;28,9;23,9;20,5;74,9;
2013-11-30;186,1;29,5;24,9;21,3;76,8;
2013-12-31;234,1;30,6;25,9;23,2;81,9;
2014-01-31;23,3;33,5;27,4;23,5;71,5;
2014-02-28;5,8;34;27,9;23,8;68,1;
2014-03-31;143,8;32,3;26,7;23,1;74,4;
2014-04-30;112,1;30,5;25,2;21,8;78;
2014-05-31;2,1;29,1;23,7;20;74,9;
2014-06-30;26,7;28,2;22,8;19,1;78,5;
2014-07-31;167,6;26,2;21,6;18,3;79,4;
2014-08-31;13,5;27,3;21,5;17,3;76,3;
2014-09-30;4,1;29;23,6;19,3;68,4;
2014-10-31;24,4;29,3;23,9;19,7;70,4;
2014-11-30;98,8;30,3;25,4;22;70,3;
2014-12-31;53,8;33,4;27,3;23,2;69,2;
2015-01-31;0;35,9;28,6;24;64,3;
2015-02-28;49,5;35;28;24,1;69,8;
2015-03-31;144,4;33,2;27,4;23,9;73,2;
2015-04-30;43,5;30,9;25,3;21,8;73,9;
2015-05-31;113,6;27,4;22,7;19,4;80,2;
2015-06-30;45,4;27,4;22,2;18,7;79;
2015-07-31;15;28,3;22,8;19,3;77,8;
2015-08-31;33,4;28,7;22,9;18,6;74,5;
2015-09-30;83,2;29,5;24,1;20,5;76,6;
2015-10-31;69,3;30,3;25,1;21,7;72,6;
2015-11-30;104,7;30,9;26,4;23,5;78,6;
2015-12-31;107,4;32,6;27,3;23,7;74,8;
2016-01-31;153;32;26,7;23,5;75,3;
2016-02-29;50,6;34,7;28,2;24,5;71,5;
2016-03-31;58,6;34;27,8;24,2;72,3;
2016-04-30;14,2;33,5;27,3;23,2;69;
2016-05-31;31,7;29,3;23,8;19,9;73;
2016-06-30;45,6;26,2;21,2;17,6;75,5;
2016-07-31;17;28,3;22,1;18;71,8;
2016-08-31;16,7;29;22,9;18,4;70;
2016-09-30;38,9;29;23,6;19,8;70,6;
2016-10-31;67,7;28,1;23,8;20,8;76,1;
2016-11-30;206;29,4;24,9;21,7;76,1;
2016-12-31;160,2;31,9;26,6;23,1;76;
2017-01-31;52;33,8;27,9;24,1;null;
2017-02-28;40,7;32,7;27,5;24,3;null;
2017-03-31;120,5;32,9;26,8;23;69,5;
2017-04-30;63,7;31,1;25,4;21,8;73;
2017-05-31;104;28,1;23,3;19,4;75,9;
2017-06-30;56,4;28,8;22,9;19,1;76,2;
2017-07-31;102;null;null;16,4;null;
2017-08-31;,5;26,8;21,2;17,4;72,7;
2017-09-30;3,5;28,6;23,1;19,1;69,5;
2017-10-31;13,4;31,2;25,1;21,4;71,9;
2017-11-30;123,5;29,6;24,7;21,2;null;
2017-12-31;164,1;31,1;26,1;22,9;null;
2018-01-31;70,4;null;null;null;null;
2018-02-28;89;32;26,6;23,3;null;
2018-03-31;376,5;32,5;27,1;24;null;
2018-04-30;54,8;30,1;25,1;21,7;null;
2018-05-31;78,8;28,2;23;19,5;null;
2018-06-30;2,6;28;22,7;19,4;null;
2018-07-31;13;28,9;22,4;18,1;null;
2018-08-31;99;26,5;21,3;17,5;null;
2018-09-30;30,2;28,8;23,3;19;null;
2018-10-31;89;28,7;24;20,9;null;
2018-11-30;138,7;29,8;25;21,7;null;
2018-12-31;67,6;32,3;26,4;22,7;null;
2019-01-31;0;null;null;null;null;
2019-02-28;76;35,1;28,3;24,5;null;
2019-03-31;114;32;27,4;24,2;null;
2019-04-30;25,1;31;26,4;23,2;null;
2019-05-31;227,4;29,3;24,8;21,5;null;
2019-06-30;18,7;28,2;23,2;19,6;null;
2019-07-31;9,9;26,8;21,2;17,2;null;
2019-08-31;70,2;26,2;21,3;17,7;null;
2019-09-30;79;27;22,9;20;null;
2019-10-31;29,8;null;null;21,4;null;
2019-11-30;286,9;29,5;24,8;22,1;null;
2019-12-31;116,8;30,9;26;22,6;null;
2020-01-31;185,4;32,1;26,9;23,7;null;
2020-02-29;166,4;30,9;26,5;23,7;null;
2020-03-31;158,6;30,8;25,7;22,4;null;
2020-04-30;null;null;null;null;null;
2020-05-31;null;null;null;null;null;
2020-06-30;7,4;29;23;18,8;null;
2020-07-31;18,8;28,1;22,2;18,3;null;
2020-08-31;29,3;28,5;22,2;18;null;
2020-09-30;64,8;30,6;24,3;20,5;null;
2020-10-31;152,5;29,6;24,9;21,6;null;
2020-11-30;183,5;30,2;null;21,8;null;
2020-12-31;141,9;31,7;26,3;23,1;null;
2021-01-31;27,4;33,1;27,3;23,5;null;
2021-02-28;232,1;31,8;26,3;22,7;null;
2021-03-31;107,8;33,3;27,1;23,4;null;
2021-04-30;63,4;30,5;24,7;20,7;null;
2021-05-31;19,4;29,3;23,6;19,6;null;
2021-06-30;109,8;27,4;21,7;18;null;
2021-07-31;0;27;20,3;15,8;null;
2021-08-31;59,7;27,4;21,6;17,7;null;
2021-09-30;27,8;28,9;23,5;20,4;null;
2021-10-31;174,3;27,3;23,2;20,3;null;
2021-11-30;139,1;28;23,7;20,6;null;
2021-12-31;null;null;null;null;null;
2022-01-31;117,4;32,4;27,2;23,7;null;
2022-02-28;null;null;null;null;null;
2022-03-31;34,1;33,5;27,4;23,5;null;
2022-04-30;83,6;31,7;25,7;21,9;null;
2022-05-31;38,6;28,5;23,2;19,3;null;
2022-06-30;35,2;27,6;21,5;17,4;null;
2022-07-31;,1;29,2;22,6;18;null;
2022-08-31;15;27,8;21,9;18;null;
2022-09-30;66,4;27,7;22;18,2;null;
2022-10-31;48,1;30,3;25;21,7;null;
2022-11-30;313,4;28,1;23,8;20,4;null;
2022-12-31;303,6;29,7;25,2;22,5;null;
2023-01-31;null;null;null;null;null;
2023-02-28;55,8;34;27,7;24,1;null;
2023-03-31;11,3;34;27,7;23,9;null;
2023-04-30;146,5;30,1;25,2;22;null;
2023-05-31;51,1;28,4;23,1;19,4;null;
2023-06-30;5,4;28,8;22,4;18;null;
2023-07-31;42,3;27;21,4;17,5;null;
