Nome: PONTA PORA
Codigo Estacao: 83702
Latitude: -22.5525
Longitude: -55.71638888
Altitude: 668
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2016-01-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;257,8;30,1;24,5;20,4;81,6;
2010-02-28;223;30,9;25,1;21;79,1;
2010-03-31;164,4;31,2;24,8;19,7;73,6;
2010-04-30;79,3;28,4;21,7;16,9;72;
2010-05-31;316,6;23;16,6;12,4;83;
2010-06-30;9,9;25,6;18,3;13,6;73,4;
2010-07-31;71,3;23,4;15,9;10,6;71,2;
2010-08-31;3,1;27,3;18,5;12;53,2;
2010-09-30;299,5;27,7;20,6;15,3;65;
2010-10-31;108,8;27,7;20,9;15,5;67;
2010-11-30;179,8;29,3;22,4;16,6;66,2;
2010-12-31;91,8;31;24,8;19,9;76,5;
2011-01-31;204,4;31,2;24,8;20,2;78,4;
2011-02-28;146,5;30;24,1;20,6;85,1;
2011-03-31;67,5;28,6;23,4;19,7;83,1;
2011-04-30;214;28,6;22,1;17,6;76,3;
2011-05-31;26,2;25,2;18,4;13,3;74,9;
2011-06-30;79,4;23,7;16,3;11;75,2;
2011-07-31;79,2;25;18;12,7;67,8;
2011-08-31;54,5;26,4;18,8;13;63,3;
2011-09-30;50,1;29,7;21,2;14,4;59;
2011-10-31;186,4;29,9;22,9;17,5;68,3;
2011-11-30;163,7;30,1;23,2;17,6;69,3;
2011-12-31;97,9;31,7;25;19,3;63,2;
2012-01-31;230,6;31,4;25,1;20,2;70,4;
2012-02-29;157,5;31,4;24,8;20,2;73,7;
2012-03-31;109,2;30,8;23,7;18,1;67,4;
2012-04-30;286,1;27,5;21,6;17,1;81,1;
2012-05-31;49,4;25,2;19,1;14,6;79,3;
2012-06-30;346,1;22,8;17;13;84,4;
2012-07-31;9,4;23,9;16,9;11,8;71,7;
2012-08-31;26;28,2;20,3;14,4;57,5;
2012-09-30;79,1;30,9;22,7;16,1;52,5;
2012-10-31;210,6;31;24,1;18,6;68;
2012-11-30;171,2;31;24,6;20;72;
2012-12-31;213,8;31,9;25,7;21,3;75,5;
2013-01-31;137,8;31,6;25;19,6;68,7;
2013-02-28;122,9;31,4;24,7;20,3;75,5;
2013-03-31;157,5;30,1;23,9;19,4;75,3;
2013-04-30;232,2;27;20,7;16,4;77,7;
2013-05-31;138,8;25,5;19,4;15,1;79,2;
2013-06-30;247;23,1;17,9;14;87,7;
2013-07-31;10,6;26,1;19,4;12;69,9;
2013-08-31;3,7;null;null;10,5;55,8;
2013-09-30;39,4;null;null;14,7;59,9;
2013-10-31;312,9;null;null;17,3;72,3;
2013-11-30;207;null;null;18,8;69,7;
2013-12-31;60,8;null;null;21;71,2;
2014-01-31;173,1;null;null;20,2;78,7;
2014-02-28;198,5;null;null;null;73,7;
2014-03-31;207,6;null;null;null;76,9;
2014-04-30;77,8;null;null;null;79,8;
2014-05-31;152,7;null;null;null;83,7;
2014-06-30;80,2;null;null;null;82,1;
2014-07-31;149,1;null;null;null;79,2;
2014-08-31;19,4;null;null;null;70,4;
2014-09-30;234,3;null;null;null;76,3;
2014-10-31;101,3;null;null;null;72,5;
2014-11-30;249,6;null;null;null;80,6;
2014-12-31;112;null;null;null;83,3;
2015-01-31;252,5;null;null;null;79;
2015-02-28;131,2;null;null;null;84,6;
2015-03-31;82,1;null;null;null;79,9;
2015-04-30;145,6;null;null;null;85,4;
2015-05-31;167,5;null;null;null;90,2;
2015-06-30;52,6;null;null;null;87,5;
2015-07-31;167,8;null;null;null;91;
2015-08-31;16,1;null;null;null;65,2;
2015-09-30;204,6;null;null;null;70;
2015-10-31;136,5;null;null;null;76,6;
2015-11-30;279,3;null;null;null;82;
2015-12-31;386,9;null;null;null;82,7;
2016-01-31;204;null;null;null;77,6;

