Nome: IVINHEMA
Codigo Estacao: 83704
Latitude: -22.30027777
Longitude: -53.82277777
Altitude: 377.4
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2014-06-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;247,4;null;null;null;null;
2010-02-28;157,1;null;null;null;null;
2010-03-31;98,2;null;null;null;null;
2010-04-30;67,1;null;null;null;null;
2010-05-31;113,3;null;null;null;null;
2010-06-30;7,4;null;null;null;null;
2010-07-31;49,8;null;null;null;null;
2010-08-31;7,4;null;null;null;null;
2010-09-30;409,3;null;null;null;null;
2010-10-31;116,2;null;null;null;null;
2010-11-30;159,9;null;null;null;null;
2010-12-31;239,3;null;null;null;null;
2011-01-31;220,2;null;null;null;null;
2011-02-28;284,3;null;null;null;null;
2011-03-31;148,2;null;null;null;null;
2011-04-30;269,9;null;null;null;null;
2011-05-31;7,8;null;null;null;null;
2011-06-30;84,7;null;null;null;null;
2011-07-31;111,9;null;null;null;null;
2011-08-31;19,8;null;null;null;null;
2011-09-30;66;30,1;null;null;66,2;
2011-10-31;232,3;30,1;null;null;71,8;
2011-11-30;171,4;30,9;null;null;65,4;
2011-12-31;114,6;32,9;null;null;63,7;
2012-01-31;144,1;31,8;null;null;73,4;
2012-02-29;136;33,4;null;null;71,2;
2012-03-31;81,5;31,8;null;null;67;
2012-04-30;150,4;29,5;null;null;76,3;
2012-05-31;90,4;26,7;null;null;77,7;
2012-06-30;312,5;25;null;null;80,5;
2012-07-31;16;25,9;null;null;71,7;
2012-08-31;5;30,2;null;null;60,8;
2012-09-30;130,8;32,4;null;null;57,3;
2012-10-31;108,3;null;null;null;71;
2012-11-30;151,4;null;null;null;null;
2012-12-31;165,7;null;null;null;null;
2013-01-31;87,4;null;null;null;null;
2013-02-28;172,8;null;null;null;null;
2013-03-31;231,7;null;null;null;null;
2013-04-30;141,6;null;null;null;null;
2013-05-31;46,8;null;null;null;null;
2013-06-30;195,8;null;null;null;null;
2013-07-31;26,1;null;null;null;null;
2013-08-31;0;null;null;null;null;
2013-09-30;104,9;null;null;null;null;
2013-10-31;187,1;null;null;null;null;
2013-11-30;140,5;null;null;null;null;
2013-12-31;110,1;null;null;null;null;
2014-01-31;160,1;null;null;null;null;
2014-02-28;228,1;null;null;null;null;
2014-03-31;147,7;null;null;null;null;
2014-04-30;67,8;null;null;null;null;
2014-05-31;149,5;null;null;null;null;
2014-06-30;49,8;null;null;null;null;

