Nome: CAMPOS DO JORDAO
Codigo Estacao: 83714
Latitude: -22.75027777
Longitude: -45.60388888
Altitude: 1662.56
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2019-03-19
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;181,6;23,9;18,3;14,6;null;
2010-02-28;121,8;24,6;18,4;13,7;null;
2010-03-31;249,3;22,9;17,2;13;null;
2010-04-30;125,3;20;14,7;10,2;86,5;
2010-05-31;48,7;18;12,2;7,6;85,6;
2010-06-30;20,2;16,9;10,1;5,2;81,5;
2010-07-31;67,1;17,9;11,5;6,6;null;
2010-08-31;,4;20,1;11,9;5,3;71,9;
2010-09-30;89,6;22;14,9;9;74,6;
2010-10-31;193;21;14,7;9,5;83,1;
2010-11-30;172,5;22,3;16;11;81,6;
2010-12-31;269;23,9;17,9;13,5;87,2;
2011-01-31;389,5;null;null;14,4;87,5;
2011-02-28;318,6;null;null;13,1;85,5;
2011-03-31;353,4;20,5;16,5;13,4;91,4;
2011-04-30;182;20,2;15,1;10,5;89,2;
2011-05-31;35,1;16,4;11,8;7,5;87,1;
2011-06-30;44;15,6;null;null;null;
2011-07-31;2;17,4;null;null;null;
2011-08-31;19,3;19,7;null;null;null;
2011-09-30;27,1;21,8;null;null;null;
2011-10-31;182,1;20,5;null;null;null;
2011-11-30;254,5;20,5;null;null;null;
2011-12-31;205,3;22,3;null;null;null;
2012-01-31;300,3;21,1;null;null;null;
2012-02-29;171,8;23,3;17,3;10,6;82,1;
2012-03-31;99;22,2;16,5;11,5;86,2;
2012-04-30;167;20,3;15,3;10,9;89,2;
2012-05-31;79,9;15,9;11,3;7,1;88,3;
2012-06-30;149;16,2;12;8,1;null;
2012-07-31;66,9;16,3;10,5;5,5;83,2;
2012-08-31;9,8;18,2;11,5;5,6;78,6;
2012-09-30;39,7;21,2;14,1;7,8;73,5;
2012-10-31;165,3;23,8;null;10,3;null;
2012-11-30;155,8;21,7;null;10,6;null;
2012-12-31;291,3;24,4;null;13,4;null;
2013-01-31;419;21,4;null;null;null;
2013-02-28;294,2;22,5;null;null;null;
2013-03-31;191,9;21;null;null;null;
2013-04-30;81,4;18,6;null;null;null;
2013-05-31;93,3;17,2;null;8,2;null;
2013-06-30;32,9;16,5;null;8,7;null;
2013-07-31;87,1;16,2;null;6,5;null;
2013-08-31;8,2;18,6;null;6,7;null;
2013-09-30;56,1;20,1;null;8,3;null;
2013-10-31;168,8;20,4;null;10,1;null;
2013-11-30;186,7;21,7;null;11,8;null;
2013-12-31;244,2;22,8;null;12,8;null;
2014-01-31;82;25;null;12,5;null;
2014-02-28;116;24,1;null;12,4;null;
2014-03-31;111,1;22,2;null;12,4;null;
2014-04-30;79,6;19,8;null;10,4;null;
2014-05-31;38,4;17,2;null;8;null;
2014-06-30;32,2;17,2;null;8;null;
2014-07-31;46,7;15,5;null;5,9;null;
2014-08-31;22,3;19,1;null;6,4;null;
2014-09-30;69,5;21,7;null;9,1;null;
2014-10-31;56,8;22,8;null;9,6;null;
2014-11-30;153,7;22,4;null;11,8;null;
2014-12-31;131;23,4;null;12,1;null;
2015-01-31;106,9;25,1;null;14,3;null;
2015-02-28;184,9;22;null;14;null;
2015-03-31;214,3;20,8;null;13,1;null;
2015-04-30;59,9;19,7;null;11,8;null;
2015-05-31;90,2;16,6;null;8,9;null;
2015-06-30;74,5;16;null;8,1;null;
2015-07-31;38,9;16,8;null;8,7;null;
2015-08-31;24,5;18,8;null;6,9;null;
