Nome: PRESIDENTE PRUDENTE
Codigo Estacao: 83716
Latitude: -22.119874
Longitude: -51.408624
Altitude: 431.97
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2012-05-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;419,7;30,4;25,4;22,4;null;
2010-02-28;158,1;31,7;26,8;22,6;null;
2010-03-31;109,7;31,2;25,7;21,4;null;
2010-04-30;45,3;29,4;23,8;19,4;null;
2010-05-31;29;25,7;19,9;16;null;
2010-06-30;20;26,9;20,4;15,2;null;
2010-07-31;null;null;null;null;null;
2010-08-31;0;29,4;21,2;15,2;null;
2010-09-30;237,4;30,8;24,1;18,2;null;
2010-10-31;107,2;29,5;23,5;18,2;null;
2010-11-30;89,9;30,7;24,8;19,3;null;
2010-12-31;183,5;31;25,4;21,4;null;
2011-01-31;239,1;31,5;25,7;21,9;null;
2011-02-28;325,7;30,9;25,5;21,9;null;
2011-03-31;109,6;28,9;24,6;21,3;null;
2011-04-30;75,5;29,2;23,8;19,9;null;
2011-05-31;9,2;27;20,6;15,7;null;
2011-06-30;null;null;null;null;null;
2011-07-31;17,7;27,4;21,8;17,8;null;
2011-08-31;24;30,1;21,7;16,1;null;
2011-09-30;8,1;32,1;24,4;18;null;
2011-10-31;210,5;29,8;24,4;19,4;null;
2011-11-30;null;30,7;25;19,4;null;
2011-12-31;190,2;32,5;26,4;21,2;null;
2012-01-31;225,6;30,2;24,8;21,1;null;
2012-02-29;146,6;32,8;27;22,5;null;
2012-03-31;137,5;31,5;25,6;21;null;
2012-04-30;null;31,7;null;20,9;null;
2012-05-31;null;26,2;null;17,5;null;

