Nome: CORDEIRO
Codigo Estacao: 83718
Latitude: -22.02222221
Longitude: -42.36444444
Altitude: 505.9
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;103,3;31,4;24,9;19,9;77,3;
2010-02-28;35,8;32,3;25,5;19,9;71,2;
2010-03-31;249,8;30;23,9;19,8;82,3;
2010-04-30;92,6;27,8;21,5;17,1;80,3;
2010-05-31;40,7;25,2;18,9;15;84,8;
2010-06-30;1,9;23,6;16,2;11,4;80,5;
2010-07-31;35,9;24,7;18,2;14;82,9;
2010-08-31;4;25,6;17,8;12;71,1;
2010-09-30;28,9;27;20;14,8;71,9;
2010-10-31;122,3;26,9;21,1;16,9;75,3;
2010-11-30;272;26,9;21,8;18,2;82,8;
2010-12-31;340,1;30;24,1;20,4;82,2;
2011-01-31;265,2;29,9;24,2;20;80,5;
2011-02-28;91,2;31,6;24,7;19,5;73,2;
2011-03-31;268,8;27,7;22,6;19,4;86,7;
2011-04-30;136,8;27,7;21,9;18,2;83,9;
2011-05-31;43,6;24,2;18;13,9;84,1;
2011-06-30;13,1;23,2;16,8;12,8;82,8;
2011-07-31;1,6;24,2;17;12,4;80,2;
2011-08-31;39,3;26,9;19,3;14,5;75;
2011-09-30;1,4;26,6;19;13,5;68;
2011-10-31;159,1;26,8;21,2;17;null;
2011-11-30;211,3;25,4;20,3;16,4;null;
2011-12-31;355,8;26,9;22,3;19,1;null;
2012-01-31;482,1;27,7;22,5;18,9;null;
2012-02-29;44,1;30,2;23,8;18,7;null;
2012-03-31;161,5;29,5;23,1;18,7;null;
2012-04-30;69,8;27,3;21,9;18,2;null;
2012-05-31;86,8;24,1;18,3;14,3;null;
2012-06-30;17,6;25;19,1;15,6;null;
2012-07-31;5,1;25,3;17,8;13,1;null;
2012-08-31;46,6;24,6;17,7;13,1;null;
2012-09-30;null;null;null;null;null;
2012-10-31;31,3;30,3;22,7;16,7;null;
2012-11-30;208,1;26,6;21,7;18,2;null;
2012-12-31;95,8;31,8;25;20,3;null;
2013-01-31;188,2;29;23,9;19,8;null;
2013-02-28;90,6;31;24,4;19,7;null;
2013-03-31;202,1;28,7;23,1;19,7;null;
2013-04-30;22,9;26,1;20,5;16,7;null;
2013-05-31;30,6;25,2;18,8;14,8;null;
2013-06-30;37,9;24,9;19,1;15,7;null;
2013-07-31;24,4;24;17,6;13,6;null;
2013-08-31;32,8;26,3;18,5;13,4;null;
2013-09-30;46,4;26,6;20,1;15,1;null;
2013-10-31;null;null;null;null;null;
2013-11-30;167,8;27,5;21,9;17,8;null;
2013-12-31;380;29;23,4;20;null;
2014-01-31;50,9;32,1;25;19,2;null;
2014-02-28;9,3;32,1;24,7;18,6;null;
2014-03-31;77,1;29,7;23,4;18,9;null;
2014-04-30;null;null;null;null;null;
2014-05-31;16,5;26,2;19;14,5;null;
2014-06-30;38,7;25,5;18,5;14,4;null;
2014-07-31;27;23,8;17,5;13,6;null;
2014-08-31;39,1;26;18,2;13,2;null;
2014-09-30;1,1;28,8;20,8;14,7;null;
2014-10-31;53;29,7;22,1;16;null;
2014-11-30;185,8;28,7;22,6;17,8;null;
2014-12-31;94,1;30,7;24,2;19,3;null;
2015-01-31;94,6;33,9;25,9;19,6;null;
2015-02-28;59,2;31,2;24,6;19,6;null;
2015-03-31;176,8;30;23,9;19,4;null;
2015-04-30;63,2;27,3;21,2;17;null;
2015-05-31;38,5;24,6;18,8;15,1;null;
2015-06-30;21,6;24,8;18,2;14,2;null;
2015-07-31;26,5;25,1;18,6;14,6;null;
2015-08-31;null;null;null;null;null;
2015-09-30;50;28,4;21,9;17;null;
2015-10-31;45,4;30,4;23,3;18;null;
2015-11-30;243,4;29,9;24,1;20,5;null;
2015-12-31;186,9;30,5;24,5;20,2;null;
2016-01-31;295,7;29,6;24;19,9;null;
2016-02-29;131,7;32;25,2;20;null;
2016-03-31;101,5;29,9;23,9;20;null;
2016-04-30;49,9;30,1;22,8;17,8;null;
2016-05-31;36,9;25,8;19,5;15,2;null;
2016-06-30;54,2;23,1;17,2;13,6;null;
2016-07-31;1,4;24,9;17,9;13,5;null;
2016-08-31;19;26,9;18,7;13,4;null;
2016-09-30;63,5;27,6;20,6;15,8;null;
2016-10-31;null;null;null;null;null;
2016-11-30;338,9;27,9;21,9;17,7;null;
2016-12-31;198;29,7;23,9;19,5;null;
2017-01-31;147,8;31,4;25,1;19,9;null;
2017-02-28;null;null;null;null;null;
2017-03-31;95,9;29,8;22,9;17,6;null;
2017-04-30;38,7;27,2;21,3;17,2;null;
2017-05-31;73,5;24,2;18,4;14,5;null;
2017-06-30;4,2;25,1;18,1;13,8;null;
2017-07-31;13;23,2;16,6;11,8;null;
2017-08-31;17,5;24,7;17,6;12,7;null;
2017-09-30;1,5;28,1;20;13,7;null;
2017-10-31;92,7;30,3;23;17,2;null;
2017-11-30;267,2;27,4;22;18;null;
2017-12-31;96,7;28,9;23,7;19,5;null;
2018-01-31;null;null;null;null;null;
2018-02-28;212,8;29,1;23,7;19,6;null;
2018-03-31;197,6;29,6;23,6;19,9;null;
2018-04-30;145,2;26,9;21;17;null;
2018-05-31;18,7;25,2;18,8;14,5;null;
2018-06-30;8;24,9;18,5;14,5;null;
2018-07-31;18,1;25,6;17,6;12,8;null;
2018-08-31;70,9;23,9;18,1;14,3;null;
2018-09-30;83,8;26,5;20,2;15,7;null;
2018-10-31;91,1;26,6;21,6;18;null;
2018-11-30;175,4;27,4;22,1;18,6;null;
2018-12-31;169,1;29,7;23,6;18,8;null;
2019-01-31;null;null;null;null;null;
2019-02-28;135,5;30,9;24,5;20,1;null;
2019-03-31;123;30,1;23,8;19,6;null;
2019-04-30;41,1;29,2;22,7;18,7;null;
2019-05-31;105,5;26,9;20,7;16,7;null;
2019-06-30;26,2;25,5;18,7;14,2;null;
2019-07-31;10,5;24,8;16,9;11,3;null;
2019-08-31;12,7;24,9;18,1;13,4;null;
2019-09-30;36;28;21,6;16,6;null;
2019-10-31;28,1;29,4;22,9;17,4;null;
2019-11-30;125,5;27,9;22,7;19,2;null;
2019-12-31;275,4;28,9;23,2;19;null;
2020-01-31;null;null;null;null;null;
2020-02-29;156,8;28,7;23,8;20,6;null;
2020-03-31;205;28;22,5;18,3;null;
2020-04-30;66;26,1;20,4;16,8;null;
2020-05-31;null;24,4;null;13,1;null;
2020-06-30;3,4;25,7;18,5;14,1;null;
2020-07-31;8,6;25,1;18,4;13,9;null;
2020-08-31;9,7;25,7;18,2;12,7;null;
2020-09-30;55,2;30,2;22,1;15,9;null;
2020-10-31;93,9;28,4;22,8;18,4;null;
2020-11-30;194,6;null;null;null;null;
2020-12-31;312,3;29,7;24;19,9;null;
2021-01-31;72,2;30,9;24,5;19;null;
2021-02-28;212,3;29,3;23,3;19,3;null;
2021-03-31;152;30,2;23,4;18,9;null;
2021-04-30;68,5;26,7;19,9;15,3;null;
2021-05-31;40,8;25,4;18,9;14,9;null;
2021-06-30;17;23,8;17,5;13,4;null;
2021-07-31;null;null;null;null;null;
2021-08-31;41,4;25,6;18,3;13;null;
2021-09-30;22,7;29,4;21,8;16,5;null;
2021-10-31;223,4;25,2;20,9;18;null;
2021-11-30;165,2;26,6;21,3;17;null;
2021-12-31;291,9;27,9;22,3;18;null;
2022-01-31;425,8;29,8;24;20,2;null;
2022-02-28;326,4;28,9;23,2;19,7;null;
2022-03-31;66,7;31,1;23,5;18,6;null;
