Nome: SAO CARLOS
Codigo Estacao: 83726
Latitude: -21.98027777
Longitude: -47.88388888
Altitude: 859.77
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2024-06-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;357,4;28,6;23,1;19,6;81,5;
2010-02-28;111,3;30,1;23,9;19,6;75,5;
2010-03-31;194,4;29,1;23,2;18,9;75,2;
2010-04-30;120;26,9;20,8;16,5;73,5;
2010-05-31;12,8;24,7;18,1;13,8;72,7;
2010-06-30;19,1;24,8;17;11,6;66;
2010-07-31;34,6;26,1;18,6;14;65;
2010-08-31;0;27,5;18,8;12,2;52,2;
2010-09-30;78,3;28,6;21,2;16,3;61;
2010-10-31;88;28,1;21;15,7;67;
2010-11-30;61,1;29;22,3;17,2;69;
2010-12-31;151,2;29,6;23,5;19,3;76;
2011-01-31;437;29,3;23,5;19,7;80,2;
2011-02-28;345,9;29,9;23,6;19,6;77,2;
2011-03-31;283,9;26,3;21,9;19;84,2;
2011-04-30;86,9;27,5;21,5;17,3;76,5;
2011-05-31;5,5;24,9;18;13,4;71,1;
2011-06-30;42,7;23,8;16,2;11,2;69,3;
2011-07-31;0;25,9;18,4;13,4;65,2;
2011-08-31;13,1;27,5;19,7;14,3;59,7;
2011-09-30;13;29,5;21,2;15;51,5;
2011-10-31;179;27,5;21,2;16,8;71,3;
2011-11-30;134,2;27,9;21,4;16,1;67,2;
2011-12-31;230,5;29;22,6;18;74,9;
2012-01-31;346,9;27;21,4;17,8;80,4;
2012-02-29;97,7;30,4;24,2;19,5;70,1;
2012-03-31;44,1;29,3;23;18,4;70,5;
2012-04-30;147,5;28,2;22,2;17,8;73,1;
2012-05-31;98,1;23,4;17,6;13,4;71,8;
2012-06-30;191,9;23,2;17,9;14,2;82;
2012-07-31;42,7;24,4;17,2;12,3;69,2;
2012-08-31;2,4;26,3;19,1;14;58,3;
2012-09-30;77,4;28,6;21;15,1;57,5;
2012-10-31;97,3;30,9;23,7;18,4;62,8;
2012-11-30;174;28,8;22,6;17,7;70,2;
2012-12-31;228,4;30,3;24,3;20;76,2;
