Nome: SAO LOURENCO
Codigo Estacao: 83736
Latitude: -22.12638888
Longitude: -45.04333333
Altitude: 930.65
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;254,8;29,7;22,5;18;78,8;
2010-02-28;85,1;30;22,5;17,3;75,7;
2010-03-31;240,5;28,7;21,5;16,5;80,3;
2010-04-30;103,4;27,2;19,2;13,6;77,1;
2010-05-31;69,4;25;16,4;10,4;78,8;
2010-06-30;14,1;23,7;13,4;6,1;78,2;
2010-07-31;42,4;25;15,2;8,2;76;
2010-08-31;0;26,8;15,7;6,8;63,6;
2010-09-30;84,2;27,9;19,1;11,8;65,4;
2010-10-31;94,2;27,5;19,9;14;71,1;
2010-11-30;229,2;27,5;20,9;16;75,4;
2010-12-31;254,2;30;22,7;18,1;78,4;
2011-01-31;543,5;28,9;22,3;18,2;81,5;
2011-02-28;102,5;30,7;22,5;16,9;74,7;
2011-03-31;209,3;27,4;21,4;17,3;81,4;
2011-04-30;91,2;27,6;19,7;14,3;79,8;
2011-05-31;17,6;24,6;16,2;10,2;79;
2011-06-30;38,8;23;13,6;6,8;78,1;
2011-07-31;0;24,9;15;7,6;73,9;
2011-08-31;9,6;27,3;17,6;9,8;65,2;
2011-09-30;4,2;28,6;18,8;10,1;55,3;
2011-10-31;107,8;27,7;20,6;14,8;68,7;
2011-11-30;119,7;27;19,9;14,5;72,7;
2011-12-31;259,9;27,9;21,3;16,8;78,3;
2012-01-31;332,9;27,4;20,7;16,5;81,5;
2012-02-29;97;29,6;22,3;16,5;73,7;
2012-03-31;119;28,9;21,3;15,7;77,4;
2012-04-30;85,1;27,3;20,1;15;80,5;
2012-05-31;82;23,7;15,6;10,1;83,3;
2012-06-30;106,2;23,4;15,9;11,2;86,5;
2012-07-31;23,8;24,1;14,4;7,3;77,9;
2012-08-31;4,8;25,1;15,9;7,9;69,3;
