Nome: PASSA QUATRO
Codigo Estacao: 83737
Latitude: -22.38277777
Longitude: -44.96694443
Altitude: 919.55
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;215,5;29,6;23;18,2;75,9;
2010-02-28;116,8;30;22,6;17,1;74,6;
2010-03-31;225,3;28,9;21,7;16,7;77,7;
2010-04-30;78,8;26,4;19,5;14,2;76,1;
2010-05-31;38,8;24,7;16,8;10,7;75,5;
2010-06-30;28,1;23,5;13,5;6,5;76;
2010-07-31;55,7;24,8;15,4;8,5;74;
2010-08-31;0;25,8;15,4;7,4;65,4;
2010-09-30;75,4;27,2;18,7;11,5;65,9;
2010-10-31;119,8;26,7;19,5;14;72,8;
2010-11-30;183,8;27,2;20,6;15,9;75,8;
2010-12-31;371,6;29,6;22,9;18,2;74,8;
2011-01-31;492,3;28,7;22,5;18,1;78,9;
2011-02-28;142,7;30,6;22,9;16,8;71,8;
2011-03-31;151,7;27,3;21,7;17,6;76,3;
2011-04-30;56,3;27,5;20,2;14,6;76,5;
2011-05-31;25,3;24,1;16,4;10,5;74,4;
2011-06-30;42,8;23,1;13,6;7,1;75,1;
2011-07-31;0;24,8;14,7;7,8;73,7;
2011-08-31;14,1;27;17,1;9,8;67,2;
2011-09-30;7,3;28,3;18,3;9,9;58,3;
2011-10-31;108,7;26,7;19,9;14,7;68,2;
2011-11-30;173,7;26,1;19,6;14,3;70,7;
2011-12-31;301,2;27,6;21,3;16,5;74,8;
2012-01-31;355,3;27,2;20,7;16,3;78,2;
2012-02-29;118,9;30;22,5;16,3;70,9;
2012-03-31;240,9;28,7;21,5;15,8;72,7;
2012-04-30;75,8;27;20,3;15,2;77;
2012-05-31;46,9;23,2;16,2;10,9;76,3;
2012-06-30;91,4;23,5;16,3;11,7;82,4;
