Nome: RESENDE
Codigo Estacao: 83738
Latitude: -22.45111111
Longitude: -44.44472221
Altitude: 439.9
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;390,2;31,7;24,8;20,9;null;
2010-02-28;83;32,5;25,1;20,2;73,7;
2010-03-31;289,6;30,4;23,7;19,7;80,2;
2010-04-30;83,7;28,3;22;18;76,9;
2010-05-31;20,3;26,3;19,4;14,9;79,6;
2010-06-30;5;24,3;16,7;11,8;77,5;
2010-07-31;39,2;25,8;18,6;13,1;null;
2010-08-31;6;26,5;18,2;12,3;68,2;
2010-09-30;87,7;28,3;20,8;15,5;69,4;
2010-10-31;105,8;27,6;21,1;16,9;73,1;
2010-11-30;295,1;28;22,2;18,6;79,9;
2010-12-31;520;30,9;24,4;21;81,2;
2011-01-31;272,8;31,1;24,9;21,2;null;
2011-02-28;319,4;32,7;25,4;20,5;72,3;
2011-03-31;431,6;28,2;23,1;20,3;84,1;
2011-04-30;116,8;28,8;22,6;18,6;78,1;
2011-05-31;11;24,8;19;15;79,1;
2011-06-30;16,6;23,8;17,1;12,2;null;
2011-07-31;null;null;null;null;null;
2011-08-31;3,8;28,4;19,9;14,3;null;
2011-09-30;14,1;28,2;20;14,3;null;
2011-10-31;154,1;29;22,2;17,4;70,2;
2011-11-30;108,2;27,6;21,3;17,1;73,8;
2011-12-31;259,6;28,7;22,8;19;78,7;
2012-01-31;295,9;28,7;22,8;19,1;null;
2012-02-29;71,6;32,5;25,3;20;67,5;
2012-03-31;216,5;30,2;23,5;19,3;77,3;
2012-04-30;90,9;28,1;22,5;19,3;81;
2012-05-31;68,6;25,1;19,1;15,2;79,7;
2012-06-30;70,7;24,7;19,2;16,1;84,7;
2012-07-31;18,8;25,1;17,7;12,9;77,9;
2012-08-31;8,9;26,8;19,1;13,6;68,5;
2012-09-30;24;28,8;20,9;15,5;69,3;
2012-10-31;65,6;31,6;23,6;17,9;65;
2012-11-30;167,9;28;22,4;18,8;77,6;
2012-12-31;193,3;32,5;25,3;21,1;77,8;
2013-01-31;541,1;28,6;23;19,8;null;
2013-02-28;244,1;31,2;24,4;20,3;79,2;
2013-03-31;268,6;29;23,3;20,1;83,5;
2013-04-30;69,5;26,8;21,3;17,7;80,2;
2013-05-31;44;26;19,5;15,5;null;
2013-06-30;15,6;25,5;19,5;15,7;81,9;
2013-07-31;102,6;24,3;17,3;12,8;79,2;
2013-08-31;1,1;26,9;18,6;12,9;70;
2013-09-30;64,8;27,8;20,8;15,4;68,3;
2013-10-31;126,2;27,1;21,3;17,2;72,6;
2013-11-30;326,1;28,3;22,4;18,3;75,8;
2013-12-31;199;30,6;24,2;20,2;74,2;
2014-01-31;142,3;33,9;25,7;20;null;
2014-02-28;84,7;34;26,2;19,8;58,2;
2014-03-31;184,7;30,6;24,1;19,6;74;
2014-04-30;131,7;28,3;22;18,2;80,1;
2014-05-31;33,6;26,6;19,6;14,9;77,8;
2014-06-30;30,9;26,2;18,8;14,1;81,2;
2014-07-31;54,3;24,1;17,9;14,1;80,3;
2014-08-31;18,3;27;18,8;12,8;65,2;
2014-09-30;68,6;29,5;21,3;15,6;63,6;
2014-10-31;109;30,4;22,6;16,6;null;
2014-11-30;198,8;29,7;23,5;19,4;71,7;
2014-12-31;172,1;31,7;24,9;20,2;70;
2015-01-31;185,2;33,8;26,1;20,4;null;
2015-02-28;188,5;30,8;24,3;20,5;77;
2015-03-31;169,2;29;23,5;20,2;81,4;
2015-04-30;104;28,3;22,5;18,8;78,1;
2015-05-31;45,5;25,4;19,8;16,2;79,9;
2015-06-30;18;25,1;18,4;14,2;79,9;
2015-07-31;15,9;25,7;19;14,7;79,3;
2015-08-31;21,4;28,2;19,9;13,3;65,2;
2015-09-30;87,6;27,8;21,6;16,9;74,6;
2015-10-31;60,2;30,4;23,5;18,9;70,1;
2015-11-30;292,8;29,5;24;20,9;79,9;
2015-12-31;216,2;31,1;24,6;20,4;77,6;
2016-01-31;471,9;29,7;24,1;20,5;null;
2016-02-29;201,4;33;25,3;20,6;74,8;
2016-03-31;313,9;30,8;24,1;20,3;82,5;
2016-04-30;28,9;31,5;23,9;18,6;73,1;
2016-05-31;12,6;26,1;19,8;16;78,4;
2016-06-30;132;23,3;17,1;13,5;82,9;
2016-07-31;,7;25,7;17,9;13;76,5;
2016-08-31;11,5;27,8;19,4;13,6;69,1;
2016-09-30;27,8;28,5;20,9;16,1;null;
2016-10-31;82,8;28,8;22,5;18,5;74,3;
2016-11-30;444;28,8;22,4;18,5;77,3;
2016-12-31;281,8;31,3;24,1;19,6;74,7;
2017-01-31;399,3;31,8;24,7;20,8;null;
2017-02-28;85,6;32,4;25,4;20,5;70,4;
2017-03-31;183,9;30,1;23,5;19,6;78,3;
2017-04-30;65,7;27,7;22;18,3;80,1;
2017-05-31;60,8;25,3;19,7;16,2;81,8;
2017-06-30;17,6;25,5;18,5;13,8;79,7;
2017-07-31;10,7;24,2;16,7;11,4;null;
2017-08-31;37,8;24,9;18,1;13,1;75;
2017-09-30;25,7;30,1;21,3;14;60,2;
2017-10-31;70,7;31;23,7;18,3;68,7;
2017-11-30;161,6;28,7;22,4;18,1;72,2;
2017-12-31;178;30,3;24;20,1;75,1;
2018-01-31;250,1;30,7;24,1;20,2;null;
2018-02-28;235,3;29,7;23,5;20;78,6;
2018-03-31;232,7;31,5;24,5;20,5;76,4;
2018-04-30;120,1;28,6;22,3;18,5;76,3;
2018-05-31;24,9;26,7;null;15,6;null;
2018-06-30;49,5;25,6;null;14,3;null;
2018-07-31;11,2;null;null;null;null;
2018-08-31;67,6;25,4;null;14,3;null;
2018-09-30;54;28,9;null;16,7;null;
2018-10-31;105,4;28;null;18,5;null;
2018-11-30;256;29;null;19,1;null;
2018-12-31;199;31,4;null;19,2;null;
2019-01-31;218,6;33,5;null;20,5;null;
2019-02-28;261,3;31;null;20,3;null;
2019-03-31;216,3;29,8;null;19,7;null;
2019-04-30;178,7;29,7;null;19,3;null;
2019-05-31;104;27,3;null;17,2;null;
2019-06-30;20,2;26,4;null;13,7;null;
2019-07-31;6;25,4;null;10,9;null;
2019-08-31;47,2;null;null;null;null;
2019-09-30;92,5;27,9;null;16,5;null;
2019-10-31;160,1;29,9;null;17,9;null;
2019-11-30;197,7;28;null;19;null;
2019-12-31;207,2;29,9;null;19,3;null;
2020-01-31;215,3;30,8;null;20,2;null;
2020-02-29;360,1;29,2;null;20,2;null;
2020-03-31;null;28,9;null;19,2;null;
2020-04-30;null;null;null;null;null;
2020-05-31;null;null;null;null;null;
2020-06-30;null;null;null;null;null;
2020-07-31;null;null;null;null;null;
2020-08-31;null;null;null;null;null;
2020-09-30;null;null;null;null;null;
2020-10-31;null;null;null;null;null;
2020-11-30;null;null;null;null;null;
2020-12-31;676,8;28,9;null;19,9;null;
2021-01-31;259,6;32;null;20,4;null;
2021-02-28;175,5;29;null;19,4;null;
2021-03-31;175,1;null;null;19,4;null;
2021-04-30;43;27;null;16,5;null;
2021-05-31;77,3;25,4;null;14,9;null;
2021-06-30;33,8;24,1;null;14,2;null;
2021-07-31;29,2;23,7;null;9,8;null;
2021-08-31;29,1;26;null;13,6;null;
2021-09-30;21,5;null;null;17,4;null;
2021-10-31;360,6;null;null;17,9;null;
2021-11-30;170,4;null;null;17,2;null;
2021-12-31;271;29,9;null;18,9;null;
2022-01-31;238,5;30,6;null;20,5;null;
2022-02-28;424,5;30,4;null;20,2;null;
2022-03-31;67,4;32,6;null;20;null;
2022-04-30;211,6;28,8;null;18,3;null;
2022-05-31;11,3;26,1;19,1;14,1;null;
2022-06-30;26,8;24,7;17,5;13,3;null;
2022-07-31;1,6;27,8;18,7;12,8;null;
2022-08-31;9,1;26,1;19,1;14,2;null;
2022-09-30;87,5;25,9;19,2;14,5;null;
2022-10-31;74,8;29,7;22,9;18,7;null;
2022-11-30;null;null;null;null;null;
2022-12-31;216,9;28,4;22,9;19,2;null;
2023-01-31;280,5;30,1;23,6;19,9;null;
2023-02-28;177,8;31,4;24,4;20,7;null;
2023-03-31;319,1;30,4;23,7;19,9;null;
2023-04-30;119,4;27,2;21,8;18,3;null;
2023-05-31;21,8;26,3;19,8;15,4;null;
2023-06-30;15,3;25,4;17,7;12,9;null;
2023-07-31;20,6;25,6;18,4;13,5;null;
2023-08-31;null;null;null;null;null;
2023-09-30;26,8;31,5;23,4;17,5;null;
2023-10-31;195,3;29,5;23,3;19,8;null;
2023-11-30;183,2;31,6;24,6;20,1;null;
2023-12-31;211;31,8;25;20,6;null;
2024-01-31;360,2;31,2;24,4;20,5;null;
2024-02-29;223;31,5;24,9;21;null;
2024-03-31;269,4;30,6;24,6;21,2;null;
2024-04-30;6,7;30,6;23,5;18,9;null;
2024-05-31;24,3;30,5;22,3;17,1;null;
2024-06-30;1,3;28,4;19,2;13,2;null;
2024-07-31;24,7;26,3;18,8;14,4;null;
2024-08-31;46;28,8;19,3;12,6;null;
2024-09-30;2,3;32,1;23,3;17;null;
2024-10-31;170,1;30,1;22,9;18,7;null;
2024-11-30;270,8;29,6;23,5;19,6;null;
2024-12-31;null;null;null;20,5;null;

