Nome: RIO DE JANEIRO
Codigo Estacao: 83743
Latitude: -22.89555555
Longitude: -43.18472221
Altitude: 37.5
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2017-04-04
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;287,5;36,2;30;25,2;67,2;
2010-02-28;87,3;36,3;30,5;26,2;62,8;
2010-03-31;325,7;33,2;27,7;24,2;73,5;
2010-04-30;280,4;30,7;25,9;23,1;74,6;
2010-05-31;45,3;29,2;24,2;21,2;73,9;
2010-06-30;42,7;26,9;21,8;18,4;72,8;
2010-07-31;79;28,9;23,4;20,1;71,9;
2010-08-31;20,9;28;22,6;19,1;68,1;
2010-09-30;36,9;29,2;23,9;20,6;70,3;
2010-10-31;118,5;28,4;23,9;20,9;69,7;
2010-11-30;67,3;29,9;25,6;22,5;74,6;
2010-12-31;291,6;33;27,9;24,8;75,8;
2011-01-31;78,7;34,7;29,3;25,9;68,9;
2011-02-28;8,5;35,3;29,5;25,8;63,3;
2011-03-31;100,6;30,6;26,2;23,8;79;
2011-04-30;164,5;31,9;26,6;23,7;75,1;
2011-05-31;118,1;27,5;22,7;20;77,3;
2011-06-30;32,7;27;21,6;18,4;76,8;
2011-07-31;16,1;27,3;21,8;18,5;74,3;
2011-08-31;9,3;28,9;23,1;19,6;70,4;
2011-09-30;40,8;27,3;22,2;18,8;69,8;
2011-10-31;109,8;29,4;24,2;20,9;73,5;
2011-11-30;93,3;28;23,8;20,6;72,8;
2011-12-31;116,1;31,1;26,1;23;74,1;
2012-01-31;220,9;31,6;26,5;23,5;75,4;
2012-02-29;62,8;34,8;28,7;24,6;65,1;
2012-03-31;84,1;32,6;26,9;24,1;74;
2012-04-30;45,4;30,9;25,9;23;76,7;
2012-05-31;128,8;28,3;23,1;19,8;76,4;
2012-06-30;71,1;28,2;23,6;20,7;78,5;
2012-07-31;26,2;28,3;22,9;19,6;73;
2012-08-31;17,9;29,1;23,1;19,6;70,9;
2012-09-30;87,9;29,6;23,9;20,3;68,4;
2012-10-31;66,4;32,1;26;22,2;68,8;
2012-11-30;93,2;28,9;24,8;22,1;76,5;
2012-12-31;37;35,1;29,5;25,9;68,3;
2013-01-31;334,7;31,6;26,8;23,6;76,1;
2013-02-28;78,1;34,8;29,1;25,5;69,7;
2013-03-31;228,2;31,7;26,8;24;77;
2013-04-30;78,4;30;25;22,1;74,1;
2013-05-31;68,8;29,3;24;20,7;72,3;
2013-06-30;25,3;28,2;23,6;20,4;74,7;
2013-07-31;101,1;25,7;21,4;18,3;72,9;
2013-08-31;5,6;27,1;22,6;19,1;66,8;
2013-09-30;62,7;28,2;23,9;20,6;67;
2013-10-31;61,1;27,6;23,9;21,1;72,3;
2013-11-30;111,6;29,3;25,1;21,8;73,6;
2013-12-31;185,6;30,1;26,3;23,6;75,6;
2014-01-31;58,1;34;29,4;25,4;63,2;
2014-02-28;9,1;33,6;29,2;25,5;60,6;
2014-03-31;80,5;31,9;27,4;24,2;69,4;
2014-04-30;100,4;29;25;22,1;74,3;
2014-05-31;26,7;27,8;23,6;20,3;73,1;
2014-06-30;42,7;27,9;23,5;20,4;73;
2014-07-31;87,5;26;22;19,1;73,6;
2014-08-31;18,1;27,1;22,3;18,7;68,8;
2014-09-30;29,6;29,2;24;20,3;66,9;
2014-10-31;28,4;28,9;24,4;21,1;68,7;
2014-11-30;59;29,5;25,6;22,6;69,8;
2014-12-31;44,9;32,8;27,9;24,5;67,8;
2015-01-31;39,2;34,6;29,8;26,1;64,6;
2015-02-28;79,3;33,3;28,5;25,5;70,2;
2015-03-31;158,3;30,7;26,9;24,2;77,4;
2015-04-30;52,7;29,4;25,4;22,8;76,8;
2015-05-31;64,2;27,5;23,6;20,7;76,5;
2015-06-30;65,5;27,4;22,9;19,3;78,3;
2015-07-31;11,4;27,6;23,3;20,2;78,1;
2015-08-31;4,1;28,9;23,7;19,9;74,7;
2015-09-30;81,2;28,4;24,3;21,1;76,7;
2015-10-31;10,6;29,6;25,4;22,3;71,8;
2015-11-30;162,1;29,8;26;23,4;77,4;
2015-12-31;106,8;32,8;28,1;24,6;68,8;
2016-01-31;171,6;31,1;27;24,2;75,1;
2016-02-29;118,3;34,2;28,5;25,1;70,5;
2016-03-31;205;31,7;27,7;24,7;74,5;
2016-04-30;5,7;31,8;27,3;24,1;70;
2016-05-31;53,5;27,3;23,2;20,1;79,9;
2016-06-30;81,7;24,2;20,8;18,2;80,6;
2016-07-31;1,5;27;22,3;19,2;71,4;
2016-08-31;31,2;27,4;22,8;19,4;67,9;
2016-09-30;123,2;27,3;23,2;20,3;73,6;
2016-10-31;50,4;28,1;24,2;21,4;72,2;
2016-11-30;167;28,8;25,2;22,3;74,2;
2016-12-31;103,8;31,6;27,4;24,1;null;
2017-01-31;48,9;33,8;29,3;25,9;null;
2017-02-28;23;33,1;28,8;25,7;null;
2017-03-31;90,6;31,1;26,7;23,7;null;
2017-04-30;28;null;null;null;null;

