Nome: TERESOPOLIS
Codigo Estacao: 83744
Latitude: -22.41722221
Longitude: -42.97222221
Altitude: 874.2
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;221,5;30;null;19,7;null;
2010-02-28;186,8;30,3;null;19,6;null;
2010-03-31;346,7;28,1;null;18,7;null;
2010-04-30;null;null;null;null;null;
2010-05-31;71,7;22,9;null;13,6;null;
2010-06-30;43;21,4;null;10,9;null;
2010-07-31;30,1;23;null;13;null;
2010-08-31;5,1;23;null;11,7;null;
2010-09-30;36,2;24,5;null;14,6;null;
2010-10-31;166,3;23,8;null;15,2;null;
2010-11-30;230,9;24,9;null;17,1;null;
2010-12-31;446,6;27,5;null;19;null;
2011-01-31;348,3;28,3;null;19,3;null;
2011-02-28;67,3;30,1;null;19,2;null;
2011-03-31;323,9;25,4;null;18,1;null;
2011-04-30;null;null;null;null;null;
2011-05-31;32,6;21,3;null;12,8;null;
2011-06-30;39,2;20,9;null;11,8;null;
2011-07-31;13,6;22,3;null;11,5;null;
2011-08-31;29,2;24,3;null;13,8;null;
2011-09-30;19,2;23,7;null;12,8;null;
2011-10-31;163,4;24,1;null;16,2;null;
2011-11-30;172,4;23;null;15,4;null;
2011-12-31;368,7;25,2;null;18,2;null;
2012-01-31;360,3;26,2;null;18,3;null;
2012-02-29;135,3;28,8;null;18,2;null;
2012-03-31;172;27,4;null;17,8;null;
2012-04-30;257,9;25,6;null;17;null;
2012-05-31;98,7;21,9;null;13,4;null;
2012-06-30;44,3;22,9;null;14,6;null;
2012-07-31;34,5;22,6;null;12,9;null;
2012-08-31;52,6;22,8;null;12,6;null;
2012-09-30;95;25;null;14,4;null;
2012-10-31;39,6;27,7;null;16,9;null;
2012-11-30;220,3;24,3;null;16,9;null;
2012-12-31;133;30,2;null;19,6;null;
2013-01-31;363,5;26,2;null;18,7;null;
2013-02-28;187,3;29,3;null;19,1;null;
2013-03-31;331,7;26,4;null;18,8;null;
2013-04-30;78,2;23,5;null;15,6;null;
2013-05-31;74,2;22,7;null;13,6;null;
2013-06-30;75,1;22,4;null;14,5;null;
2013-07-31;98,7;21,6;null;12,3;null;
2013-08-31;22,4;23,6;null;12,3;null;
2013-09-30;null;null;null;null;null;
2013-10-31;116,7;23,9;null;15,9;null;
2013-11-30;203,7;25,3;null;16,7;null;
2013-12-31;215,5;26,6;null;18,8;null;
2014-01-31;157,4;30,5;null;18,8;null;
2014-02-28;35,1;30,3;null;19,3;null;
2014-03-31;214,2;27,4;null;18,9;null;
2014-04-30;181,4;25,1;null;16,5;null;
2014-05-31;47,8;23,1;null;13,8;null;
2014-06-30;49,6;23,3;null;13,9;null;
2014-07-31;49;21,1;null;13;null;
2014-08-31;34,7;22,7;null;12,1;null;
2014-09-30;null;null;null;null;null;
2014-10-31;91,4;26,5;null;15,3;null;
2014-11-30;235;26;null;17,6;null;
2014-12-31;101,7;29,1;null;19;null;
2015-01-31;102,7;31;null;19,5;null;
2015-02-28;130,5;29,2;null;19,3;null;
2015-03-31;226,3;27,2;null;18,6;null;
2015-04-30;100,7;24,6;null;16,5;null;
2015-05-31;null;null;null;null;null;
2015-06-30;61,7;22,4;null;13,1;null;
2015-07-31;12,9;23,4;null;14,4;null;
2015-08-31;17,4;24,1;null;13,1;null;
2015-09-30;88,5;26,1;null;16,2;null;
