Nome: LONDRINA
Codigo Estacao: 83766
Latitude: -23.32555554
Longitude: -51.14166666
Altitude: 566
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;366,4;29,6;24,2;20,9;88,8;
2010-02-28;170,3;31,1;25,2;21,2;85;
2010-03-31;240,7;31,2;24,3;19,4;82,9;
2010-04-30;165,5;28,7;21,8;16,8;83,4;
2010-05-31;75,4;24,5;17,9;13,4;89,4;
2010-06-30;19,2;24,7;17,1;11,6;86,9;
2010-07-31;29,5;25,9;18,4;13,1;87;
2010-08-31;30,6;27,6;18,6;11,9;81,7;
2010-09-30;116,6;29,2;21,4;15,3;82,2;
2010-10-31;161;28,5;21,4;15,6;83,6;
2010-11-30;98,2;30,4;23,3;17,4;81,2;
2010-12-31;340,2;29,4;23,7;19,8;80,9;
2011-01-31;262,5;31,2;24,9;20,8;78,5;
2011-02-28;218,6;31,2;24,8;20,8;78,9;
2011-03-31;107,7;28,9;23,3;19,2;78,1;
2011-04-30;110;28,6;21,9;17,3;76,2;
2011-05-31;7,6;25,7;18,4;12,9;74,6;
2011-06-30;79,2;23,4;15,8;10;77,3;
2011-07-31;92,2;25,2;17,9;12,6;75,7;
2011-08-31;46,9;26,9;19,1;13,3;69,4;
2011-09-30;6,4;30;21,3;14,3;60,8;
2011-10-31;359,3;29,2;22,4;17,2;69,7;
2011-11-30;132;30;22,9;16,9;65;
2011-12-31;75,7;31,9;25;19,2;63,7;
2012-01-31;263,2;29,5;23,5;19;77,4;
2012-02-29;57,2;33,1;25,9;20,7;68,6;
2012-03-31;102,4;31,9;24,2;18,6;66,2;
2012-04-30;168,4;29,1;22,2;17,4;75,4;
2012-05-31;78,4;24,9;18,5;13,6;80,3;
2012-06-30;428,4;23;17,3;13,3;91,1;
2012-07-31;39,6;24,7;17,2;11,5;74,1;
2012-08-31;1,2;28,9;20,7;14,4;60,2;
2012-09-30;72,4;31;22,3;15,3;57,6;
2012-10-31;81,5;32,3;24,7;18,9;63,1;
2012-11-30;107,4;31;24,3;19,2;67;
