Nome: MARINGA
Codigo Estacao: 83767
Latitude: -23.40527777
Longitude: -51.93277777
Altitude: 542
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;243,9;30;24,9;21,3;82,1;
2010-02-28;190;31,4;25,9;21,8;76,5;
2010-03-31;128,8;30,8;24,8;20;71,4;
2010-04-30;64,2;28,5;22,6;18,2;70,1;
2010-05-31;56,6;23,6;18,3;13,9;78,2;
2010-06-30;22,3;25,3;18,9;14,1;68,7;
2010-07-31;42,3;26,2;19,9;15,3;64,9;
2010-08-31;24;27,5;20,3;14,6;54,9;
2010-09-30;139,1;29,3;22,6;17,2;58,9;
2010-10-31;203,8;28,2;21,8;16,7;67,7;
2010-11-30;116,8;30;23,5;17,8;65,5;
2010-12-31;212,9;29,2;24,1;20,1;80,5;
2011-01-31;182;30,7;25;21,3;79,4;
2011-02-28;312,9;30,6;24,9;21,3;80,2;
2011-03-31;252,6;29,3;24,1;19,9;74,5;
2011-04-30;93,9;28,4;22,7;18,4;73,1;
2011-05-31;11,2;25,5;19,4;14,3;68,3;
2011-06-30;135,9;23,4;17,2;12,2;69,2;
2011-07-31;153,6;25,3;19,2;14,6;67,6;
2011-08-31;41;26,8;20,3;15,1;60,4;
2011-09-30;29,7;29,6;22,2;15,8;55;
2011-10-31;210,4;29;23;17,9;68,9;
2011-11-30;111,6;29,6;23,5;18,1;62,6;
2011-12-31;45;31,6;25,2;19,7;61;
2012-01-31;136,7;30,3;24,3;19,8;72,6;
2012-02-29;185,1;32,6;26,1;21;66,6;
2012-03-31;62,8;31,4;24,8;19,2;62,3;
2012-04-30;152,5;28,3;22,5;18,2;73,8;
2012-05-31;75,1;25,1;19,5;15,2;75,4;
2012-06-30;293,4;23,5;18,3;14,5;82,8;
2012-07-31;19,1;24,4;18,2;13,4;69,7;
2012-08-31;2,7;28,6;22,1;17,2;54,3;
2012-09-30;71,1;31,1;23,6;17,4;53,1;
2012-10-31;55;31,9;25,1;20;63,8;
2012-11-30;104,4;31;24,8;20;67,5;
2012-12-31;171,1;32,1;26,2;22;74,6;
2013-01-31;103,8;30,1;24,5;19;73,9;
2013-02-28;399,4;30,2;24;19,3;80,1;
2013-03-31;222,6;29;23,6;19,4;75,8;
2013-04-30;165,7;27,5;21,9;17,3;73,6;
2013-05-31;184,5;25,9;20,4;16,2;74,5;
2013-06-30;269,9;23,2;18,7;15,1;86,3;
2013-07-31;87,8;24,2;17,8;12,6;69,2;
2013-08-31;2,8;26,8;19,5;14,1;56,4;
2013-09-30;76,9;28,8;22,1;17;59,5;
2013-10-31;228,8;29,1;23,2;18,2;63,5;
2013-11-30;76,6;30,5;24,7;19,6;66,7;
2013-12-31;78,3;31,6;25,9;21,1;69,1;
2014-01-31;188,3;31,8;25,7;21,1;73,1;
2014-02-28;194,3;32,6;26,3;21,3;64,1;
2014-03-31;340;30;24,3;19,9;73,5;
2014-04-30;162,3;28,2;22,8;18,9;77,7;
2014-05-31;123,9;24,8;19,7;15,9;77,5;
2014-06-30;142,1;24,3;19,1;15,6;78,2;
2014-07-31;132,8;24,5;18,5;14,2;70,7;
2014-08-31;48,4;28,6;21,6;16,2;56,6;
2014-09-30;151,3;29,2;23;18;64,5;
2014-10-31;58,1;32,5;25,5;19,7;54,1;
2014-11-30;149,2;30,7;24,5;19,8;68,1;
2014-12-31;239,2;30,7;25,3;21,2;74,3;
2015-01-31;236;32;26,1;21,5;73,1;
2015-02-28;214,3;30,6;24,9;20,9;77,9;
2015-03-31;307,2;30,4;24,5;20,2;73,4;
2015-04-30;91,4;29,2;23,6;19,3;68,6;
2015-05-31;184,5;24,7;19,7;16,3;77,7;
2015-06-30;12,7;25,6;19,8;15,4;71,9;
2015-07-31;378,6;23,7;18,6;15,2;77,9;
2015-08-31;53,7;29,4;22,5;17,5;52,8;
2015-09-30;236,7;29,4;23;18,6;65,3;
2015-10-31;312,3;31,2;24,9;20,1;70,4;
2015-11-30;369,6;29,1;23,9;20,2;81,9;
2015-12-31;327;29,4;24,4;21;82,8;
2016-01-31;419,8;30,9;25,6;21,3;73,1;
2016-02-29;384,1;30,9;25,2;21,9;81,9;
2016-03-31;101,7;30,5;24,4;19,9;69,2;
2016-04-30;120,7;31,7;25,1;20,3;58,5;
2016-05-31;252,4;23,3;18,5;15,1;79,4;
2016-06-30;78;22,2;16,8;12,9;69,7;
2016-07-31;64,8;26,2;19,4;14,4;58,2;
2016-08-31;144,4;26,9;20,2;15,5;63,1;
2016-09-30;39,4;28,1;21,2;15,6;57,3;
2016-10-31;138,6;29,6;23,2;18,1;64,7;
2016-11-30;36,9;31,4;25;19,5;59,5;
2016-12-31;215,3;30,3;24,7;20,5;74,4;
2017-01-31;338,6;30,7;24,8;20,9;78;
2017-02-28;149,3;32,5;26,3;21,9;70,2;
2017-03-31;161,2;30,8;24,9;20,7;70,4;
2017-04-30;159,2;27,6;22,1;18;73;
2017-05-31;306,1;25,5;21;17,7;79,5;
2017-06-30;103;23,7;18,5;14,8;75;
2017-07-31;0;25;18,8;14,3;57;
2017-08-31;142,9;27,4;21;16,2;59,8;
2017-09-30;33,2;32,5;26;20,9;43,6;
2017-10-31;311,9;29,4;23,5;18,5;67,5;
2017-11-30;132,9;29,7;23,8;18,8;66,2;
2017-12-31;210,1;29,7;25,2;21,5;73,7;
2018-01-31;357,7;29,5;24,3;20,8;79,2;
2018-02-28;88,7;29,5;24,4;20,1;69,8;
2018-03-31;228,8;31,1;25,5;21,6;76,4;
2018-04-30;26,7;29,8;24,2;19,7;63,3;
2018-05-31;49,8;26,9;21;16,5;64,6;
2018-06-30;66,7;24,5;19,3;15,7;73,3;
2018-07-31;6,1;27,6;20,9;15,9;53,3;
2018-08-31;257,1;24,5;18,5;13,9;66,4;
2018-09-30;143,5;28,2;21,9;17,1;65,4;
2018-10-31;319,3;28,4;23,1;19;75,3;
2018-11-30;197,9;29,8;24,5;19,5;68,3;
2018-12-31;142,4;31,9;26,1;21,6;63,9;
2019-01-31;201,4;32,5;26,8;22,4;70,1;
2019-02-28;129,1;31,7;25,8;21,4;69,2;
2019-03-31;197,8;30,3;24,9;20,8;72,1;
2019-04-30;60,1;29,2;24,1;20;70,4;
2019-05-31;68,3;26,8;21,5;17,6;75,2;
2019-06-30;92,5;26,7;21,1;17;65,2;
2019-07-31;34,3;25,4;19,1;14,5;60,8;
2019-08-31;,2;28,1;21,2;15,6;52;
2019-09-30;66,6;30,9;24,4;19,3;56,5;
2019-10-31;119,2;33,2;26,4;20,8;55,4;
2019-11-30;78;31,8;25,9;20,8;61,4;
2019-12-31;377;29,6;24,7;20,2;74,1;
2020-01-31;170;30;25,2;21,3;74,6;
2020-02-29;171;31;25,3;20,7;69,7;
2020-03-31;36,6;31,4;25,4;20,1;58;
2020-04-30;38,2;29;22,7;17,5;58,3;
2020-05-31;61,3;25,8;19,4;14,4;62,8;
2020-06-30;160,2;25,9;20,4;16,5;73,3;
2020-07-31;26,2;26,2;19,8;15,2;62,6;
2020-08-31;186,8;26,5;20,4;15,5;58,9;
2020-09-30;10,6;33;26,1;20,3;45,9;
2020-10-31;171,7;32,7;25,8;19,9;54,2;
2020-11-30;64,8;32,1;25,5;19,6;50,4;
2020-12-31;208,5;30,5;25,1;20,6;71;
2021-01-31;371,5;28,9;24,5;21,3;80,1;
2021-02-28;13,3;30,6;25;20;63,1;
2021-03-31;145,3;31,7;25,5;20,8;65,2;
2021-04-30;3,1;29,2;23;17,8;56,3;
2021-05-31;153,6;27,1;20,7;15,6;62,6;
2021-06-30;50,4;23,2;18;13,9;73,9;
2021-07-31;52,2;24,1;17,2;11,8;52,3;
2021-08-31;28,4;28,8;22,1;16,8;50,8;
2021-09-30;55,4;32,3;25,3;19,6;52,3;
2021-10-31;432,8;27,4;22,2;17,7;70,5;
2021-11-30;37,9;31,5;25,6;19,9;54,8;
2021-12-31;49,1;33;26,5;20,4;52,4;
2022-01-31;159,3;31,2;25,7;21,4;69,6;
2022-02-28;83,4;32,4;26,1;21,3;63,6;
2022-03-31;283,4;30,8;25;21;74,9;
2022-04-30;112;28,3;23,1;18,7;69,1;
2022-05-31;36,1;23,8;18,6;14,7;70,1;
2022-06-30;80,2;23,9;18,4;14,4;71,3;
2022-07-31;1,9;27,8;21,6;16,8;53,4;
2022-08-31;110,7;25,8;19,7;14,8;59,7;
2022-09-30;123,2;24,6;19,5;15,6;70,3;
2022-10-31;200;28,5;22,8;18,2;68,9;
2022-11-30;69,1;28,4;22,8;17,3;56,7;
2022-12-31;161,5;29,8;24,9;20,3;70,7;
2023-01-31;163,8;29,4;24,4;20,3;76;
2023-02-28;279,4;28,8;23,8;20,1;79,9;
2023-03-31;315,9;31,3;25,3;20,8;72,3;
2023-04-30;214,8;28,2;22,8;18,6;67,9;
2023-05-31;35,2;27,4;21,2;16,5;null;
2023-06-30;93;25,1;18,9;14,1;71,8;
2023-07-31;19,4;26,2;19,9;15,2;66,9;
