Nome: AVARE
Codigo Estacao: 83773
Latitude: -23.083579
Longitude: -48.911718
Altitude: 831.96
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2014-01-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;414;28,6;22,7;19,4;84,6;
2010-02-28;200;30,4;24,3;20,4;72,1;
2010-03-31;141;29,2;22,9;19;74,3;
2010-04-30;75;26,4;20,5;16,7;73;
2010-05-31;33;23,4;17,5;13,9;76,1;
2010-06-30;32,2;23,4;16,9;12,7;69,7;
2010-07-31;66,8;24,6;18,2;13,8;67,5;
2010-08-31;,2;26;18,1;12,8;59,3;
2010-09-30;57,7;27,5;20,1;15,2;null;
2010-10-31;145;27,5;19,3;14,2;71,9;
2010-11-30;45;28,4;21,5;15,9;null;
2010-12-31;363,6;26,8;null;17;null;
2011-01-31;309,6;null;null;17,9;null;
2011-02-28;292,8;null;null;17,9;null;
2011-03-31;129,5;null;null;15,7;null;
2011-04-30;117,8;null;null;14,4;null;
2011-05-31;null;null;null;9,7;null;
2011-06-30;null;null;null;7,9;null;
2011-07-31;null;null;null;10,6;null;
2011-08-31;null;null;null;10,1;null;
2011-09-30;3,4;null;null;13,1;null;
2011-10-31;null;26,7;20,5;15,4;null;
2011-11-30;null;null;null;null;null;
2011-12-31;142,4;29,5;23,4;18,6;null;
2012-01-31;246,2;27,6;21,7;17,6;null;
2012-02-29;null;29,3;23,9;19,5;null;
2012-03-31;null;null;null;17,9;null;
2012-04-30;null;null;null;16,6;null;
2012-05-31;null;null;null;13,9;null;
2012-06-30;null;null;null;13,8;null;
2012-07-31;null;23,2;17,4;12,5;null;
2012-08-31;null;null;null;null;null;
2012-09-30;67,6;26,8;20,3;14,5;null;
2012-10-31;107,3;29,6;22,6;16,3;null;
2012-11-30;36,8;28,7;21,7;15,6;null;
2012-12-31;148,6;31,1;24,2;18,5;null;
2013-01-31;244,4;28,2;21,5;16,2;null;
2013-02-28;null;31;23;17,6;null;
2013-03-31;205,8;28,5;21,5;15,6;null;
2013-04-30;116,6;27,8;19,8;12,3;null;
2013-05-31;null;24,8;17,6;11,6;null;
2013-06-30;null;25;17,1;11,1;null;
2013-07-31;null;24,5;16,9;10,1;null;
2013-08-31;null;26,2;18,7;12,2;null;
2013-09-30;53,6;25,7;19,1;12,2;null;
2013-10-31;66,6;28,6;20,6;14,3;null;
2013-11-30;null;null;null;null;null;
2013-12-31;null;null;null;16,2;null;
2014-01-31;null;null;null;16,1;null;

