Nome: SAO PAULO(MIR.de SANTANA)
Codigo Estacao: 83781
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.16
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;480,5;29;23,4;19,8;80,3;
2010-02-28;296,5;30,9;24,7;20,6;70;
2010-03-31;184,5;28,8;23;19,4;74,5;
2010-04-30;124,5;25,7;20,6;17;74,1;
2010-05-31;65,2;23,7;18,4;14,8;74,5;
2010-06-30;13,1;22,7;16,8;12,7;70,2;
2010-07-31;93,5;24,3;18,4;14,2;71,1;
2010-08-31;,4;24,2;17,5;12,8;64,3;
2010-09-30;104,8;26;19,7;15,5;70,5;
2010-10-31;70,1;24,6;18,6;14,9;75,1;
2010-11-30;109,6;27,3;21,1;17;72;
2010-12-31;343,1;28,4;22,9;19,3;77,8;
2011-01-31;493,7;29,5;23,9;20,4;78,2;
2011-02-28;311,5;30,4;24,4;20,3;72,8;
2011-03-31;164;25,9;21,7;18,9;80,6;
2011-04-30;133;27,2;21,8;18,1;75,5;
2011-05-31;30,4;23;17,7;14,3;75,2;
2011-06-30;81,6;22,3;16;11,5;72,7;
2011-07-31;4,5;23,7;17,5;13,1;71;
2011-08-31;46,3;24,9;18,3;13,8;69,9;
2011-09-30;7,4;25,8;18,2;13,6;67,2;
2011-10-31;149,6;26,3;20,2;16,4;72,7;
2011-11-30;141,3;26,2;20;15,8;71,1;
2011-12-31;136,8;27,8;22,2;18,3;69,9;
2012-01-31;332,6;27;21,4;17,9;78;
2012-02-29;224,2;30,7;24,5;20,1;71,6;
2012-03-31;187,6;28,8;22,4;18,2;73,2;
2012-04-30;155,9;26,9;21,2;17,9;78,3;
2012-05-31;82,7;23,1;18,1;14,6;77,3;
2012-06-30;233,7;22,2;17,8;14,4;81,1;
2012-07-31;74,7;23,4;17,7;13,3;70,2;
2012-08-31;,3;25,7;18,9;14,3;65,3;
2012-09-30;19,2;27,3;20,2;15,4;64,4;
2012-10-31;128,3;29,4;22,3;17,5;69,8;
2012-11-30;91,6;26,4;20,8;17,2;75,5;
2012-12-31;401,9;30,2;24,5;20,7;75,4;
2013-01-31;169,2;26,8;22;18,9;79,4;
2013-02-28;278;29,4;23,3;19,2;75,5;
2013-03-31;174,5;27,1;22;18,7;78,8;
2013-04-30;70,7;null;null;16,4;75,5;
2013-05-31;42,5;null;null;15,1;74,7;
2013-06-30;143,2;22,8;18,2;15;80,3;
2013-07-31;90,9;21,7;16,3;12;75,5;
2013-08-31;7,7;24,8;17,9;12,7;64;
2013-09-30;81,3;25,1;19,2;14,7;68,3;
2013-10-31;126,6;25;19,9;16;72,7;
2013-11-30;123,6;27;21,6;17,6;73,3;
2013-12-31;83,1;28,9;23,3;19,4;70,9;
2014-01-31;237,9;31,9;25;19,7;67,7;
2014-02-28;197,6;31,8;25,5;21,1;62,7;
2014-03-31;226,9;28,8;23,1;19,5;75,6;
2014-04-30;79,7;26,4;21,1;17,6;75;
2014-05-31;46;23,6;18,7;14,9;73,7;
2014-06-30;9,7;23,7;18,5;14,5;72,8;
2014-07-31;21,4;22;17;13,4;71,9;
2014-08-31;29,6;24,9;18,4;13,3;65,2;
2014-09-30;58,7;26,9;20,4;15,8;68,3;
2014-10-31;25,2;28,7;21,5;16,6;62,8;
2014-11-30;117,5;27,1;21,5;17,9;73,4;
2014-12-31;203,1;29,2;23,3;19,2;70;
2015-01-31;156,2;31,5;25,2;21,1;68,8;
2015-02-28;273;29;23,6;19,9;74,8;
2015-03-31;332,7;27,2;22,2;19;78,8;
2015-04-30;108,1;26;20,8;17,8;77,4;
2015-05-31;50,7;22,9;18,6;15,6;78,6;
2015-06-30;20,3;23,2;18,1;14,1;73,7;
2015-07-31;65,1;22,8;17,9;14,2;74,5;
2015-08-31;31,6;26,3;19,9;14,9;62,5;
2015-09-30;201,7;26,7;21;16,6;70,1;
2015-10-31;92,1;27,8;21,9;17,8;72,2;
2015-11-30;247,2;27;22,2;18,9;80,3;
2015-12-31;318,1;29;23,5;19,7;76,3;
2016-01-31;175,9;27,9;23;19,2;77;
2016-02-29;275,1;29,8;24,5;20,6;76;
2016-03-31;256,6;28,5;23,2;19,2;77,2;
2016-04-30;2,4;29,5;23,7;19;66,4;
2016-05-31;105,7;22,9;18;14,3;77,8;
2016-06-30;206,8;20,9;15,4;11,2;77,9;
2016-07-31;6,4;23,9;17,7;12,6;64,6;
2016-08-31;82,4;24,3;18,1;13;68,5;
2016-09-30;22,2;24,5;18,5;14,3;72,1;
2016-10-31;104,1;26,5;20,5;16,2;76,3;
2016-11-30;166,8;26,5;20,7;16,4;75,5;
2016-12-31;165,4;29,7;23,3;18,4;68,7;
2017-01-31;454;28,2;23,2;19,1;81,8;
2017-02-28;127,3;30,5;24,6;19,6;67,5;
2017-03-31;160,4;27,3;22,1;17,8;75,4;
2017-04-30;143,1;24,9;20,3;17;78,5;
2017-05-31;153,4;23,1;18,8;15,6;80;
2017-06-30;102,9;22,8;17,9;14,2;75,5;
2017-07-31;,8;22,2;16,6;12,3;70,3;
2017-08-31;60,5;22,9;17,7;13,7;71,7;
2017-09-30;11,1;28,7;21,5;16,3;58,6;
2017-10-31;149,4;27,1;21,6;17,4;74,4;
2017-11-30;159,8;26,8;21;16,6;71,7;
2017-12-31;151,3;27,9;22,9;19,4;76,1;
2018-01-31;244,3;28;23;19,5;78,6;
2018-02-28;102,2;27,5;22,5;18,9;75,3;
2018-03-31;227,5;29,6;23,8;20,3;77,6;
2018-04-30;28;26,9;21,4;17,8;72,2;
2018-05-31;10,8;25;19,2;15,2;71,4;
2018-06-30;12,7;23,5;18,6;14,6;72,4;
2018-07-31;24,2;25,1;18,7;14,2;65,1;
2018-08-31;48,8;22,3;17,1;13,3;71,6;
2018-09-30;72,8;25,8;19,4;15,5;73,8;
