Nome: CAMPO MOURAO
Codigo Estacao: 83783
Latitude: -24.08555555
Longitude: -52.38666666
Altitude: 602.17
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2016-12-21
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;276,4;28,9;23,9;20,3;92,3;
2010-02-28;189,9;29,9;24,2;20,2;91,5;
2010-03-31;156,4;29,7;23;17,8;89,1;
2010-04-30;155;27,4;20,8;15,7;88,8;
2010-05-31;101,9;22,2;16,5;12,1;92,2;
2010-06-30;26,8;23,4;16,4;11,6;90,5;
2010-07-31;43,6;23,8;17;11,7;88,9;
2010-08-31;8,1;26;17,2;11,7;83,6;
2010-09-30;87,1;27,8;20,1;13,5;76,4;
2010-10-31;186,6;26,8;19,9;13,7;79,9;
2010-11-30;133,4;28,8;21,4;15;78,4;
2010-12-31;346,4;28,1;22,6;18,3;83;
2011-01-31;130,9;29,7;23,5;18,8;83,3;
2011-02-28;225,6;29,1;23,3;19,5;85,7;
2011-03-31;176,5;28,9;23,1;18,5;74,8;
2011-04-30;100,5;27,4;20,7;15,8;77,7;
2011-05-31;9,1;24,2;16,9;11,1;75,2;
2011-06-30;160,8;21,9;14,6;8,6;86,7;
2011-07-31;208,3;23,5;16,4;10,8;86,9;
2011-08-31;167;23,8;16,8;11,4;85,7;
2011-09-30;43,5;27,2;18,9;11,7;83,9;
2011-10-31;231,4;27,8;21,2;15,9;89,1;
2011-11-30;148,9;28,2;21,5;15,6;82,8;
2011-12-31;71,9;30,4;22,9;16;70;
2012-01-31;208,2;29,3;22,2;15,7;89,9;
2012-02-29;82,5;31,9;24;17,1;88,2;
2012-03-31;68;30,4;21,9;14,5;85,5;
2012-04-30;263;27;20;14,1;90,7;
2012-05-31;85,1;23,5;17,2;12;90,8;
2012-06-30;225;21,7;16;11,2;93,6;
2012-07-31;40,8;22,9;15,6;10,5;90,4;
2012-08-31;4,1;27,6;19,7;15,6;82,7;
2012-09-30;32,3;30;21,6;16,4;78,5;
2012-10-31;111,2;30,7;22,8;16,1;82,6;
2012-11-30;49,1;30,1;23,1;17,2;87,3;
2012-12-31;250,4;31,2;24,6;19,7;91,5;
2013-01-31;286,3;29,1;22,6;17,1;79,2;
2013-02-28;356,2;28,9;22,8;18,7;83,9;
2013-03-31;308,1;28,2;22;17,7;83,3;
2013-04-30;77,8;26,7;19,7;13,7;90,1;
2013-05-31;180,5;24,4;18;12,5;91,1;
2013-06-30;348,6;null;null;null;95,5;
2013-07-31;71,5;22,4;14,7;8,7;91,6;
2013-08-31;10,4;24,6;16;9,2;83,8;
2013-09-30;112,9;27;19,5;12,9;82,3;
2013-10-31;162,2;28,1;21,1;14,4;82,7;
2013-11-30;94,9;null;null;17,8;83,3;
2013-12-31;101,8;null;null;18,9;88,2;
2014-01-31;219,7;null;null;19;92,1;
2014-02-28;171,5;null;null;19;87,7;
2014-03-31;195,3;null;null;17,5;89,8;
2014-04-30;146;null;null;17;91,2;
2014-05-31;205,4;null;null;13,2;93,1;
2014-06-30;325,5;null;null;13;93;
2014-07-31;110,5;null;null;10,7;91,6;
2014-08-31;30;null;null;11,8;86;
2014-09-30;240,7;null;null;15;85,8;
2014-10-31;96,9;null;null;17;79,3;
2014-11-30;187,5;null;null;19,2;85,8;
2014-12-31;234;null;null;18,6;89,6;
2015-01-31;367,6;null;null;18,3;89,1;
2015-02-28;260,2;null;null;17,6;91,4;
2015-03-31;104;null;null;17,1;90;
2015-04-30;36,9;null;null;15,3;86,6;
2015-05-31;194,6;null;null;13;90,6;
2015-06-30;57;null;null;11,6;90;
2015-07-31;477,1;null;null;11,4;92,2;
2015-08-31;42,4;null;null;15,2;85,1;
2015-09-30;267,9;null;null;16,7;86,9;
2015-10-31;219,3;30;23,2;18;74,1;
2015-11-30;493,6;27,5;22,4;18,9;88;
2015-12-31;283;28,3;23,3;20;93,2;
2016-01-31;167,3;null;null;20;91,2;
2016-02-29;270,9;null;null;21,2;93,7;
2016-03-31;157,3;null;null;17,7;89,2;
2016-04-30;68,4;null;null;17,4;85,7;
2016-05-31;237,4;null;null;12,9;91,2;
2016-06-30;142,1;null;null;9,6;90,5;
2016-07-31;56,9;null;null;10,1;87,7;
2016-08-31;199,7;null;null;11,8;90,5;
2016-09-30;49,2;null;null;11,6;86,8;
2016-10-31;326,9;null;null;16,1;87,1;
2016-11-30;74,8;null;null;16,9;85,4;
2016-12-31;null;null;null;18,3;91,2;

