Nome: TAUBATE
Codigo Estacao: 83784
Latitude: -23.0388889
Longitude: -45.5158333
Altitude: 581
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2014-08-10
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;null;null;null;null;null;
2010-02-28;41,3;32,6;24,7;18,8;null;
2010-03-31;138,2;30,6;23,4;18,7;null;
2010-04-30;61,8;28,2;21,1;15,9;null;
2010-05-31;20;26,1;18,5;13,2;null;
2010-06-30;3,2;24,7;15,6;9,3;null;
2010-07-31;40;26,1;17,6;11,3;null;
2010-08-31;0;26,9;17,3;9,8;null;
2010-09-30;56,2;28,4;20,1;13,6;null;
2010-10-31;60,4;28;20,4;15,2;null;
2010-11-30;68,4;29,6;22,3;17,1;null;
2010-12-31;113,5;31,3;24,2;20,1;null;
2011-01-31;null;null;null;null;null;
2011-02-28;103,3;33,2;24,7;19,6;null;
2011-03-31;217;28,6;22,7;19,1;null;
2011-04-30;124,2;28,9;21,9;17,3;null;
2011-05-31;23,7;25,6;17,9;13;null;
2011-06-30;34,2;24;15,4;9,3;null;
2011-07-31;1,2;25,3;16,6;10,4;null;
2011-08-31;6,4;27,3;18,6;12,7;null;
2011-09-30;16,3;28,7;19,1;12,6;null;
2011-10-31;88,4;29,1;21,5;15,9;null;
2011-11-30;104,6;28,9;21,2;15,7;null;
2011-12-31;89,4;30,5;23,1;18;null;
2012-01-31;null;null;null;null;null;
2012-02-29;62,8;33,4;24,8;19;null;
2012-03-31;112;30,6;22,8;17,6;null;
2012-04-30;55,2;28,9;21,9;17,5;null;
2012-05-31;71,8;25,8;18,1;12,6;null;
2012-06-30;93,8;24,4;17,8;13,5;null;
2012-07-31;39,2;25,6;16,5;10,3;null;
2012-08-31;7,6;27,2;18,1;10,9;null;
2012-09-30;9,8;29,7;20,4;13,2;null;
2012-10-31;52,8;32,1;23,1;16,2;null;
2012-11-30;71,6;29,9;22,2;16,7;null;
2012-12-31;254,8;33;25,1;20,1;null;
2013-01-31;null;null;null;null;null;
2013-02-28;198,4;32,1;23,9;19,5;null;
2013-03-31;121,4;30,1;23;19,1;null;
2013-04-30;28;27,7;20,4;15,7;null;
2013-05-31;39,4;26,5;18,8;13,9;null;
2013-06-30;18,3;25,3;18,6;14,4;null;
2013-07-31;57,8;24,7;16,4;11,1;null;
2013-08-31;2,8;27,6;17,6;10,6;null;
2013-09-30;33,8;29,1;20,1;14;null;
2013-10-31;96,2;28,6;21,2;16,4;null;
2013-11-30;132,4;30,5;22,7;17,6;null;
2013-12-31;84,6;32,6;24,4;19,4;null;
2014-01-31;null;null;null;null;null;
2014-02-28;42,4;36;26,1;19,2;null;
2014-03-31;98,4;32,3;23,7;18,7;null;
2014-04-30;54,8;29,1;21,4;16,7;null;
2014-05-31;13,2;28,1;18,6;13;null;
2014-06-30;17,6;null;null;12,7;null;
2014-07-31;27,8;null;null;11,2;null;
2014-08-31;null;null;null;null;null;

