Nome: ANGRA DOS REIS
Codigo Estacao: 83788
Latitude: -23.01583333
Longitude: -44.32972221
Altitude: 17.04
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2017-04-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;412,5;30,8;null;23,5;null;
2010-02-28;220;32,3;null;23,4;null;
2010-03-31;358,9;28,8;null;21,8;null;
2010-04-30;294,4;27,3;null;19,8;null;
2010-05-31;null;null;null;null;null;
2010-06-30;88,8;23,3;null;15,6;null;
2010-07-31;null;null;null;null;null;
2010-08-31;44,3;23,5;null;15,9;null;
2010-09-30;111,4;24,5;null;18;null;
2010-10-31;132,6;24,1;null;18,2;null;
2010-11-30;206,6;26,1;null;20,1;null;
2010-12-31;585,7;28,5;null;22,7;null;
2011-01-31;197,2;30,6;null;23,8;null;
2011-02-28;62,1;31,4;null;23,7;null;
2011-03-31;null;null;null;null;null;
2011-04-30;214,4;27,7;null;21,1;null;
2011-05-31;114,9;24,5;null;17,7;null;
2011-06-30;28,2;23,2;null;15,9;null;
2011-07-31;60;23,1;null;16,1;null;
2011-08-31;null;null;null;null;null;
2011-09-30;65,7;22,9;null;16,4;null;
2011-10-31;151,8;25,4;null;18,7;null;
2011-11-30;101,1;25;null;18,5;null;
2011-12-31;185,6;27,5;null;20,6;null;
2012-01-31;217,6;28,1;null;20,9;null;
2012-02-29;71,2;30,3;null;22,2;null;
2012-03-31;100,5;28,4;null;21,3;null;
2012-04-30;102;26,9;null;20,9;null;
2012-05-31;191,3;24,9;null;17,7;null;
2012-06-30;null;null;null;null;null;
2012-07-31;66,7;24,1;null;16,6;null;
2012-08-31;25,8;25;null;16,9;null;
2012-09-30;null;null;null;null;null;
2012-10-31;106,2;26,8;null;19,6;null;
2012-11-30;129,6;25,4;null;19,9;null;
2012-12-31;100,4;30,7;null;23,2;null;
2013-01-31;831,6;28,2;null;21,4;null;
2013-02-28;130,2;29,9;null;23;null;
2013-03-31;457,2;28,1;null;22,2;null;
2013-04-30;93,5;26,3;null;19,7;null;
2013-05-31;null;null;null;null;null;
2013-06-30;60,2;24,7;null;18,9;null;
2013-07-31;109,8;23,1;null;16,5;null;
2013-08-31;null;null;null;null;null;
2013-09-30;69,9;25,4;null;18,1;null;
2013-10-31;130,5;25,2;null;19,1;null;
2013-11-30;224,6;26,7;null;20,3;null;
2013-12-31;102,4;28,3;null;22,1;null;
2014-01-31;115;32,2;null;24;null;
2014-02-28;106,9;31,3;null;23,4;null;
2014-03-31;237,1;29,4;null;22,6;null;
2014-04-30;null;null;null;null;null;
2014-05-31;92,5;25,3;null;18,4;null;
2014-06-30;50,3;null;null;null;null;
2014-07-31;111,2;null;null;null;null;
2014-08-31;40,3;24,6;null;16,6;null;
2014-09-30;47;26,3;null;18,5;null;
2014-10-31;54,2;26,7;null;19,2;null;
2014-11-30;null;null;null;null;null;
2014-12-31;65,7;30,2;null;22,5;null;
2015-01-31;254;32,6;null;24,1;null;
2015-02-28;345,9;30,9;null;23,4;null;
2015-03-31;283;28,8;null;22,8;null;
2015-04-30;262,1;27,5;null;21,2;null;
2015-05-31;89,2;25,8;null;19;null;
2015-06-30;161,1;25,3;null;17,8;null;
2015-07-31;29,8;25;null;18,2;null;
2015-08-31;23,9;26,4;null;17,9;null;
2015-09-30;124,3;26,1;null;19,6;null;
2015-10-31;null;null;null;null;null;
2015-11-30;179,6;27,2;null;22,6;null;
2015-12-31;129,9;30,5;null;23,2;null;
2016-01-31;360,7;28,6;null;22,8;null;
2016-02-29;165;31,8;null;23,7;null;
2016-03-31;231,4;29,6;null;23;null;
2016-04-30;27,6;30,5;null;22,5;null;
2016-05-31;98,2;25;null;18,8;null;
2016-06-30;150,7;21,9;null;16,7;null;
2016-07-31;9,6;23,8;null;16,7;null;
2016-08-31;54,2;24,7;null;17,1;null;
2016-09-30;82,8;24,6;null;18,5;null;
2016-10-31;120,6;25,8;null;20,1;null;
2016-11-30;null;null;null;null;null;
2016-12-31;144,8;29,7;null;22,2;null;
2017-01-31;307,5;31,3;null;23,7;null;
2017-02-28;48,3;31,2;null;23,6;null;
2017-03-31;212,8;28,4;null;21,7;null;
2017-04-30;137,7;27;null;20,9;null;

