Nome: SANTA CRUZ
Codigo Estacao: 83789
Latitude: -22.92194443
Longitude: -43.68694444
Altitude: 63
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2019-12-18
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;133,7;35;null;24,6;null;
2010-02-28;160,1;36,2;null;23,6;null;
2010-03-31;241,7;32,1;null;22,3;null;
2010-04-30;331,2;29,5;null;20,5;null;
2010-05-31;66;28,2;null;18,8;null;
2010-06-30;67;26,4;null;16,4;null;
2010-07-31;66,4;27,4;null;18;null;
2010-08-31;22,6;26,7;null;17,3;null;
2010-09-30;74,4;27,8;null;18,4;null;
2010-10-31;106,8;27,3;null;18,6;null;
2010-11-30;116,2;29,1;null;20,5;null;
2010-12-31;179,3;31,7;null;22,6;null;
2011-01-31;70,8;34,1;null;23,5;null;
2011-02-28;26,6;36,3;null;24,9;null;
2011-03-31;null;null;null;null;null;
2011-04-30;215,9;31,3;null;21,6;null;
2011-05-31;115,6;26,8;null;18,2;null;
2011-06-30;39,4;25,9;null;16,7;null;
2011-07-31;20,7;27,1;null;17;null;
2011-08-31;23,8;28,2;null;18,5;null;
2011-09-30;25,4;27,3;null;17,5;null;
2011-10-31;128,7;28,3;null;19,5;null;
2011-11-30;110,2;27,6;null;19,1;null;
2011-12-31;158,7;30,2;null;21,1;null;
2012-01-31;202,3;31,3;null;22,1;null;
2012-02-29;72,4;35,2;null;22,5;null;
2012-03-31;92,8;32,4;null;21,9;null;
2012-04-30;105,7;30,2;null;21,2;null;
2012-05-31;106,6;27,6;null;18,5;null;
2012-06-30;115,7;26,9;null;19,1;null;
2012-07-31;43,6;27,1;null;18,1;null;
2012-08-31;18,8;28,4;null;17,5;null;
2012-09-30;111,5;28;null;18,5;null;
2012-10-31;69,7;31,2;null;20,4;null;
2012-11-30;101,7;28,1;null;20,5;null;
2012-12-31;52,6;35,4;null;24;null;
2013-01-31;487,6;30,8;null;22,4;null;
2013-02-28;176,2;34,9;null;23,2;null;
2013-03-31;261,9;30,8;null;22,4;null;
2013-04-30;138,2;29,3;null;20,1;null;
2013-05-31;96,6;28,1;null;18,8;null;
2013-06-30;52,6;27,5;null;19,1;null;
2013-07-31;129,5;25,7;null;16,9;null;
2013-08-31;4,9;27,5;null;17,5;null;
2013-09-30;64,2;28,7;null;18,9;null;
2013-10-31;79;28,3;null;19,6;null;
2013-11-30;172,6;29,8;null;20,6;null;
2013-12-31;97,2;30,8;null;22,1;null;
2014-01-31;91,2;36,7;null;24,4;null;
2014-02-28;14,1;37,2;null;24,1;null;
2014-03-31;150,5;33,3;null;22,2;null;
2014-04-30;70,6;29,3;null;20,7;null;
2014-05-31;57,9;28;null;18,8;null;
2014-06-30;73,2;27,9;null;19;null;
2014-07-31;83,8;25,9;null;17,6;null;
2014-08-31;62,3;27,5;null;17,6;null;
2014-09-30;59,4;30;null;19,2;null;
2014-10-31;17,5;30,6;null;19,7;null;
2014-11-30;75,5;31,4;null;21,3;null;
2014-12-31;70;33,9;null;23;null;
2015-01-31;167,9;35,6;null;25,2;null;
2015-02-28;149,6;34;null;23,1;null;
2015-03-31;215,3;31,2;null;22,6;null;
2015-04-30;64,2;29,8;null;21,3;null;
2015-05-31;52,5;28,3;null;19,3;null;
2015-06-30;85,8;27,7;null;18,4;null;
2015-07-31;24,1;28;null;19,1;null;
2015-08-31;4,7;30,9;null;18,6;null;
2015-09-30;90,2;28,9;null;20,1;null;
2015-10-31;34;31;null;21,3;null;
2015-11-30;205,4;30;null;22,2;null;
2015-12-31;103,2;33,3;null;23,3;null;
2016-01-31;243,4;31;null;23,4;null;
2016-02-29;90,4;35,5;null;23,5;null;
2016-03-31;129,4;32,1;null;23,3;null;
2016-04-30;12;34,2;null;22,8;null;
2016-05-31;52,7;27,3;null;18,8;null;
2016-06-30;85,9;23,9;null;16,8;null;
2016-07-31;2,2;27,2;null;18;null;
2016-08-31;35,5;28,5;null;18,2;null;
2016-09-30;54,8;27,5;null;19,2;null;
2016-10-31;44,7;29,3;null;20,1;null;
2016-11-30;143,3;29,4;null;20,7;null;
2016-12-31;134,3;32,5;null;22,4;null;
2017-01-31;107,7;34,8;null;24,6;null;
2017-02-28;12,4;null;null;23,4;null;
2017-03-31;160,2;31,2;null;22,3;null;
2017-04-30;188,8;28,8;null;20,8;null;
2017-05-31;55,4;27,6;null;18,8;null;
2017-06-30;75,1;28,2;null;18,1;null;
2017-07-31;20;27;null;16,5;null;
2017-08-31;44,4;26,4;null;17,2;null;
2017-09-30;6,3;31,2;null;19;null;
2017-10-31;91,8;30,5;null;20,5;null;
2017-11-30;166,3;29,9;null;20,5;null;
2017-12-31;94,3;30,6;null;22,1;null;
2018-01-31;303,9;32,3;null;23,7;null;
2018-02-28;173,4;31,2;null;21,9;null;
2018-03-31;85,7;32,3;null;23,4;null;
2018-04-30;114,3;30,9;null;21,1;null;
2018-05-31;47,2;28,7;null;19,2;null;
2018-06-30;30,2;27,6;null;18,9;null;
2018-07-31;21,7;28,8;null;18,6;null;
2018-08-31;83,7;25,7;null;17,6;null;
2018-09-30;63;29,1;null;19,4;null;
2018-10-31;110,5;28,1;null;20,7;null;
2018-11-30;158,8;29,7;null;21,2;null;
2018-12-31;45,7;33,4;null;22,5;null;
2019-01-31;75,8;37,4;null;25,4;null;
2019-02-28;298,8;32,5;null;23,2;null;
2019-03-31;381,5;32,3;null;22,1;null;
2019-04-30;211,8;32;null;22;null;
2019-05-31;95,8;30,2;null;20,8;null;
2019-06-30;62;29,7;null;19,3;null;
2019-07-31;11,4;28,2;null;16,9;null;
