Nome: REALENGO
Codigo Estacao: 83801
Latitude: -22.8711111
Longitude: -43.44138888
Altitude: 42
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;239,3;34,9;null;24,3;null;
2010-02-28;51,5;35,6;null;24,7;null;
2010-03-31;386,2;32,4;null;23,1;null;
2010-04-30;222,6;29,4;null;21,1;null;
2010-05-31;49,3;28,2;null;18,7;null;
2010-06-30;44,4;26,6;null;15,4;null;
2010-07-31;50,3;27,8;null;17,1;null;
2010-08-31;7,7;27,3;null;16,3;null;
2010-09-30;36,7;28,8;null;18,5;null;
2010-10-31;73;27,9;null;19,2;null;
2010-11-30;90,4;29,5;null;20,9;null;
2010-12-31;151,4;32,1;null;24,2;null;
2011-01-31;166,1;34;null;24,1;null;
2011-02-28;22,3;35,8;null;24,6;null;
2011-03-31;112,6;30,2;null;22,8;null;
2011-04-30;179,1;31,3;null;21,9;null;
2011-05-31;90,8;26,9;null;18,2;null;
2011-06-30;29;26,1;null;16;null;
2011-07-31;11,9;26,6;null;15,9;null;
2011-08-31;7,9;28,7;null;17,9;null;
2011-09-30;21,7;27,3;null;17,3;null;
2011-10-31;63,6;29,2;null;20;null;
2011-11-30;78,8;28;null;19,8;null;
2011-12-31;184,7;30,9;null;22,2;null;
2012-01-31;184,2;31,1;null;22,2;null;
2012-02-29;25,8;34,8;null;23,5;null;
2012-03-31;165,8;32,1;null;22,7;null;
2012-04-30;51,9;30,2;null;21,9;null;
2012-05-31;140,6;27,3;null;18,1;null;
2012-06-30;66,3;27;null;19,5;null;
2012-07-31;29,5;27,2;null;17,5;null;
2012-08-31;25;27,9;null;17,1;null;
2012-09-30;86,5;28,8;null;18,4;null;
2012-10-31;58;31,6;null;20,9;null;
2012-11-30;70,8;28,1;null;21,5;null;
2012-12-31;124,4;35,2;null;24,8;null;
2013-01-31;445,9;30,7;null;22,7;null;
2013-02-28;101,9;33,8;null;24,6;null;
2013-03-31;192,3;30,9;null;23,2;null;
2013-04-30;62,9;28,9;null;20,6;null;
2013-05-31;36,5;27,9;null;18,6;null;
2013-06-30;31,7;27,7;null;19;null;
2013-07-31;78,9;26,1;null;16,3;null;
2013-08-31;1,8;28;null;16,8;null;
2013-09-30;54,7;29;null;19;null;
2013-10-31;56,2;28,7;null;20,4;null;
2013-11-30;125,9;30;null;21,4;null;
2013-12-31;300,7;31,1;null;23,2;null;
2014-01-31;69,6;35,5;null;24,6;null;
2014-02-28;40,4;36;null;24,3;null;
2014-03-31;149,1;32,9;null;23,3;null;
2014-04-30;108,9;29,9;null;21,1;null;
2014-05-31;46,9;28,3;null;18,4;null;
2014-06-30;41,6;28,2;null;18;null;
2014-07-31;64,9;27;null;17,7;null;
2014-08-31;21;27,5;null;16,7;null;
2014-09-30;60,9;30;null;18,9;null;
2014-10-31;23,8;30,8;null;20;null;
2014-11-30;61,1;31,5;null;22,1;null;
2014-12-31;43,5;34,6;null;23,9;null;
2015-01-31;143,2;36,5;null;24,7;null;
2015-02-28;122,8;33,7;null;24,2;null;
2015-03-31;239,1;31,5;null;23,3;null;
2015-04-30;45,5;30;null;21,7;null;
2015-05-31;45;28,4;null;19,3;null;
2015-06-30;49,1;27,6;null;17,9;null;
2015-07-31;5,2;28,4;null;18,7;null;
2015-08-31;6,5;30,4;null;17,9;null;
2015-09-30;85;29,8;null;20,7;null;
2015-10-31;13,1;30,9;null;21,7;null;
2015-11-30;153,2;31;null;23,3;null;
2015-12-31;107,3;33,7;null;24,2;null;
2016-01-31;267;31,9;null;23,6;null;
2016-02-29;201,1;35,2;null;24,6;null;
2016-03-31;175,2;32,8;null;24,2;null;
2016-04-30;22,1;33,3;null;22,9;null;
2016-05-31;36,5;28;null;19,1;null;
2016-06-30;60,5;24,7;null;16,5;null;
2016-07-31;null;null;null;null;null;
2016-08-31;36,1;28,6;null;17,6;null;
2016-09-30;52,3;27,9;null;20;null;
2016-10-31;51,1;29,2;null;21;null;
2016-11-30;181,2;29,9;null;21,6;null;
2016-12-31;232,4;32,8;null;23;null;
2017-01-31;154,8;34,6;null;24,7;null;
2017-02-28;41,8;34,8;null;24,6;null;
2017-03-31;95,9;31,9;null;23,1;null;
2017-04-30;123,3;29,3;null;21,2;null;
2017-05-31;36,5;27,7;null;18,8;null;
2017-06-30;78;27,7;null;17,7;null;
2017-07-31;9,9;26,1;null;16,2;null;
2017-08-31;50,3;26,3;null;17;null;
2017-09-30;13,7;31,1;null;18,3;null;
2017-10-31;31,8;31,5;null;21,5;null;
2017-11-30;117,8;30,6;null;21,2;null;
2017-12-31;74,5;31,3;null;23,1;null;
2018-01-31;308,5;32,7;null;24,1;null;
2018-02-28;148,8;31,7;null;23,1;null;
2018-03-31;73,5;32,3;null;24,2;null;
2018-04-30;74,2;30,5;null;21,3;null;
2018-05-31;39,9;28,8;null;18,9;null;
2018-06-30;38,5;27,9;null;18,3;null;
2018-07-31;13,9;28,7;null;17,7;null;
2018-08-31;null;null;null;null;null;
2018-09-30;null;null;null;null;null;
2018-10-31;71,7;29,3;null;21,4;null;
2018-11-30;126,2;30,1;null;22;null;
2018-12-31;null;null;null;null;null;
2019-01-31;125,6;37,2;null;25,4;null;
2019-02-28;265,5;33,6;null;24,1;null;
2019-03-31;240,8;32,4;null;23,6;null;
2019-04-30;227,9;31,9;null;22,6;null;
2019-05-31;71,7;30;null;21,3;null;
2019-06-30;43,6;29,2;null;18,8;null;
2019-07-31;11;27,6;null;16,3;null;
2019-08-31;25,5;27;null;17,3;null;
2019-09-30;77,1;28,5;null;20,1;null;
2019-10-31;55,7;30,7;null;21,6;null;
2019-11-30;107,6;29,8;null;22,3;null;
2019-12-31;null;null;null;null;null;
2020-01-31;100,8;32,4;null;23,8;null;
2020-02-29;258,6;31,7;null;23,7;null;
2020-03-31;null;null;null;null;null;
2020-04-30;null;null;null;null;null;
2020-05-31;null;null;null;null;null;
2020-06-30;null;null;null;null;null;
