Nome: SANTO ANTONIO DE PADUA
Codigo Estacao: 83805
Latitude: -21.53694444
Longitude: -42.16083333
Altitude: 95
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;117;35,4;27,7;21,9;71,2;
2010-02-28;20,7;36,6;28,3;22,1;65,7;
2010-03-31;157,7;33,3;26,3;21,8;79,3;
2010-04-30;150,1;30,6;23,6;19,2;80,5;
2010-05-31;15,4;28;21,2;17,2;84;
2010-06-30;2,8;26,5;18;12,9;80,8;
2010-07-31;23,3;27,6;20,2;15,4;79,8;
2010-08-31;17,5;28,8;19,7;13,1;71,6;
2010-09-30;18,9;30,8;22,8;16,3;66,9;
2010-10-31;116,8;30,2;23,9;19,2;70,2;
2010-11-30;246,9;30,4;24,4;20,1;79,6;
2010-12-31;448,9;33,5;26,8;22,1;76,7;
2011-01-31;90,8;34,2;27;21,6;74,4;
2011-02-28;41,5;35,9;27,9;21,6;63,6;
2011-03-31;220,1;31,1;25,1;21,4;83;
2011-04-30;145,4;30,5;24,2;20,1;81,5;
2011-05-31;76,2;26,8;20,2;16,2;84,1;
2011-06-30;10,1;25,6;18,8;14,6;82,9;
2011-07-31;6,2;26,7;18,6;13,5;80,1;
2011-08-31;17,6;29,8;21,3;15,4;73,1;
2011-09-30;7,8;29,3;21,6;15,3;62,8;
2011-10-31;231,2;30,3;23,9;19,1;70,7;
2011-11-30;195,2;29;23,2;18,5;73,5;
2011-12-31;248;30,8;24,9;21,1;79;
2012-01-31;476,1;32;25,5;20,8;76,4;
2012-02-29;17,4;34,1;26,4;20,5;68,7;
2012-03-31;146,8;33;25,8;20,6;72,6;
2012-04-30;41;30,8;24,3;20,1;80;
2012-05-31;97,6;26,6;20,5;16,7;84,6;
2012-06-30;26,2;27,1;20,8;17,1;85,5;
2012-07-31;8,1;27,9;19,6;14,6;80,6;
2012-08-31;44,5;27,7;20,4;15,2;76,9;
2012-09-30;26,7;30,9;22,7;16,4;65,7;
2012-10-31;30,3;33,8;25,4;19,3;61,6;
2012-11-30;234,5;30;24,4;20,2;78,1;
2012-12-31;118,2;36;28,1;22,1;68,4;
2013-01-31;158,6;33;26,6;21,8;72,9;
2013-02-28;36,3;34,4;27,2;21,7;69,8;
2013-03-31;243,4;32,1;25,9;21,7;77,7;
2013-04-30;63,4;29,4;23,2;18,8;79,3;
2013-05-31;41,3;28,1;21;16,7;81,6;
2013-06-30;23,9;27,3;20,8;16,9;84,3;
2013-07-31;18,3;26,8;19,6;15;81,7;
2013-08-31;30,3;29,5;21;15,1;71,6;
2013-09-30;44,6;30;22,7;17;69,1;
2013-10-31;52,9;30,4;23,9;18,9;68,5;
2013-11-30;210;31,1;24,6;19,7;71,8;
2013-12-31;311,3;32,3;25,8;21,7;78,8;
2014-01-31;34,4;35,7;27,6;21,1;64,7;
2014-02-28;43,5;35,6;27,8;21,2;62,8;
2014-03-31;32,2;33,6;26,5;21,1;70,5;
2014-04-30;47;31,2;24,4;19,7;74,8;
2014-05-31;28,3;29,4;22;16,8;75,2;
2014-06-30;14,3;28,5;20,9;15,7;78,4;
2014-07-31;20,2;26,9;20,5;15,6;76,3;
2014-08-31;16,2;29,1;20,9;14,6;67,2;
2014-09-30;2,9;32,5;24;17,3;59,5;
2014-10-31;73,3;32,7;24,6;18;60,4;
2014-11-30;173,3;31,9;25,3;20,1;69,6;
2014-12-31;116,2;34,2;26,8;21,1;68;
2015-01-31;15,1;37,5;28,9;21,9;58,7;
2015-02-28;157,3;34,9;27,3;21,7;71,4;
2015-03-31;130;32,8;25,9;21,2;76,1;
2015-04-30;55;30,4;23,8;19,1;77,2;
2015-05-31;64;26,8;20,8;16,9;85,1;
2015-06-30;16,5;27;19,9;15,8;83,5;
2015-07-31;28,5;27,7;20,3;15,9;81,6;
2015-08-31;12,1;29,4;21,3;15,5;70,8;
2015-09-30;59,5;31,5;24,2;18,7;73,1;
2015-10-31;27,3;33,4;25,7;19,9;64,9;
2015-11-30;144,9;33,6;27,1;22,4;72,6;
2015-12-31;209,6;34,1;26,8;21,7;73,6;
2016-01-31;137,9;32,9;26,5;21,8;76,4;
2016-02-29;106;35,8;27,4;21,8;72;
2016-03-31;83,5;33,5;26,5;21,8;76,6;
2016-04-30;40,7;33,8;25,6;20;70,8;
2016-05-31;62,7;28,7;22,2;17,5;78,1;
