Nome: CARMO
Codigo Estacao: 83807
Latitude: -21.93583333
Longitude: -42.60611111
Altitude: 342.19
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2019-03-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;null;null;null;null;null;
2010-02-28;52;34,4;null;21,9;null;
2010-03-31;205,6;31,6;null;21,6;null;
2010-04-30;53,4;29,5;null;18,8;null;
2010-05-31;44,9;26,8;null;16,6;null;
2010-06-30;2,7;25,3;null;12,8;null;
2010-07-31;37,9;26,7;null;15,6;null;
2010-08-31;2,7;27,8;null;13,4;null;
2010-09-30;19,7;29,2;null;16,6;null;
2010-10-31;138,7;28,7;null;18,2;null;
2010-11-30;299,9;28,6;null;20;null;
2010-12-31;406,7;32,2;null;21,8;null;
2011-01-31;209,6;31,7;null;21,7;null;
2011-02-28;104,7;34,4;null;21,7;null;
2011-03-31;null;null;null;null;null;
2011-04-30;83,3;29,6;null;19,9;null;
2011-05-31;32,8;25,9;null;15,4;null;
2011-06-30;14,3;24,9;null;14,3;null;
2011-07-31;,2;26,2;null;13,8;null;
2011-08-31;14,8;29;null;16,2;null;
2011-09-30;1,6;28,9;null;15,7;null;
2011-10-31;144,8;28,7;null;19;null;
2011-11-30;253,6;27,7;null;18,1;null;
2011-12-31;278,9;29,3;null;20,6;null;
2012-01-31;468,8;29,9;null;20,5;null;
2012-02-29;34,2;32,6;null;20,6;null;
2012-03-31;141,1;31,7;null;20,4;null;
2012-04-30;75,4;29,3;null;20,2;null;
2012-05-31;109,6;25,7;null;15,9;null;
2012-06-30;21,4;26,4;null;16,9;null;
2012-07-31;6;27;null;14,7;null;
2012-08-31;21,7;26,8;null;15,1;null;
2012-09-30;21,5;29,9;null;16,5;null;
2012-10-31;35,2;32,8;null;19,2;null;
2012-11-30;275,5;28,9;null;20;null;
2012-12-31;null;null;null;null;null;
2013-01-31;295,4;31,2;null;21,3;null;
2013-02-28;111;32,8;null;21,6;null;
2013-03-31;235,8;30,6;null;21,3;null;
2013-04-30;39,2;28;null;18,5;null;
2013-05-31;null;null;null;null;null;
2013-06-30;20,4;26,4;null;17,2;null;
2013-07-31;18;25,6;null;14,9;null;
2013-08-31;27,3;28;null;14,9;null;
2013-09-30;60,5;28,2;null;16,9;null;
2013-10-31;65;28,4;null;18,9;null;
2013-11-30;182,8;29,7;null;19,5;null;
2013-12-31;288;31,1;null;21,7;null;
2014-01-31;65,8;34,6;null;21,2;null;
2014-02-28;15,8;34,5;null;21;null;
2014-03-31;81,1;32;null;20,8;null;
2014-04-30;58,4;30,2;null;19,3;null;
2014-05-31;11,7;29,4;null;16,3;null;
2014-06-30;12,2;27,7;null;15,9;null;
2014-07-31;23,9;26,2;null;15,6;null;
2014-08-31;20,2;28;null;14,8;null;
2014-09-30;,3;31;null;16,9;null;
2014-10-31;null;null;null;null;null;
2014-11-30;158,4;31,1;null;20,2;null;
2014-12-31;79,8;32,7;null;21,2;null;
2015-01-31;92,5;36,2;null;22;null;
2015-02-28;150,8;33,1;null;21,5;null;
2015-03-31;126,4;32,2;null;21,3;null;
2015-04-30;51,4;29,9;null;19,2;null;
2015-05-31;37,4;26,3;null;17,1;null;
2015-06-30;20,5;26,7;null;15,8;null;
2015-07-31;6,7;27;null;16,5;null;
2015-08-31;2,3;28,9;null;16;null;
2015-09-30;null;null;null;null;null;
2015-10-31;14,7;32,9;null;20,3;null;
2015-11-30;192,5;32,1;null;22,3;null;
2015-12-31;285,9;32,9;null;21,9;null;
2016-01-31;288,2;31,4;null;22;null;
2016-02-29;147,7;34,2;null;21,9;null;
2016-03-31;115,2;31,8;null;22;null;
2016-04-30;47,5;32,4;null;20,1;null;
2016-05-31;33,5;27,7;null;17,2;null;
2016-06-30;50,8;24,5;null;15;null;
2016-07-31;1,3;26,9;null;15,2;null;
2016-08-31;18,7;29,2;null;15,6;null;
2016-09-30;49,9;29,9;null;18;null;
2016-10-31;115;29,3;null;19,5;null;
2016-11-30;null;null;null;null;null;
2016-12-31;266,1;31,8;null;21,3;null;
2017-01-31;64,8;33,9;null;22,1;null;
2017-02-28;77,7;33;null;21,3;null;
2017-03-31;49,3;32,6;null;20,3;null;
2017-04-30;25;30;null;19,3;null;
2017-05-31;44,2;27;null;16,5;null;
2017-06-30;7,6;27,5;null;15,6;null;
2017-07-31;6,5;25,6;null;14;null;
2017-08-31;15,5;27,1;null;14,8;null;
2017-09-30;0;30,5;null;16,4;null;
2017-10-31;74,5;32,6;null;19,6;null;
2017-11-30;null;null;null;null;null;
2017-12-31;128,7;31,7;null;21,6;null;
2018-01-31;222,2;33;null;21,8;null;
2018-02-28;225,2;31,5;null;21,5;null;
2018-03-31;101,2;32,5;null;22;null;
2018-04-30;116,5;29,5;null;19,4;null;
2018-05-31;29,5;27,9;null;16,6;null;
2018-06-30;4,2;27,2;null;16,5;null;
2018-07-31;29,8;28,1;null;14,7;null;
2018-08-31;59,2;26,2;null;16,1;null;
2018-09-30;103,3;28,7;null;17,7;null;
2018-10-31;48,8;29,2;null;19,9;null;
2018-11-30;173;29,8;null;20,5;null;
2018-12-31;null;null;null;null;null;
2019-01-31;null;null;null;null;null;
2019-02-28;148,6;32,7;null;22;null;
2019-03-31;114,2;32,3;null;21,7;null;

