Nome: IVAI
Codigo Estacao: 83811
Latitude: -25.01083333
Longitude: -50.85361111
Altitude: 808
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;272,7;28,4;22,8;19,1;83,4;
2010-02-28;105,5;29,1;23,1;19,5;81,3;
2010-03-31;149,4;28,2;21,5;17;79,6;
2010-04-30;199,2;25,4;18,9;14,2;80,1;
2010-05-31;78,2;21,3;15,1;11,3;86,5;
2010-06-30;71,3;21,3;14,1;9,6;82,8;
2010-07-31;126,6;22;15,1;10,6;82,7;
2010-08-31;39;23,4;14,9;9,1;73;
2010-09-30;73,5;26;18,1;12,7;72,3;
2010-10-31;216;24,6;17,7;12,9;74,5;
2010-11-30;76,6;28,3;20,3;14,7;68,7;
2010-12-31;192,6;27,4;21,5;17,5;81,6;
2011-01-31;154,5;29,8;23;18,9;81,3;
2011-02-28;204,1;28,8;22,6;19,1;84,1;
2011-03-31;90,3;27,2;21,1;17,3;79,3;
2011-04-30;57,5;25,7;19,1;14,8;81,9;
2011-05-31;29,3;22,9;15,1;10,6;81,5;
2011-06-30;158;20,7;12,7;7,3;81,7;
2011-07-31;143,8;22,2;15,1;10,2;79,7;
2011-08-31;421,6;22,6;15,3;10,6;78,1;
2011-09-30;64,9;25;16,6;11;73,3;
2011-10-31;266;26,3;19,3;14,8;75,2;
2011-11-30;89,3;27,5;19,9;14,4;70,6;
2011-12-31;95;29,3;21,6;16,3;69,4;
2012-01-31;189,6;28,8;21,6;16,7;76,5;
2012-02-29;119,8;31,1;23,4;18;74,3;
2012-03-31;59,5;29;20,8;15,3;71,7;
2012-04-30;241;26,2;18,8;14;80;
2012-05-31;59,5;22,5;15,6;11,6;83,8;
2012-06-30;281,6;20;14,4;11;89,7;
2012-07-31;79,7;20,3;14;9,7;83,5;
2012-08-31;3,5;25,5;17;11,7;73,1;
2012-09-30;52,3;27;18,4;12;67;
2012-10-31;151,7;27,6;20,6;15,4;73,3;
2012-11-30;99,6;27,9;21,2;16,2;73,3;
2012-12-31;198,6;29,7;23,5;19,2;80;
2013-01-31;166,2;27,9;21,5;16,6;76,8;
