Nome: CASTRO
Codigo Estacao: 83813
Latitude: -24.78694444
Longitude: -49.99916666
Altitude: 994.68
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;174,7;26,7;21,3;18,3;86,5;
2010-02-28;206,6;28;21,9;18,1;83,9;
2010-03-31;240,7;26,7;20,3;16,1;83,9;
2010-04-30;146,7;24;17,3;13;84,3;
2010-05-31;103,7;20,8;14,4;10,3;86,3;
2010-06-30;57,8;20,7;13;8,2;83,3;
2010-07-31;102,4;21,3;14,1;9,5;84,2;
2010-08-31;38,6;22,2;13;7,2;79,3;
2010-09-30;55,3;24,2;16,5;11,2;78,3;
2010-10-31;202,5;23,5;16,4;11,4;79,5;
2010-11-30;122,2;26,3;18,8;13,3;75,1;
2010-12-31;234,2;26,2;20,3;16,4;84,4;
2011-01-31;176,7;28,2;21,7;17,7;84,8;
2011-02-28;262,9;27,2;21,3;17,8;86;
2011-03-31;97,5;24,6;19,3;16,2;85,3;
2011-04-30;99,4;24,5;17,9;13,9;85,4;
2011-05-31;31,5;21,3;13,8;9,2;83,8;
2011-06-30;122,1;19,9;11,4;5,8;83,6;
2011-07-31;127,6;21;13,2;7,9;84,7;
2011-08-31;357,8;21;14,1;9,4;81,7;
2011-09-30;31,9;22,9;14,9;9,8;79,5;
2011-10-31;179,5;24,2;17,6;13,1;80,2;
2011-11-30;120,6;25,6;18,2;13,1;75,3;
2011-12-31;198;26,7;19,5;13,7;77;
2012-01-31;147,1;26,6;19,9;15,8;82;
2012-02-29;135,4;29,2;21,6;16,8;79,8;
2012-03-31;116,5;27,3;19,4;14,1;77,4;
2012-04-30;352,5;24,4;17,7;13,7;84,4;
2012-05-31;53;21,1;14,8;11,1;85,6;
2012-06-30;304,2;18,9;13,6;10,2;90,4;
2012-07-31;81,5;20,1;12,8;7,7;84,5;
2012-08-31;20;24,4;15,2;9,6;80,2;
2012-09-30;151,3;25,5;16,5;10,3;75,4;
2012-10-31;118;26,6;18,9;13,6;79,1;
2012-11-30;119,3;26,1;19,4;14,8;78,5;
2012-12-31;134,9;28,8;22,2;17,7;83;
2013-01-31;86,9;26,1;19,8;15,7;82,8;
2013-02-28;272,3;26,7;20,7;17,2;86,9;
2013-03-31;127,4;24,8;19,3;15,6;86,7;
2013-04-30;96;25,1;17,4;12,8;82,7;
2013-05-31;101,4;22,4;15,1;10,1;85;
2013-06-30;336,9;21,7;14,1;10,4;90,6;
2013-07-31;130,3;null;null;7,3;85;
2013-08-31;24,5;null;null;7;78,7;
2013-09-30;144,3;null;null;10;81,2;
2013-10-31;98,3;null;null;12,7;77,8;
2013-11-30;58,6;null;null;14,2;80,3;
2013-12-31;95,2;null;null;16,2;78,5;
2014-01-31;252,2;null;null;16,6;82,6;
2014-02-28;109,3;null;null;16,6;80,7;
2014-03-31;182,1;null;null;16;85,3;
2014-04-30;115,5;null;null;14,7;86;
2014-05-31;123,4;null;null;11;86,6;
2014-06-30;220,1;null;null;10,5;87;
2014-07-31;53,9;null;null;8,5;84,7;
2014-08-31;44,8;null;null;8;80,8;
2014-09-30;215,5;null;null;12,3;83;
2014-10-31;60,3;null;null;13;75,6;
2014-11-30;160,5;null;null;14,9;80,4;
2014-12-31;379,4;null;null;16,4;82,4;
2015-01-31;208,1;null;null;17,5;81,1;
2015-02-28;171,3;null;null;17,1;85,1;
2015-03-31;243,5;null;null;16,5;85,9;
2015-04-30;77,5;null;null;14,3;82,3;
2015-05-31;138,1;null;null;12;87,3;
2015-06-30;50,3;null;null;9;85,8;
2015-07-31;268,2;null;null;9,6;88,1;
2015-08-31;40,5;null;null;9;80,6;
2015-09-30;162,5;null;null;12,7;81,5;
2015-10-31;202,5;null;null;15;85,9;
2015-11-30;230,9;null;null;16,1;88,1;
2015-12-31;296,1;null;null;17,5;87,1;
2016-01-31;120,3;null;null;17,1;82,3;
2016-02-29;224,5;null;null;18,3;null;
2016-03-31;115,7;null;null;16,1;null;
2016-04-30;97,3;null;null;14,7;null;
2016-05-31;null;null;null;11,2;null;
2016-06-30;null;null;null;6,8;null;
2016-07-31;null;null;null;7,5;null;
2016-08-31;null;null;null;8,9;null;
2016-09-30;null;null;null;9,1;null;
