Nome: IRATI
Codigo Estacao: 83836
Latitude: -25.50277777
Longitude: -50.63749999
Altitude: 881.69
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;238,1;26,9;21,6;18,3;85,8;
2010-02-28;224,3;27,9;22,1;18,5;83,4;
2010-03-31;174,5;26,9;20,3;16,3;82,4;
2010-04-30;294,6;23,6;17,4;13,4;84;
2010-05-31;82,8;19,8;14,1;10,4;87,5;
2010-06-30;74,9;19,6;12,8;8,5;85,4;
2010-07-31;127,7;20,1;13,7;9,5;84,3;
2010-08-31;69,3;20,9;13,3;8,1;78,2;
2010-09-30;51,6;23,6;16,5;11,7;76,2;
2010-10-31;199,3;22,6;16,1;11,7;78,4;
2010-11-30;61,5;26,5;18,9;13,6;72,2;
2010-12-31;225,8;25,3;20;16,4;86;
2011-01-31;233,5;28,1;21,8;18,1;85,2;
2011-02-28;183,1;27,2;21,5;18,5;87,6;
2011-03-31;97,8;25;19,6;16,3;84;
2011-04-30;84,6;24,5;17,9;13,9;84,4;
2011-05-31;33,1;20,6;13,8;9,6;84,5;
2011-06-30;128,3;18,6;11,5;6,6;84,3;
2011-07-31;199,2;20,3;13,4;8,9;83,2;
2011-08-31;374,6;20,7;14,2;9,7;79;
2011-09-30;87,5;22,1;14,8;9,9;78;
2011-10-31;227,5;24,3;17,9;13,6;78,2;
2011-11-30;83,9;24,7;17,8;12,8;75,8;
2011-12-31;97,9;26,8;19,8;14,7;75,4;
2012-01-31;204,7;26,8;20,1;15,9;81,4;
2012-02-29;121,9;29;21,7;17,3;81,4;
2012-03-31;56,7;27;19,2;14,1;77,9;
2012-04-30;214,7;24,2;17,4;13,4;83,3;
2012-05-31;112,4;20,4;14,6;10,6;87;
2012-06-30;291,1;17,7;13,2;10,2;91,5;
2012-07-31;117,2;19,4;12,9;8,4;85,2;
2012-08-31;12,5;23,5;15,9;10,9;77,7;
2012-09-30;76,6;25,1;16,4;10,3;71,8;
2012-10-31;172,3;25,9;19;14,3;79,3;
2012-11-30;69,4;26,6;19,9;15,4;76,1;
2012-12-31;192,6;28,8;22,3;18,4;82,7;
2013-01-31;146,7;26,7;20,2;15,8;79,3;
2013-02-28;245,2;26,8;20,9;17,7;85,3;
2013-03-31;215,7;24,1;19,1;15,8;86,1;
2013-04-30;105,9;24,3;16,8;11,8;81,3;
